ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17263929593,3843,8,8,8,8,6.783,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.36 | 0.50,0,7.95 | 10.97 | 17.70,9.558,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9558,0,1
17263929593,3843,8,8,8,8,6.783,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.36 | 0.50,0,7.95 | 10.97 | 17.70,9.558,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9558,0,1
17263929594,3843,8,8,8,8,6.783,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.36 | 0.50,0,7.95 | 10.97 | 17.70,9.558,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9558,0,1
17263929595,3843,8,8,8,8,6.783,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.36 | 0.50,0,7.95 | 10.97 | 17.70,9.558,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9558,0,1
17263929596,3843,8,8,8,8,5.72,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.36 | 0.50,0,7.95 | 10.97 | 17.70,9.558,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9558,0,1
17263929597,3843,8,8,8,8,5.72,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.36 | 0.50,0,7.95 | 10.97 | 17.70,9.558,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9558,0,1
17263929598,3843,8,8,8,8,5.72,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.36 | 0.50,0,7.95 | 10.97 | 17.70,9.558,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9558,0,1
17263929599,3843,8,8,8,8,5.72,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.36 | 0.50,0,7.95 | 10.97 | 17.70,9.558,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9558,0,1
17263929600,3843,8,8,8,8,5.72,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.36 | 0.50,0,7.95 | 10.97 | 17.70,9.558,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535,0,1
17263929601,3843,8,8,8,8,5.72,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.36 | 0.50,0,7.95 | 10.97 | 17.70,9.558,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535,0,1
17263929602,3843,8,8,8,8,5.72,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.36 | 0.50,0,7.95 | 10.97 | 17.70,9.558,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535,0,1
17263929603,3843,8,8,8,8,5.72,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.36 | 0.50,0,7.95 | 10.97 | 17.70,9.558,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535,0,1
17263929604,3843,8,8,8,8,5.72,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.36 | 0.50,0,7.95 | 10.97 | 17.70,9.558,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535,0,1
17263929605,3843,8,8,8,8,5.72,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.36 | 0.50,0,7.95 | 10.97 | 17.70,9.558,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535,0,1
17263929606,3843,8,8,8,8,9.458,0,0,0.11 | 0.11 | 0.12,0,0.23 | 1.03 | 2.35,0,1.70 | 3.89 | 17.70,9.535,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535,0,1
17263929607,3843,8,8,8,8,9.458,0,0,0.11 | 0.11 | 0.12,0,0.23 | 1.03 | 2.35,0,1.70 | 3.89 | 17.70,9.535,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535,0,1
17263929608,3843,8,8,8,8,9.458,0,0,0.11 | 0.11 | 0.12,0,0.23 | 1.03 | 2.35,0,1.70 | 3.89 | 17.70,9.535,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535,0,1
17263929609,3843,8,8,8,8,9.458,0,0,0.11 | 0.11 | 0.12,0,0.23 | 1.03 | 2.35,0,1.70 | 3.89 | 17.70,9.535,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535,0,1
17263929610,3843,8,8,8,8,9.458,0,0,0.11 | 0.11 | 0.12,0,0.23 | 1.03 | 2.35,0,1.70 | 3.89 | 17.70,9.535,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535,0,1
17263929611,3843,8,8,8,8,9.458,0,0,0.11 | 0.11 | 0.12,0,0.23 | 1.03 | 2.35,0,1.70 | 3.89 | 17.70,9.535,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535,0,1
17263929612,3843,8,8,8,8,9.458,0,0,0.11 | 0.11 | 0.12,0,0.23 | 1.03 | 2.35,0,1.70 | 3.89 | 17.70,9.535,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535,0,1
17263929613,3843,8,8,8,8,9.458,0,0,0.11 | 0.11 | 0.12,0,0.23 | 1.03 | 2.35,0,1.70 | 3.89 | 17.70,9.535,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535,0,1
17263929614,3843,8,8,8,8,9.458,0,0,0.11 | 0.11 | 0.12,0,0.23 | 1.03 | 2.35,0,1.70 | 3.89 | 17.70,9.535,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,9535,0,1
