ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17256267446,3843,0,8,8,0,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,0,5822,0,1
17256267447,3843,0,8,8,8,4.8,0,0,0.11 | 0.11 | 0.11,0,0.82 | 0.82 | 0.82,0,4.86 | 4.86 | 4.86,5.822,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5822,0,1
17256267448,3843,8,8,8,8,4.8,0,0,0.11 | 0.11 | 0.11,0,0.82 | 0.82 | 0.82,0,4.86 | 4.86 | 4.86,5.822,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5822,0,1
17256267449,3843,8,8,8,8,4.8,0,0,0.11 | 0.11 | 0.11,0,0.82 | 0.82 | 0.82,0,4.86 | 4.86 | 4.86,5.822,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5822,0,1
17256267450,3843,8,8,8,8,4.8,0,0,0.11 | 0.11 | 0.11,0,0.82 | 0.82 | 0.82,0,4.86 | 4.86 | 4.86,5.822,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5822,0,1
17256267451,3843,8,8,8,8,4.8,0,0,0.11 | 0.11 | 0.11,0,0.82 | 0.82 | 0.82,0,4.86 | 4.86 | 4.86,5.822,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5972.5,0,1
17256267452,3843,8,8,8,8,4.8,0,0,0.11 | 0.11 | 0.11,0,0.82 | 0.82 | 0.82,0,4.86 | 4.86 | 4.86,5.822,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5972.5,0,1
17256267453,3843,8,8,8,8,4.8,0,0,0.11 | 0.11 | 0.11,0,0.82 | 0.82 | 0.82,0,4.86 | 4.86 | 4.86,5.822,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5972.5,0,1
17256267454,3843,8,8,8,8,4.8,0,0,0.11 | 0.11 | 0.11,0,0.82 | 0.82 | 0.82,0,4.86 | 4.86 | 4.86,5.822,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5972.5,0,1
17256267455,3843,8,8,8,8,4.8,0,0,0.11 | 0.11 | 0.11,0,0.82 | 0.82 | 0.82,0,4.86 | 4.86 | 4.86,5.822,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5972.5,0,1
17256267456,3843,8,8,8,8,4.8,0,0,0.11 | 0.11 | 0.11,0,0.82 | 0.82 | 0.82,0,4.86 | 4.86 | 4.86,5.822,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5972.5,0,1
17256267457,3843,8,8,8,8,7.116,0,0,0.11 | 0.11 | 0.11,0,0.35 | 0.59 | 0.82,0,4.86 | 6.80 | 11.30,5.973,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5972.5,0,1
17256267458,3843,8,8,8,8,7.116,0,0,0.11 | 0.11 | 0.11,0,0.35 | 0.59 | 0.82,0,4.86 | 6.80 | 11.30,5.973,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5972.5,0,1
17256267459,3843,8,8,8,8,7.116,0,0,0.11 | 0.11 | 0.11,0,0.35 | 0.59 | 0.82,0,4.86 | 6.80 | 11.30,5.973,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5972.5,0,1
17256267460,3843,8,8,8,8,7.116,0,0,0.11 | 0.11 | 0.11,0,0.35 | 0.59 | 0.82,0,4.86 | 6.80 | 11.30,5.973,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5972.5,0,1
17256267461,3843,8,8,8,8,7.116,0,0,0.11 | 0.11 | 0.11,0,0.35 | 0.59 | 0.82,0,4.86 | 6.80 | 11.30,5.973,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5972.5,0,1
17256267462,3843,8,8,8,8,7.116,0,0,0.11 | 0.11 | 0.11,0,0.35 | 0.59 | 0.82,0,4.86 | 6.80 | 11.30,5.973,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5972.5,0,1
17256267463,3843,8,8,8,8,7.116,0,0,0.11 | 0.11 | 0.11,0,0.35 | 0.59 | 0.82,0,4.86 | 6.80 | 11.30,5.973,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5972.5,0,1
17256267464,3843,8,8,8,8,7.116,0,0,0.11 | 0.11 | 0.11,0,0.35 | 0.59 | 0.82,0,4.86 | 6.80 | 11.30,5.973,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5972.5,0,1
17256267465,3843,8,8,8,8,7.116,0,0,0.11 | 0.11 | 0.11,0,0.35 | 0.59 | 0.82,0,4.86 | 6.80 | 11.30,5.973,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5972.5,0,1
17256267466,3843,8,8,8,8,7.116,0,0,0.11 | 0.11 | 0.11,0,0.35 | 0.59 | 0.82,0,4.86 | 6.80 | 11.30,5.973,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5972.5,0,1
17256267467,3843,8,8,8,8,6.053,0,0,0.11 | 0.11 | 0.11,0,0.35 | 0.59 | 0.82,0,4.86 | 6.80 | 11.30,5.973,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5972.5,0,1
17256267468,3843,8,8,8,8,6.053,0,0,0.11 | 0.11 | 0.11,0,0.35 | 0.59 | 0.82,0,4.86 | 6.80 | 11.30,5.973,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,5972.5,0,1
