ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17253769383,580,0,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,725,0,1
17253769384,580,0,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,725,0,1
17253769385,580,4,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,725,0,1
17253769386,580,4,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,725,0,1
17253769387,580,4,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,725,0,1
17253769389,580,4,3,8,8,4.323,0,0,0.11 | 0.11 | 0.11,0,2.31 | 2.31 | 2.31,0,1.73 | 1.73 | 1.73,0.725,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,725,0,1
17253769389,580,4,3,8,8,4.323,0,0,0.11 | 0.11 | 0.11,0,2.31 | 2.31 | 2.31,0,1.73 | 1.73 | 1.73,0.725,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,725,0,1
17253769390,580,4,3,8,8,4.323,0,0,0.11 | 0.11 | 0.11,0,2.31 | 2.31 | 2.31,0,1.73 | 1.73 | 1.73,0.725,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,725,0,1
17253769391,580,4,3,8,8,4.323,0,0,0.11 | 0.11 | 0.11,0,2.31 | 2.31 | 2.31,0,1.73 | 1.73 | 1.73,0.725,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,783.5,0,1
17253769392,580,4,3,8,8,4.323,0,0,0.11 | 0.11 | 0.11,0,2.31 | 2.31 | 2.31,0,1.73 | 1.73 | 1.73,0.725,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,783.5,0,1
17253769393,580,4,3,8,8,4.323,0,0,0.11 | 0.11 | 0.11,0,2.31 | 2.31 | 2.31,0,1.73 | 1.73 | 1.73,0.725,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,783.5,0,1
17253769394,580,4,3,8,8,4.323,0,0,0.11 | 0.11 | 0.11,0,2.31 | 2.31 | 2.31,0,1.73 | 1.73 | 1.73,0.725,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,783.5,0,1
17253769395,580,4,3,8,8,4.323,0,0,0.11 | 0.11 | 0.11,0,2.31 | 2.31 | 2.31,0,1.73 | 1.73 | 1.73,0.725,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,783.5,0,1
17253769396,580,4,3,8,8,4.323,0,0,0.11 | 0.11 | 0.11,0,2.31 | 2.31 | 2.31,0,1.73 | 1.73 | 1.73,0.725,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,783.5,0,1
17253769397,580,4,3,8,8,4.323,0,0,0.11 | 0.11 | 0.11,0,2.31 | 2.31 | 2.31,0,1.73 | 1.73 | 1.73,0.725,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,783.5,0,1
17253769398,580,4,3,8,8,6.46,0,0,0.11 | 0.11 | 0.12,0,0.64 | 1.47 | 2.31,0,1.73 | 2.72 | 6.28,0.783,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,783.5,0,1
17253769399,580,4,3,8,8,6.46,0,0,0.11 | 0.11 | 0.12,0,0.64 | 1.47 | 2.31,0,1.73 | 2.72 | 6.28,0.783,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,783.5,0,1
17253769400,580,4,3,8,8,6.46,0,0,0.11 | 0.11 | 0.12,0,0.64 | 1.47 | 2.31,0,1.73 | 2.72 | 6.28,0.783,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,783.5,0,1
17253769401,580,4,3,8,8,6.46,0,0,0.11 | 0.11 | 0.12,0,0.64 | 1.47 | 2.31,0,1.73 | 2.72 | 6.28,0.783,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,783.5,0,1
17253769402,580,4,3,8,8,6.46,0,0,0.11 | 0.11 | 0.12,0,0.64 | 1.47 | 2.31,0,1.73 | 2.72 | 6.28,0.783,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,783.5,0,1
17253769403,580,4,3,8,8,6.46,0,0,0.11 | 0.11 | 0.12,0,0.64 | 1.47 | 2.31,0,1.73 | 2.72 | 6.28,0.783,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,783.5,0,1
17253769404,580,4,3,8,8,6.46,0,0,0.11 | 0.11 | 0.12,0,0.64 | 1.47 | 2.31,0,1.73 | 2.72 | 6.28,0.783,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,783.5,0,1
