ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17240054923,2406,0,7,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3268,0,1
17240054924,2406,0,7,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3268,0,1
17240054925,2406,8,7,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3268,0,1
17240054926,2406,8,7,8,8,4.587,0,0,0.21 | 0.21 | 0.21,0,1.47 | 1.47 | 1.47,0,2.73 | 2.73 | 2.73,3.268,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3268,0,1
17240054927,2406,8,7,8,8,4.587,0,0,0.21 | 0.21 | 0.21,0,1.47 | 1.47 | 1.47,0,2.73 | 2.73 | 2.73,3.268,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3268,0,1
17240054928,2406,8,7,8,8,4.587,0,0,0.21 | 0.21 | 0.21,0,1.47 | 1.47 | 1.47,0,2.73 | 2.73 | 2.73,3.268,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3268,0,1
17240054929,2406,8,7,8,8,4.587,0,0,0.21 | 0.21 | 0.21,0,1.47 | 1.47 | 1.47,0,2.73 | 2.73 | 2.73,3.268,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3268,0,1
17240054930,2406,8,7,8,8,4.587,0,0,0.21 | 0.21 | 0.21,0,1.47 | 1.47 | 1.47,0,2.73 | 2.73 | 2.73,3.268,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3268,0,1
17240054931,2406,8,7,8,8,4.587,0,0,0.21 | 0.21 | 0.21,0,1.47 | 1.47 | 1.47,0,2.73 | 2.73 | 2.73,3.268,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3268,0,1
17240054932,2406,8,7,8,8,4.587,0,0,0.21 | 0.21 | 0.21,0,1.47 | 1.47 | 1.47,0,2.73 | 2.73 | 2.73,3.268,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3288,0,1
