ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17256483630,2406,0,7,8,0,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,0,4383,0,1
17256483631,2406,5,7,8,0,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,0,4383,0,1
17256483632,2406,5,7,8,0,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,0,4383,0,1
17256483633,2406,5,7,8,8,4.417,0,0,0.12 | 0.12 | 0.12,0,0.41 | 0.41 | 0.41,0,9.85 | 9.85 | 9.85,4.383,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,4383,0,1
17256483634,2406,5,7,8,8,4.417,0,0,0.12 | 0.12 | 0.12,0,0.41 | 0.41 | 0.41,0,9.85 | 9.85 | 9.85,4.383,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,4383,0,1
17256483635,2406,5,7,8,8,4.417,0,0,0.12 | 0.12 | 0.12,0,0.41 | 0.41 | 0.41,0,9.85 | 9.85 | 9.85,4.383,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,4365.5,0,1
17256483636,2406,5,7,8,8,4.417,0,0,0.12 | 0.12 | 0.12,0,0.41 | 0.41 | 0.41,0,9.85 | 9.85 | 9.85,4.383,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,4365.5,0,1
17256483637,2406,5,7,8,8,4.417,0,0,0.12 | 0.12 | 0.12,0,0.41 | 0.41 | 0.41,0,9.85 | 9.85 | 9.85,4.383,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,4365.5,0,1
17256483638,2406,5,7,8,8,4.417,0,0,0.12 | 0.12 | 0.12,0,0.41 | 0.41 | 0.41,0,9.85 | 9.85 | 9.85,4.383,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,4365.5,0,1
17256483639,2406,5,7,8,8,4.417,0,0,0.12 | 0.12 | 0.12,0,0.41 | 0.41 | 0.41,0,9.85 | 9.85 | 9.85,4.383,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,4365.5,0,1
17256483640,2406,5,7,8,8,4.417,0,0,0.12 | 0.12 | 0.12,0,0.41 | 0.41 | 0.41,0,9.85 | 9.85 | 9.85,4.383,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,4365.5,0,1
17256483641,2406,5,7,8,8,4.417,0,0,0.12 | 0.12 | 0.12,0,0.41 | 0.41 | 0.41,0,9.85 | 9.85 | 9.85,4.383,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,4365.5,0,1
