ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17256486973,3843,0,8,8,0,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,0,6296,0,1
17256486974,3843,8,8,8,8,4.8,0,0,0.11 | 0.11 | 0.11,0,0.76 | 0.76 | 0.76,0,5.26 | 5.26 | 5.26,6.296,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6296,0,1
17256486975,3843,8,8,8,8,4.8,0,0,0.11 | 0.11 | 0.11,0,0.76 | 0.76 | 0.76,0,5.26 | 5.26 | 5.26,6.296,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6296,0,1
17256486976,3843,8,8,8,8,4.8,0,0,0.11 | 0.11 | 0.11,0,0.76 | 0.76 | 0.76,0,5.26 | 5.26 | 5.26,6.296,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6296,0,1
17256486977,3843,8,8,8,8,4.8,0,0,0.11 | 0.11 | 0.11,0,0.76 | 0.76 | 0.76,0,5.26 | 5.26 | 5.26,6.296,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6472.5,0,1
17256486978,3843,8,8,8,8,4.8,0,0,0.11 | 0.11 | 0.11,0,0.76 | 0.76 | 0.76,0,5.26 | 5.26 | 5.26,6.296,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6472.5,0,1
17256486979,3843,8,8,8,8,4.8,0,0,0.11 | 0.11 | 0.11,0,0.76 | 0.76 | 0.76,0,5.26 | 5.26 | 5.26,6.296,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6472.5,0,1
17256486980,3843,8,8,8,8,4.8,0,0,0.11 | 0.11 | 0.11,0,0.76 | 0.76 | 0.76,0,5.26 | 5.26 | 5.26,6.296,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6472.5,0,1
17256486981,3843,8,8,8,8,4.8,0,0,0.11 | 0.11 | 0.11,0,0.76 | 0.76 | 0.76,0,5.26 | 5.26 | 5.26,6.296,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6472.5,0,1
17256486982,3843,8,8,8,8,4.8,0,0,0.11 | 0.11 | 0.11,0,0.76 | 0.76 | 0.76,0,5.26 | 5.26 | 5.26,6.296,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6472.5,0,1
17256486983,3843,8,8,8,8,4.8,0,0,0.11 | 0.11 | 0.11,0,0.76 | 0.76 | 0.76,0,5.26 | 5.26 | 5.26,6.296,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6472.5,0,1
17256486984,3843,8,8,8,8,7.039,0,0,0.11 | 0.11 | 0.11,0,0.33 | 0.54 | 0.76,0,5.26 | 7.36 | 12.27,6.473,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6472.5,0,1
17256486985,3843,8,8,8,8,7.039,0,0,0.11 | 0.11 | 0.11,0,0.33 | 0.54 | 0.76,0,5.26 | 7.36 | 12.27,6.473,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6472.5,0,1
17256486986,3843,8,8,8,8,7.039,0,0,0.11 | 0.11 | 0.11,0,0.33 | 0.54 | 0.76,0,5.26 | 7.36 | 12.27,6.473,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6472.5,0,1
17256486987,3843,8,8,8,8,7.039,0,0,0.11 | 0.11 | 0.11,0,0.33 | 0.54 | 0.76,0,5.26 | 7.36 | 12.27,6.473,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6472.5,0,1
17256486988,3843,8,8,8,8,7.039,0,0,0.11 | 0.11 | 0.11,0,0.33 | 0.54 | 0.76,0,5.26 | 7.36 | 12.27,6.473,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6472.5,0,1
17256486989,3843,8,8,8,8,7.039,0,0,0.11 | 0.11 | 0.11,0,0.33 | 0.54 | 0.76,0,5.26 | 7.36 | 12.27,6.473,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6472.5,0,1
17256486990,3843,8,8,8,8,7.039,0,0,0.11 | 0.11 | 0.11,0,0.33 | 0.54 | 0.76,0,5.26 | 7.36 | 12.27,6.473,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6472.5,0,1
17256486991,3843,8,8,8,8,7.039,0,0,0.11 | 0.11 | 0.11,0,0.33 | 0.54 | 0.76,0,5.26 | 7.36 | 12.27,6.473,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6472.5,0,1
17256486992,3843,8,8,8,8,7.039,0,0,0.11 | 0.11 | 0.11,0,0.33 | 0.54 | 0.76,0,5.26 | 7.36 | 12.27,6.473,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6472.5,0,1
17256486993,3843,8,8,8,8,7.039,0,0,0.11 | 0.11 | 0.11,0,0.33 | 0.54 | 0.76,0,5.26 | 7.36 | 12.27,6.473,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6472.5,0,1
17256486994,3843,8,8,8,8,5.977,0,0,0.11 | 0.11 | 0.11,0,0.33 | 0.54 | 0.76,0,5.26 | 7.36 | 12.27,6.473,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6472.5,0,1
17256486995,3843,8,8,8,8,5.977,0,0,0.11 | 0.11 | 0.11,0,0.33 | 0.54 | 0.76,0,5.26 | 7.36 | 12.27,6.473,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6472.5,0,1
17256486996,3843,8,8,8,8,5.977,0,0,0.11 | 0.11 | 0.11,0,0.33 | 0.54 | 0.76,0,5.26 | 7.36 | 12.27,6.473,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6472.5,0,1
