ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17253144401,580,0,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,875,0,1
17253144402,580,0,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,875,0,1
17253144403,580,5,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,875,0,1
17253144404,580,5,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,875,0,1
17253144405,580,5,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,875,0,1
17253144406,580,5,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,875,0,1
17253144407,580,5,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,875,0,1
17253144408,580,5,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,875,0,1
17253144409,580,5,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,875,0,1
17253144410,580,5,3,8,8,4.056,0,0,0.11 | 0.11 | 0.11,0,2.03 | 2.03 | 2.03,0,1.97 | 1.97 | 1.97,0.875,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,875,0,1
17253144411,580,5,3,8,8,4.056,0,0,0.11 | 0.11 | 0.11,0,2.03 | 2.03 | 2.03,0,1.97 | 1.97 | 1.97,0.875,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,778.5,0,1
17253144412,580,5,3,8,8,4.056,0,0,0.11 | 0.11 | 0.11,0,2.03 | 2.03 | 2.03,0,1.97 | 1.97 | 1.97,0.875,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,778.5,0,1
17253144413,580,5,3,8,8,4.056,0,0,0.11 | 0.11 | 0.11,0,2.03 | 2.03 | 2.03,0,1.97 | 1.97 | 1.97,0.875,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,778.5,0,1
17253144414,580,5,3,8,8,4.056,0,0,0.11 | 0.11 | 0.11,0,2.03 | 2.03 | 2.03,0,1.97 | 1.97 | 1.97,0.875,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,778.5,0,1
17253144415,580,5,3,8,8,4.056,0,0,0.11 | 0.11 | 0.11,0,2.03 | 2.03 | 2.03,0,1.97 | 1.97 | 1.97,0.875,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,778.5,0,1
17253144416,580,5,3,8,8,4.056,0,0,0.11 | 0.11 | 0.11,0,2.03 | 2.03 | 2.03,0,1.97 | 1.97 | 1.97,0.875,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,778.5,0,1
