ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17252932231,2406,0,7,8,8,4.8,0,0,0.21 | 0.21 | 0.21,0,0.59 | 0.59 | 0.59,0,6.77 | 6.77 | 6.77,3.011,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3011,0,1
17252932232,2406,5,7,8,8,4.8,0,0,0.21 | 0.21 | 0.21,0,0.59 | 0.59 | 0.59,0,6.77 | 6.77 | 6.77,3.011,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3011,0,1
17252932233,2406,5,7,8,8,4.8,0,0,0.21 | 0.21 | 0.21,0,0.59 | 0.59 | 0.59,0,6.77 | 6.77 | 6.77,3.011,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3011,0,1
17252932234,2406,5,7,8,8,4.8,0,0,0.21 | 0.21 | 0.21,0,0.59 | 0.59 | 0.59,0,6.77 | 6.77 | 6.77,3.011,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3011,0,1
17252932235,2406,5,7,8,8,4.8,0,0,0.21 | 0.21 | 0.21,0,0.59 | 0.59 | 0.59,0,6.77 | 6.77 | 6.77,3.011,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3011,0,1
17252932236,2406,5,7,8,8,4.8,0,0,0.21 | 0.21 | 0.21,0,0.59 | 0.59 | 0.59,0,6.77 | 6.77 | 6.77,3.011,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3011,0,1
17252932237,2406,5,7,8,8,4.8,0,0,0.21 | 0.21 | 0.21,0,0.59 | 0.59 | 0.59,0,6.77 | 6.77 | 6.77,3.011,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3011,0,1
17252932238,2406,5,7,8,8,4.8,0,0,0.21 | 0.21 | 0.21,0,0.59 | 0.59 | 0.59,0,6.77 | 6.77 | 6.77,3.011,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3011,0,1
17252932239,2406,5,7,8,8,4.8,0,0,0.21 | 0.21 | 0.21,0,0.59 | 0.59 | 0.59,0,6.77 | 6.77 | 6.77,3.011,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3011,0,1
17252932240,2406,5,7,8,8,4.8,0,0,0.21 | 0.21 | 0.21,0,0.59 | 0.59 | 0.59,0,6.77 | 6.77 | 6.77,3.011,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3011,0,1
