ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17253112430,965,0,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1713,0,1
17253112431,965,0,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1713,0,1
17253112432,965,5,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1713,0,1
17253112433,965,5,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1713,0,1
17253112434,965,5,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1713,0,1
17253112435,965,5,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1713,0,1
17253112436,965,5,5,8,8,4.314,0,0,0.31 | 0.31 | 0.31,0,1.04 | 1.04 | 1.04,0,3.85 | 3.85 | 3.85,1.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1713,0,1
17253112437,965,5,5,8,8,4.314,0,0,0.31 | 0.31 | 0.31,0,1.04 | 1.04 | 1.04,0,3.85 | 3.85 | 3.85,1.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1713,0,1
17253112438,965,5,5,8,8,4.314,0,0,0.31 | 0.31 | 0.31,0,1.04 | 1.04 | 1.04,0,3.85 | 3.85 | 3.85,1.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1713,0,1
17253112439,965,5,5,8,8,4.314,0,0,0.31 | 0.31 | 0.31,0,1.04 | 1.04 | 1.04,0,3.85 | 3.85 | 3.85,1.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1713,0,1
17253112440,965,5,5,8,8,4.314,0,0,0.31 | 0.31 | 0.31,0,1.04 | 1.04 | 1.04,0,3.85 | 3.85 | 3.85,1.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1713,0,1
17253112441,965,5,5,8,8,4.314,0,0,0.31 | 0.31 | 0.31,0,1.04 | 1.04 | 1.04,0,3.85 | 3.85 | 3.85,1.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1302,0,1
17253112442,965,5,5,8,8,4.314,0,0,0.31 | 0.31 | 0.31,0,1.04 | 1.04 | 1.04,0,3.85 | 3.85 | 3.85,1.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1302,0,1
17253112443,965,5,5,8,8,4.314,0,0,0.31 | 0.31 | 0.31,0,1.04 | 1.04 | 1.04,0,3.85 | 3.85 | 3.85,1.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1302,0,1
