ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17255675354,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17255675355,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17255675356,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17255675357,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17255675358,772,5,4,8,8,3.949,0,0,0.11 | 0.11 | 0.11,0,1.92 | 1.92 | 1.92,0,2.08 | 2.08 | 2.08,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,926,0,1
17255675359,580,5,3,8,8,3.949,0,0,0.11 | 0.11 | 0.11,0,1.92 | 1.92 | 1.92,0,2.08 | 2.08 | 2.08,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,899,0,1
17255675360,580,5,3,8,8,3.949,0,0,0.11 | 0.11 | 0.11,0,1.92 | 1.92 | 1.92,0,2.08 | 2.08 | 2.08,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,899,0,1
17255675361,580,5,3,8,8,3.949,0,0,0.11 | 0.11 | 0.11,0,1.92 | 1.92 | 1.92,0,2.08 | 2.08 | 2.08,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,899,0,1
17255675362,580,5,3,8,8,3.949,0,0,0.11 | 0.11 | 0.11,0,1.92 | 1.92 | 1.92,0,2.08 | 2.08 | 2.08,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,899,0,1
17255675363,580,5,3,8,8,3.949,0,0,0.11 | 0.11 | 0.11,0,1.92 | 1.92 | 1.92,0,2.08 | 2.08 | 2.08,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,899,0,1
17255675364,580,5,3,8,8,3.949,0,0,0.11 | 0.11 | 0.11,0,1.92 | 1.92 | 1.92,0,2.08 | 2.08 | 2.08,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,899,0,1
17255675365,580,5,3,8,8,3.949,0,0,0.11 | 0.11 | 0.11,0,1.92 | 1.92 | 1.92,0,2.08 | 2.08 | 2.08,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,899,0,1
17255675366,580,5,3,8,8,3.949,0,0,0.11 | 0.11 | 0.11,0,1.92 | 1.92 | 1.92,0,2.08 | 2.08 | 2.08,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,899,0,1
17255675367,580,5,3,8,8,3.949,0,0,0.11 | 0.11 | 0.11,0,1.92 | 1.92 | 1.92,0,2.08 | 2.08 | 2.08,0.926,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,899,0,1
17255675368,580,5,3,8,8,6.086,0,0,0.11 | 0.11 | 0.11,0,0.79 | 1.36 | 1.92,0,2.08 | 2.95 | 5.04,0.899,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,899,0,1
17255675369,580,5,3,8,8,6.086,0,0,0.11 | 0.11 | 0.11,0,0.79 | 1.36 | 1.92,0,2.08 | 2.95 | 5.04,0.899,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,899,0,1
17255675370,580,5,3,8,8,6.086,0,0,0.11 | 0.11 | 0.11,0,0.79 | 1.36 | 1.92,0,2.08 | 2.95 | 5.04,0.899,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,899,0,1
17255675371,580,5,3,8,8,6.086,0,0,0.11 | 0.11 | 0.11,0,0.79 | 1.36 | 1.92,0,2.08 | 2.95 | 5.04,0.899,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,899,0,1
