ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17255729428,772,0,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937,0,1
17255729429,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937,0,1
17255729430,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937,0,1
17255729431,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937,0,1
17255729432,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937,0,1
17255729433,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937,0,1
17255729434,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937,0,1
17255729435,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937,0,1
17255729436,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937,0,1
17255729437,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937,0,1
17255729438,772,5,4,8,8,3.906,0,0,0.11 | 0.11 | 0.11,0,1.90 | 1.90 | 1.90,0,2.11 | 2.11 | 2.11,0.937,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,937,0,1
17255729439,580,5,3,8,8,3.906,0,0,0.11 | 0.11 | 0.11,0,1.90 | 1.90 | 1.90,0,2.11 | 2.11 | 2.11,0.937,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,883,0,1
17255729440,580,5,3,8,8,3.906,0,0,0.11 | 0.11 | 0.11,0,1.90 | 1.90 | 1.90,0,2.11 | 2.11 | 2.11,0.937,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,883,0,1
17255729441,580,5,3,8,8,3.906,0,0,0.11 | 0.11 | 0.11,0,1.90 | 1.90 | 1.90,0,2.11 | 2.11 | 2.11,0.937,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,883,0,1
17255729442,580,5,3,8,8,3.906,0,0,0.11 | 0.11 | 0.11,0,1.90 | 1.90 | 1.90,0,2.11 | 2.11 | 2.11,0.937,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,883,0,1
17255729443,580,5,3,8,8,3.906,0,0,0.11 | 0.11 | 0.11,0,1.90 | 1.90 | 1.90,0,2.11 | 2.11 | 2.11,0.937,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,883,0,1
17255729444,580,5,3,8,8,3.906,0,0,0.11 | 0.11 | 0.11,0,1.90 | 1.90 | 1.90,0,2.11 | 2.11 | 2.11,0.937,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,883,0,1
17255729445,580,5,3,8,8,3.906,0,0,0.11 | 0.11 | 0.11,0,1.90 | 1.90 | 1.90,0,2.11 | 2.11 | 2.11,0.937,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,883,0,1
17255729446,580,5,3,8,8,3.906,0,0,0.11 | 0.11 | 0.11,0,1.90 | 1.90 | 1.90,0,2.11 | 2.11 | 2.11,0.937,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,883,0,1
17255729447,580,5,3,8,8,3.906,0,0,0.11 | 0.11 | 0.11,0,1.90 | 1.90 | 1.90,0,2.11 | 2.11 | 2.11,0.937,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,883,0,1
17255729448,580,5,3,8,8,6.043,0,0,0.11 | 0.11 | 0.11,0,0.83 | 1.37 | 1.90,0,2.11 | 2.93 | 4.80,0.883,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,883,0,1
17255729449,580,5,3,8,8,6.043,0,0,0.11 | 0.11 | 0.11,0,0.83 | 1.37 | 1.90,0,2.11 | 2.93 | 4.80,0.883,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,883,0,1
17255729450,580,5,3,8,8,6.043,0,0,0.11 | 0.11 | 0.11,0,0.83 | 1.37 | 1.90,0,2.11 | 2.93 | 4.80,0.883,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,883,0,1
17255729451,580,5,3,8,8,6.043,0,0,0.11 | 0.11 | 0.11,0,0.83 | 1.37 | 1.90,0,2.11 | 2.93 | 4.80,0.883,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,883,0,1
17255729452,580,5,3,8,8,6.043,0,0,0.11 | 0.11 | 0.11,0,0.83 | 1.37 | 1.90,0,2.11 | 2.93 | 4.80,0.883,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,883,0,1
17255729453,580,5,3,8,8,6.043,0,0,0.11 | 0.11 | 0.11,0,0.83 | 1.37 | 1.90,0,2.11 | 2.93 | 4.80,0.883,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,883,0,1
17255729454,580,5,3,8,8,6.043,0,0,0.11 | 0.11 | 0.11,0,0.83 | 1.37 | 1.90,0,2.11 | 2.93 | 4.80,0.883,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,883,0,1
17255729455,580,5,3,8,8,6.043,0,0,0.11 | 0.11 | 0.11,0,0.83 | 1.37 | 1.90,0,2.11 | 2.93 | 4.80,0.883,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,883,0,1
