ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17253873732,772,0,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,930,0,1
17253873733,772,0,4,8,8,4.8,0,0,0.10 | 0.10 | 0.10,0,1.80 | 1.80 | 1.80,0,2.22 | 2.22 | 2.22,0.930,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,930,0,1
17253873734,772,4,4,8,8,4.8,0,0,0.10 | 0.10 | 0.10,0,1.80 | 1.80 | 1.80,0,2.22 | 2.22 | 2.22,0.930,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,930,0,1
17253873735,772,4,4,8,8,4.8,0,0,0.10 | 0.10 | 0.10,0,1.80 | 1.80 | 1.80,0,2.22 | 2.22 | 2.22,0.930,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,930,0,1
17253873736,772,4,4,8,8,4.8,0,0,0.10 | 0.10 | 0.10,0,1.80 | 1.80 | 1.80,0,2.22 | 2.22 | 2.22,0.930,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,930,0,1
17253873737,772,4,4,8,8,4.8,0,0,0.10 | 0.10 | 0.10,0,1.80 | 1.80 | 1.80,0,2.22 | 2.22 | 2.22,0.930,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,930,0,1
17253873738,772,4,4,8,8,4.8,0,0,0.10 | 0.10 | 0.10,0,1.80 | 1.80 | 1.80,0,2.22 | 2.22 | 2.22,0.930,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,930,0,1
17253873739,772,4,4,8,8,4.8,0,0,0.10 | 0.10 | 0.10,0,1.80 | 1.80 | 1.80,0,2.22 | 2.22 | 2.22,0.930,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,930,0,1
17253873740,772,4,4,8,8,4.8,0,0,0.10 | 0.10 | 0.10,0,1.80 | 1.80 | 1.80,0,2.22 | 2.22 | 2.22,0.930,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,930,0,1
17253873741,772,4,4,8,8,4.8,0,0,0.10 | 0.10 | 0.10,0,1.80 | 1.80 | 1.80,0,2.22 | 2.22 | 2.22,0.930,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,930,0,1
17253873742,580,4,3,8,8,4.8,0,0,0.10 | 0.10 | 0.10,0,1.80 | 1.80 | 1.80,0,2.22 | 2.22 | 2.22,0.930,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873743,580,4,3,8,8,6.919,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873744,580,4,3,8,8,6.919,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873745,580,4,3,8,8,6.919,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873746,580,4,3,8,8,6.919,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873747,580,4,3,8,8,6.919,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873748,580,4,3,8,8,6.919,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873749,580,4,3,8,8,6.919,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873750,580,4,3,8,8,6.919,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873751,580,4,3,8,8,6.919,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873752,580,4,3,8,8,6.919,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873753,580,4,3,8,8,5.943,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873754,580,4,3,8,8,5.943,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873755,580,4,3,8,8,5.943,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873756,580,4,3,8,8,5.943,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873757,580,4,3,8,8,5.943,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873758,580,4,3,8,8,5.943,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873759,580,4,3,8,8,5.943,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873760,580,4,3,8,8,5.943,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873761,580,4,3,8,8,5.943,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873762,580,4,3,8,8,5.943,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873763,580,4,3,8,8,5.146,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873764,580,4,3,8,8,5.146,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873765,580,4,3,8,8,5.146,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873766,580,4,3,8,8,5.146,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873767,580,4,3,8,8,5.146,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873768,580,4,3,8,8,5.146,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873769,580,4,3,8,8,5.146,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873770,580,4,3,8,8,5.146,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873771,580,4,3,8,8,5.146,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
17253873772,580,4,3,8,8,5.146,0,0,0.10 | 0.11 | 0.11,0,0.85 | 1.32 | 1.80,0,2.22 | 3.02 | 4.71,0.872,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,872,0,1
