ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
1723405011,3843,5,8,8,0,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,1
1723405012,3843,5,8,8,8,7.522,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405012,3843,5,8,8,8,7.522,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405012,3843,5,8,8,8,7.522,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405012,3843,5,8,8,8,7.522,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405012,3843,5,8,8,8,7.522,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405012,3843,5,8,8,8,7.522,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405012,3843,5,8,8,8,7.522,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405012,3843,5,8,8,8,7.522,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405012,3843,5,8,8,8,7.522,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405012,3843,5,8,8,8,7.522,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405013,3843,5,8,8,8,6.585,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405013,3843,5,8,8,8,6.585,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405013,3843,5,8,8,8,6.585,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405013,3843,5,8,8,8,6.585,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405013,3843,5,8,8,8,6.585,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405013,3843,5,8,8,8,6.585,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405013,3843,5,8,8,8,6.585,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405013,3843,5,8,8,8,6.585,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405013,3843,5,8,8,8,6.585,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405013,3843,5,8,8,8,6.585,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405014,3843,5,8,8,8,5.523,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405014,3843,5,8,8,8,5.523,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405014,3843,5,8,8,8,5.523,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405014,3843,5,8,8,8,5.523,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405014,3843,5,8,8,8,5.523,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405014,3843,5,8,8,8,5.523,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405014,3843,5,8,8,8,5.523,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405014,3843,5,8,8,8,5.523,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405014,3843,5,8,8,8,5.523,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405014,3843,5,8,8,8,5.523,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.30,0,13.11 | 15.07 | 17.70,7.713,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405015,3843,5,8,8,8,9.26,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.96 | 2.36,0,1.70 | 4.15 | 17.70,8.297,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405015,3843,5,8,8,8,9.26,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.96 | 2.36,0,1.70 | 4.15 | 17.70,8.297,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405015,3843,5,8,8,8,9.26,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.96 | 2.36,0,1.70 | 4.15 | 17.70,8.297,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405015,3843,5,8,8,8,9.26,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.96 | 2.36,0,1.70 | 4.15 | 17.70,8.297,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405015,3843,5,8,8,8,9.26,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.96 | 2.36,0,1.70 | 4.15 | 17.70,8.297,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405015,3843,8,8,8,8,9.26,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.96 | 2.36,0,1.70 | 4.15 | 17.70,8.297,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405015,3843,8,8,8,8,9.26,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.96 | 2.36,0,1.70 | 4.15 | 17.70,8.297,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405015,3843,8,8,8,8,9.26,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.96 | 2.36,0,1.70 | 4.15 | 17.70,8.297,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405015,3843,8,8,8,8,9.26,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.96 | 2.36,0,1.70 | 4.15 | 17.70,8.297,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405015,3843,8,8,8,8,9.26,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.96 | 2.36,0,1.70 | 4.15 | 17.70,8.297,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405016,3843,8,8,8,8,11.553,0,0,0.11 | 0.11 | 0.11,0,0.23 | 1.05 | 2.36,0,1.70 | 3.81 | 17.70,8.592,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405016,3843,8,8,8,8,11.553,0,0,0.11 | 0.11 | 0.11,0,0.23 | 1.05 | 2.36,0,1.70 | 3.81 | 17.70,8.592,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405016,3843,8,8,8,8,11.553,0,0,0.11 | 0.11 | 0.11,0,0.23 | 1.05 | 2.36,0,1.70 | 3.81 | 17.70,8.592,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405016,3843,8,8,8,8,11.553,0,0,0.11 | 0.11 | 0.11,0,0.23 | 1.05 | 2.36,0,1.70 | 3.81 | 17.70,8.592,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405016,3843,8,8,8,8,11.553,0,0,0.11 | 0.11 | 0.11,0,0.23 | 1.05 | 2.36,0,1.70 | 3.81 | 17.70,8.592,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723405016,3843,8,8,8,8,11.553,0,0,0.11 | 0.11 | 0.11,0,0.23 | 1.05 | 2.36,0,1.70 | 3.81 | 17.70,8.592,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
