ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17253168257,580,0,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,847,0,1
17253168258,580,0,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,847,0,1
17253168259,580,5,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,847,0,1
17253168260,580,5,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,847,0,1
17253168261,580,5,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,847,0,1
17253168262,580,5,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,847,0,1
17253168263,580,5,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,847,0,1
17253168264,580,5,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,847,0,1
17253168265,580,5,3,8,8,4.118,0,0,0.11 | 0.11 | 0.11,0,2.10 | 2.10 | 2.10,0,1.90 | 1.90 | 1.90,0.847,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,847,0,1
17253168266,580,5,3,8,8,4.118,0,0,0.11 | 0.11 | 0.11,0,2.10 | 2.10 | 2.10,0,1.90 | 1.90 | 1.90,0.847,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,847,0,1
17253168267,580,5,3,8,8,4.118,0,0,0.11 | 0.11 | 0.11,0,2.10 | 2.10 | 2.10,0,1.90 | 1.90 | 1.90,0.847,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,804,0,1
17253168268,580,5,3,8,8,4.118,0,0,0.11 | 0.11 | 0.11,0,2.10 | 2.10 | 2.10,0,1.90 | 1.90 | 1.90,0.847,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,804,0,1
17253168269,580,5,3,8,8,4.118,0,0,0.11 | 0.11 | 0.11,0,2.10 | 2.10 | 2.10,0,1.90 | 1.90 | 1.90,0.847,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,804,0,1
17253168270,580,5,3,8,8,4.118,0,0,0.11 | 0.11 | 0.11,0,2.10 | 2.10 | 2.10,0,1.90 | 1.90 | 1.90,0.847,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,804,0,1
