ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17253125939,965,0,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1709,0,1
17253125940,965,0,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1709,0,1
17253125941,965,0,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1709,0,1
17253125942,965,5,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1709,0,1
17253125943,965,5,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1709,0,1
17253125944,965,5,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1709,0,1
17253125945,965,5,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1709,0,1
17253125946,965,5,5,8,8,4.314,0,0,0.31 | 0.31 | 0.31,0,1.04 | 1.04 | 1.04,0,3.84 | 3.84 | 3.84,1.709,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1709,0,1
17253125947,965,5,5,8,8,4.314,0,0,0.31 | 0.31 | 0.31,0,1.04 | 1.04 | 1.04,0,3.84 | 3.84 | 3.84,1.709,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1709,0,1
17253125948,965,5,5,8,8,4.314,0,0,0.31 | 0.31 | 0.31,0,1.04 | 1.04 | 1.04,0,3.84 | 3.84 | 3.84,1.709,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1709,0,1
17253125949,965,5,5,8,8,4.314,0,0,0.31 | 0.31 | 0.31,0,1.04 | 1.04 | 1.04,0,3.84 | 3.84 | 3.84,1.709,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1709,0,1
17253125950,965,5,5,8,8,4.314,0,0,0.31 | 0.31 | 0.31,0,1.04 | 1.04 | 1.04,0,3.84 | 3.84 | 3.84,1.709,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1709,0,1
17253125951,965,5,5,8,8,4.314,0,0,0.31 | 0.31 | 0.31,0,1.04 | 1.04 | 1.04,0,3.84 | 3.84 | 3.84,1.709,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125952,965,5,5,8,8,4.314,0,0,0.31 | 0.31 | 0.31,0,1.04 | 1.04 | 1.04,0,3.84 | 3.84 | 3.84,1.709,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125953,965,5,5,8,8,4.314,0,0,0.31 | 0.31 | 0.31,0,1.04 | 1.04 | 1.04,0,3.84 | 3.84 | 3.84,1.709,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125954,965,5,5,8,8,4.314,0,0,0.31 | 0.31 | 0.31,0,1.04 | 1.04 | 1.04,0,3.84 | 3.84 | 3.84,1.709,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125955,965,5,5,8,8,4.314,0,0,0.31 | 0.31 | 0.31,0,1.04 | 1.04 | 1.04,0,3.84 | 3.84 | 3.84,1.709,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125956,965,5,5,8,8,6.451,0,0,0.31 | 0.31 | 0.31,0,0.85 | 0.95 | 1.04,0,3.84 | 4.22 | 4.68,1.300,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125957,965,5,5,8,8,6.451,0,0,0.31 | 0.31 | 0.31,0,0.85 | 0.95 | 1.04,0,3.84 | 4.22 | 4.68,1.300,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125958,965,5,5,8,8,6.451,0,0,0.31 | 0.31 | 0.31,0,0.85 | 0.95 | 1.04,0,3.84 | 4.22 | 4.68,1.300,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125959,965,5,5,8,8,6.451,0,0,0.31 | 0.31 | 0.31,0,0.85 | 0.95 | 1.04,0,3.84 | 4.22 | 4.68,1.300,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125960,965,5,5,8,8,6.451,0,0,0.31 | 0.31 | 0.31,0,0.85 | 0.95 | 1.04,0,3.84 | 4.22 | 4.68,1.300,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125961,965,5,5,8,8,6.451,0,0,0.31 | 0.31 | 0.31,0,0.85 | 0.95 | 1.04,0,3.84 | 4.22 | 4.68,1.300,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125962,965,5,5,8,8,6.451,0,0,0.31 | 0.31 | 0.31,0,0.85 | 0.95 | 1.04,0,3.84 | 4.22 | 4.68,1.300,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125963,965,5,5,8,8,6.451,0,0,0.31 | 0.31 | 0.31,0,0.85 | 0.95 | 1.04,0,3.84 | 4.22 | 4.68,1.300,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125964,965,5,5,8,8,6.451,0,0,0.31 | 0.31 | 0.31,0,0.85 | 0.95 | 1.04,0,3.84 | 4.22 | 4.68,1.300,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125965,965,5,5,8,8,6.451,0,0,0.31 | 0.31 | 0.31,0,0.85 | 0.95 | 1.04,0,3.84 | 4.22 | 4.68,1.300,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125966,965,5,5,8,8,5.389,0,0,0.31 | 0.31 | 0.31,0,0.85 | 0.95 | 1.04,0,3.84 | 4.22 | 4.68,1.300,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125967,965,5,5,8,8,5.389,0,0,0.31 | 0.31 | 0.31,0,0.85 | 0.95 | 1.04,0,3.84 | 4.22 | 4.68,1.300,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125968,965,5,5,8,8,5.389,0,0,0.31 | 0.31 | 0.31,0,0.85 | 0.95 | 1.04,0,3.84 | 4.22 | 4.68,1.300,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125969,965,5,5,8,8,5.389,0,0,0.31 | 0.31 | 0.31,0,0.85 | 0.95 | 1.04,0,3.84 | 4.22 | 4.68,1.300,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125970,965,5,5,8,8,5.389,0,0,0.31 | 0.31 | 0.31,0,0.85 | 0.95 | 1.04,0,3.84 | 4.22 | 4.68,1.300,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125971,965,5,5,8,8,5.389,0,0,0.31 | 0.31 | 0.31,0,0.85 | 0.95 | 1.04,0,3.84 | 4.22 | 4.68,1.300,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125972,965,5,5,8,8,5.389,0,0,0.31 | 0.31 | 0.31,0,0.85 | 0.95 | 1.04,0,3.84 | 4.22 | 4.68,1.300,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125973,965,5,5,8,8,5.389,0,0,0.31 | 0.31 | 0.31,0,0.85 | 0.95 | 1.04,0,3.84 | 4.22 | 4.68,1.300,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1300.5,0,1
17253125974,1446,5,6,8,8,5.389,0,0,0.31 | 0.31 | 0.31,0,0.85 | 0.95 | 1.04,0,3.84 | 4.22 | 4.68,1.300,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1782.3333333333333,0,1
17253125975,1446,5,6,8,8,5.389,0,0,0.31 | 0.31 | 0.31,0,0.85 | 0.95 | 1.04,0,3.84 | 4.22 | 4.68,1.300,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1782.3333333333333,0,1
17253125976,1446,5,6,8,8,9.287,0,0,0.31 | 0.31 | 0.31,0,0.85 | 1.31 | 2.05,0,1.96 | 3.04 | 4.68,1.782,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1782.3333333333333,0,1
17253125977,1446,5,6,8,8,9.287,0,0,0.31 | 0.31 | 0.31,0,0.85 | 1.31 | 2.05,0,1.96 | 3.04 | 4.68,1.782,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1782.3333333333333,0,1
17253125978,1446,5,6,8,8,9.287,0,0,0.31 | 0.31 | 0.31,0,0.85 | 1.31 | 2.05,0,1.96 | 3.04 | 4.68,1.782,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1782.3333333333333,0,1
17253125979,1446,5,6,8,8,9.287,0,0,0.31 | 0.31 | 0.31,0,0.85 | 1.31 | 2.05,0,1.96 | 3.04 | 4.68,1.782,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1782.3333333333333,0,1
17253125980,1446,5,6,8,8,9.287,0,0,0.31 | 0.31 | 0.31,0,0.85 | 1.31 | 2.05,0,1.96 | 3.04 | 4.68,1.782,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1782.3333333333333,0,1
17253125981,1446,5,6,8,8,9.287,0,0,0.31 | 0.31 | 0.31,0,0.85 | 1.31 | 2.05,0,1.96 | 3.04 | 4.68,1.782,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1782.3333333333333,0,1
17253125982,1446,5,6,8,8,9.287,0,0,0.31 | 0.31 | 0.31,0,0.85 | 1.31 | 2.05,0,1.96 | 3.04 | 4.68,1.782,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1782.3333333333333,0,1
17253125983,1446,5,6,8,8,9.287,0,0,0.31 | 0.31 | 0.31,0,0.85 | 1.31 | 2.05,0,1.96 | 3.04 | 4.68,1.782,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1782.3333333333333,0,1
