ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17254717937,2406,0,7,8,0,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,0,4064,0,1
17254717938,2406,6,7,8,0,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,0,4064,0,1
17254717939,2406,6,7,8,0,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,0,4064,0,1
17254717940,2406,6,7,8,8,4.572,0,0,0.11 | 0.11 | 0.11,0,0.58 | 0.58 | 0.58,0,6.90 | 6.90 | 6.90,4.064,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,4064,0,1
17254717941,2406,6,7,8,8,4.572,0,0,0.11 | 0.11 | 0.11,0,0.58 | 0.58 | 0.58,0,6.90 | 6.90 | 6.90,4.064,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,4064,0,1
17254717942,2406,6,7,8,8,4.572,0,0,0.11 | 0.11 | 0.11,0,0.58 | 0.58 | 0.58,0,6.90 | 6.90 | 6.90,4.064,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,4064,0,1
17254717943,2406,6,7,8,8,4.572,0,0,0.11 | 0.11 | 0.11,0,0.58 | 0.58 | 0.58,0,6.90 | 6.90 | 6.90,4.064,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,4064,0,1
17254717944,2406,6,7,8,8,4.572,0,0,0.11 | 0.11 | 0.11,0,0.58 | 0.58 | 0.58,0,6.90 | 6.90 | 6.90,4.064,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3891.5,0,1
17254717945,2406,6,7,8,8,4.572,0,0,0.11 | 0.11 | 0.11,0,0.58 | 0.58 | 0.58,0,6.90 | 6.90 | 6.90,4.064,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3891.5,0,1
17254717946,2406,6,7,8,8,4.572,0,0,0.11 | 0.11 | 0.11,0,0.58 | 0.58 | 0.58,0,6.90 | 6.90 | 6.90,4.064,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3891.5,0,1
17254717947,2406,6,7,8,8,4.572,0,0,0.11 | 0.11 | 0.11,0,0.58 | 0.58 | 0.58,0,6.90 | 6.90 | 6.90,4.064,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3891.5,0,1
17254717948,2406,6,7,8,8,4.572,0,0,0.11 | 0.11 | 0.11,0,0.58 | 0.58 | 0.58,0,6.90 | 6.90 | 6.90,4.064,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3891.5,0,1
17254717949,2406,6,7,8,8,4.572,0,0,0.11 | 0.11 | 0.11,0,0.58 | 0.58 | 0.58,0,6.90 | 6.90 | 6.90,4.064,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3891.5,0,1
17254717950,2406,6,7,8,8,6.851,0,0,0.11 | 0.11 | 0.11,0,0.43 | 0.51 | 0.58,0,6.90 | 7.88 | 9.20,3.892,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3891.5,0,1
17254717951,2406,6,7,8,8,6.851,0,0,0.11 | 0.11 | 0.11,0,0.43 | 0.51 | 0.58,0,6.90 | 7.88 | 9.20,3.892,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3891.5,0,1
17254717952,2406,6,7,8,8,6.851,0,0,0.11 | 0.11 | 0.11,0,0.43 | 0.51 | 0.58,0,6.90 | 7.88 | 9.20,3.892,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3891.5,0,1
17254717953,2406,6,7,8,8,6.851,0,0,0.11 | 0.11 | 0.11,0,0.43 | 0.51 | 0.58,0,6.90 | 7.88 | 9.20,3.892,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3891.5,0,1
17254717954,2406,6,7,8,8,6.851,0,0,0.11 | 0.11 | 0.11,0,0.43 | 0.51 | 0.58,0,6.90 | 7.88 | 9.20,3.892,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3891.5,0,1
