ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17252249647,580,4,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,882,0,1
17252249648,580,4,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,882,0,1
17252249649,580,4,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,882,0,1
17252249650,580,4,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,882,0,1
17252249651,580,4,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,882,0,1
17252249652,580,4,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,882,0,1
17252249653,580,4,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,882,0,1
17252249654,580,4,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,882,0,1
17252249655,580,4,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,882,0,1
17252249656,580,4,3,8,8,4.007,0,0,0.21 | 0.21 | 0.21,0,1.90 | 1.90 | 1.90,0,2.11 | 2.11 | 2.11,0.882,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,882,0,1
17252249657,772,4,4,8,8,4.007,0,0,0.21 | 0.21 | 0.21,0,1.90 | 1.90 | 1.90,0,2.11 | 2.11 | 2.11,0.882,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,929,0,1
17252249658,772,4,4,8,8,4.007,0,0,0.21 | 0.21 | 0.21,0,1.90 | 1.90 | 1.90,0,2.11 | 2.11 | 2.11,0.882,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,929,0,1
