ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17264845060,3843,3,8,8,8,7.427,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.32,0,12.54 | 14.60 | 17.47,6.067,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6067,0,1
17264845061,3843,3,8,8,8,7.427,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.32,0,12.54 | 14.60 | 17.47,6.067,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6067,0,1
17264845062,3843,3,8,8,8,7.427,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.32,0,12.54 | 14.60 | 17.47,6.067,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6067,0,1
17264845063,3843,3,8,8,8,7.427,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.32,0,12.54 | 14.60 | 17.47,6.067,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6067,0,1
17264845064,3843,3,8,8,8,7.427,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.32,0,12.54 | 14.60 | 17.47,6.067,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6067,0,1
17264845065,3843,3,8,8,8,7.427,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.32,0,12.54 | 14.60 | 17.47,6.067,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6067,0,1
17264845066,3843,3,8,8,8,7.427,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.32,0,12.54 | 14.60 | 17.47,6.067,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6067,0,1
17264845067,3843,3,8,8,8,7.427,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.32,0,12.54 | 14.60 | 17.47,6.067,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6067,0,1
17264845068,3843,3,8,8,8,7.427,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.32,0,12.54 | 14.60 | 17.47,6.067,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6067,0,1
17264845069,3843,3,8,8,8,6.474,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.32,0,12.54 | 14.60 | 17.47,6.067,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6067,0,1
17264845070,3843,3,8,8,8,6.474,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.32,0,12.54 | 14.60 | 17.47,6.067,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6067,0,1
17264845071,3843,3,8,8,8,6.474,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.27 | 0.32,0,12.54 | 14.60 | 17.47,6.067,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,6067,0,1
