ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17264840804,580,0,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,797,0,1
17264840805,580,0,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,797,0,1
17264840806,580,4,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,797,0,1
17264840807,580,4,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,797,0,1
17264840808,580,4,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,797,0,1
17264840809,580,4,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,797,0,1
17264840810,580,4,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,797,0,1
17264840811,580,4,3,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,797,0,1
17264840812,580,4,3,8,8,4.1,0,0,0.11 | 0.11 | 0.11,0,2.10 | 2.10 | 2.10,0,1.91 | 1.91 | 1.91,0.797,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,797,0,1
17264840813,580,4,3,8,8,4.1,0,0,0.11 | 0.11 | 0.11,0,2.10 | 2.10 | 2.10,0,1.91 | 1.91 | 1.91,0.797,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,797,0,1
17264840814,580,4,3,8,8,4.1,0,0,0.11 | 0.11 | 0.11,0,2.10 | 2.10 | 2.10,0,1.91 | 1.91 | 1.91,0.797,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,755,0,1
17264840815,580,4,3,8,8,4.1,0,0,0.11 | 0.11 | 0.11,0,2.10 | 2.10 | 2.10,0,1.91 | 1.91 | 1.91,0.797,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,755,0,1
17264840816,580,4,3,8,8,4.1,0,0,0.11 | 0.11 | 0.11,0,2.10 | 2.10 | 2.10,0,1.91 | 1.91 | 1.91,0.797,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,755,0,1
