ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17239518974,772,0,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1051,0,1
17239518975,772,0,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1051,0,1
17239518976,772,6,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1051,0,1
17239518977,772,6,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1051,0,1
17239518978,772,6,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1051,0,1
17239518979,772,6,4,8,8,4.447,0,0,0.30 | 0.30 | 0.30,0,2.24 | 2.24 | 2.24,0,1.78 | 1.78 | 1.78,1.051,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1051,0,1
17239518980,772,6,4,8,8,4.447,0,0,0.30 | 0.30 | 0.30,0,2.24 | 2.24 | 2.24,0,1.78 | 1.78 | 1.78,1.051,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1051,0,1
17239518981,772,6,4,8,8,4.447,0,0,0.30 | 0.30 | 0.30,0,2.24 | 2.24 | 2.24,0,1.78 | 1.78 | 1.78,1.051,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1051,0,1
17239518982,772,6,4,8,8,4.447,0,0,0.30 | 0.30 | 0.30,0,2.24 | 2.24 | 2.24,0,1.78 | 1.78 | 1.78,1.051,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1051,0,1
17239518983,772,6,4,8,8,4.447,0,0,0.30 | 0.30 | 0.30,0,2.24 | 2.24 | 2.24,0,1.78 | 1.78 | 1.78,1.051,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1051,0,1
17239518984,772,6,4,8,8,4.447,0,0,0.30 | 0.30 | 0.30,0,2.24 | 2.24 | 2.24,0,1.78 | 1.78 | 1.78,1.051,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1051,0,1
17239518985,772,6,4,8,8,4.447,0,0,0.30 | 0.30 | 0.30,0,2.24 | 2.24 | 2.24,0,1.78 | 1.78 | 1.78,1.051,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1051,0,1
17239518986,772,6,4,8,8,4.447,0,0,0.30 | 0.30 | 0.30,0,2.24 | 2.24 | 2.24,0,1.78 | 1.78 | 1.78,1.051,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1051,0,1
17239518987,772,6,4,8,8,4.447,0,0,0.30 | 0.30 | 0.30,0,2.24 | 2.24 | 2.24,0,1.78 | 1.78 | 1.78,1.051,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1051,0,1
17239518988,772,6,4,8,8,4.447,0,0,0.30 | 0.30 | 0.30,0,2.24 | 2.24 | 2.24,0,1.78 | 1.78 | 1.78,1.051,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1051,0,1
17239518989,772,6,4,8,8,3.384,0,0,0.30 | 0.30 | 0.30,0,2.24 | 2.24 | 2.24,0,1.78 | 1.78 | 1.78,1.051,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1051,0,1
17239518990,772,6,4,8,8,3.384,0,0,0.30 | 0.30 | 0.30,0,2.24 | 2.24 | 2.24,0,1.78 | 1.78 | 1.78,1.051,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1051,0,1
17239518991,772,6,4,8,8,3.384,0,0,0.30 | 0.30 | 0.30,0,2.24 | 2.24 | 2.24,0,1.78 | 1.78 | 1.78,1.051,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1051,0,1
17239518992,772,6,4,8,8,3.384,0,0,0.30 | 0.30 | 0.30,0,2.24 | 2.24 | 2.24,0,1.78 | 1.78 | 1.78,1.051,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1051,0,1
17239518993,387,6,2,8,8,3.384,0,0,0.30 | 0.30 | 0.30,0,2.24 | 2.24 | 2.24,0,1.78 | 1.78 | 1.78,1.051,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,803.5,0,1
17239518994,387,6,2,8,8,3.384,0,0,0.30 | 0.30 | 0.30,0,2.24 | 2.24 | 2.24,0,1.78 | 1.78 | 1.78,1.051,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,803.5,0,1
17239518995,387,6,2,8,8,3.384,0,0,0.30 | 0.30 | 0.30,0,2.24 | 2.24 | 2.24,0,1.78 | 1.78 | 1.78,1.051,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,803.5,0,1
17239518996,387,6,2,8,8,3.384,0,0,0.30 | 0.30 | 0.30,0,2.24 | 2.24 | 2.24,0,1.78 | 1.78 | 1.78,1.051,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,803.5,0,1
17239518997,387,6,2,8,8,3.384,0,0,0.30 | 0.30 | 0.30,0,2.24 | 2.24 | 2.24,0,1.78 | 1.78 | 1.78,1.051,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,803.5,0,1
17239518998,387,6,2,8,8,3.384,0,0,0.30 | 0.30 | 0.30,0,2.24 | 2.24 | 2.24,0,1.78 | 1.78 | 1.78,1.051,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,803.5,0,1
17239518999,387,6,2,8,8,5.787,0,0,0.30 | 0.31 | 0.31,0,1.24 | 1.74 | 2.24,0,1.78 | 2.29 | 3.22,0.803,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,803.5,0,1
17239519000,387,6,2,8,8,5.787,0,0,0.30 | 0.31 | 0.31,0,1.24 | 1.74 | 2.24,0,1.78 | 2.29 | 3.22,0.803,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,803.5,0,1
17239519001,387,6,2,8,8,5.787,0,0,0.30 | 0.31 | 0.31,0,1.24 | 1.74 | 2.24,0,1.78 | 2.29 | 3.22,0.803,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,803.5,0,1
