ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17253725104,772,0,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,920,0,1
17253725105,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,920,0,1
17253725106,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,920,0,1
17253725107,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,920,0,1
17253725108,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,920,0,1
17253725109,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,920,0,1
17253725110,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,920,0,1
17253725111,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,920,0,1
17253725112,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,920,0,1
17253725113,772,5,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,920,0,1
17253725114,772,5,4,8,8,3.941,0,0,0.11 | 0.11 | 0.11,0,1.93 | 1.93 | 1.93,0,2.07 | 2.07 | 2.07,0.920,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,930,0,1
17253725115,772,5,4,8,8,3.941,0,0,0.11 | 0.11 | 0.11,0,1.93 | 1.93 | 1.93,0,2.07 | 2.07 | 2.07,0.920,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,930,0,1
17253725116,772,5,4,8,8,3.941,0,0,0.11 | 0.11 | 0.11,0,1.93 | 1.93 | 1.93,0,2.07 | 2.07 | 2.07,0.920,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,930,0,1
17253725117,772,5,4,8,8,3.941,0,0,0.11 | 0.11 | 0.11,0,1.93 | 1.93 | 1.93,0,2.07 | 2.07 | 2.07,0.920,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,930,0,1
17253725118,772,5,4,8,8,3.941,0,0,0.11 | 0.11 | 0.11,0,1.93 | 1.93 | 1.93,0,2.07 | 2.07 | 2.07,0.920,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,930,0,1
17253725119,772,5,4,8,8,3.941,0,0,0.11 | 0.11 | 0.11,0,1.93 | 1.93 | 1.93,0,2.07 | 2.07 | 2.07,0.920,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,930,0,1
17253725120,772,5,4,8,8,3.941,0,0,0.11 | 0.11 | 0.11,0,1.93 | 1.93 | 1.93,0,2.07 | 2.07 | 2.07,0.920,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,930,0,1
17253725121,772,5,4,8,8,3.941,0,0,0.11 | 0.11 | 0.11,0,1.93 | 1.93 | 1.93,0,2.07 | 2.07 | 2.07,0.920,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,930,0,1
17253725122,772,5,4,8,8,3.941,0,0,0.11 | 0.11 | 0.11,0,1.93 | 1.93 | 1.93,0,2.07 | 2.07 | 2.07,0.920,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,930,0,1
17253725123,772,5,4,8,8,3.941,0,0,0.11 | 0.11 | 0.11,0,1.93 | 1.93 | 1.93,0,2.07 | 2.07 | 2.07,0.920,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,930,0,1
