ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17256541472,1446,5,6,8,0,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,0,2692,0,1
17256541473,1446,5,6,8,0,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,0,2692,0,1
17256541474,1446,5,6,8,8,4.659,0,0,0.11 | 0.11 | 0.11,0,0.66 | 0.66 | 0.66,0,6.05 | 6.05 | 6.05,2.692,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,2692,0,1
17256541475,1446,5,6,8,8,4.659,0,0,0.11 | 0.11 | 0.11,0,0.66 | 0.66 | 0.66,0,6.05 | 6.05 | 6.05,2.692,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,2692,0,1
17256541476,1446,5,6,8,8,4.659,0,0,0.11 | 0.11 | 0.11,0,0.66 | 0.66 | 0.66,0,6.05 | 6.05 | 6.05,2.692,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,2692,0,1
17256541477,1446,5,6,8,8,4.659,0,0,0.11 | 0.11 | 0.11,0,0.66 | 0.66 | 0.66,0,6.05 | 6.05 | 6.05,2.692,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,2692,0,1
17256541478,2406,5,7,8,8,4.659,0,0,0.11 | 0.11 | 0.11,0,0.66 | 0.66 | 0.66,0,6.05 | 6.05 | 6.05,2.692,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,2757.5,0,1
17256541479,2406,5,7,8,8,4.659,0,0,0.11 | 0.11 | 0.11,0,0.66 | 0.66 | 0.66,0,6.05 | 6.05 | 6.05,2.692,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,2757.5,0,1
17256541480,2406,5,7,8,8,4.659,0,0,0.11 | 0.11 | 0.11,0,0.66 | 0.66 | 0.66,0,6.05 | 6.05 | 6.05,2.692,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,2757.5,0,1
17256541481,2406,5,7,8,8,4.659,0,0,0.11 | 0.11 | 0.11,0,0.66 | 0.66 | 0.66,0,6.05 | 6.05 | 6.05,2.692,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,2757.5,0,1
17256541482,2406,5,7,8,8,4.659,0,0,0.11 | 0.11 | 0.11,0,0.66 | 0.66 | 0.66,0,6.05 | 6.05 | 6.05,2.692,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,2757.5,0,1
17256541483,2406,5,7,8,8,4.659,0,0,0.11 | 0.11 | 0.11,0,0.66 | 0.66 | 0.66,0,6.05 | 6.05 | 6.05,2.692,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,2757.5,0,1
