ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17239508293,2406,7,7,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3044,0,1
17239508294,2406,7,7,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3044,0,1
17239508295,2406,7,7,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3044,0,1
17239508296,2406,7,7,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3044,0,1
17239508297,2406,7,7,8,8,4.334,0,0,0.21 | 0.21 | 0.21,0,1.15 | 1.15 | 1.15,0,3.49 | 3.49 | 3.49,3.044,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3044,0,1
17239508298,2406,7,7,8,8,4.334,0,0,0.21 | 0.21 | 0.21,0,1.15 | 1.15 | 1.15,0,3.49 | 3.49 | 3.49,3.044,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508299,2406,7,7,8,8,4.334,0,0,0.21 | 0.21 | 0.21,0,1.15 | 1.15 | 1.15,0,3.49 | 3.49 | 3.49,3.044,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508300,2406,7,7,8,8,4.334,0,0,0.21 | 0.21 | 0.21,0,1.15 | 1.15 | 1.15,0,3.49 | 3.49 | 3.49,3.044,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508301,2406,7,7,8,8,4.334,0,0,0.21 | 0.21 | 0.21,0,1.15 | 1.15 | 1.15,0,3.49 | 3.49 | 3.49,3.044,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508302,2406,7,7,8,8,4.334,0,0,0.21 | 0.21 | 0.21,0,1.15 | 1.15 | 1.15,0,3.49 | 3.49 | 3.49,3.044,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508303,2406,7,7,8,8,4.334,0,0,0.21 | 0.21 | 0.21,0,1.15 | 1.15 | 1.15,0,3.49 | 3.49 | 3.49,3.044,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508304,2406,7,7,8,8,4.334,0,0,0.21 | 0.21 | 0.21,0,1.15 | 1.15 | 1.15,0,3.49 | 3.49 | 3.49,3.044,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508305,2406,7,7,8,8,4.334,0,0,0.21 | 0.21 | 0.21,0,1.15 | 1.15 | 1.15,0,3.49 | 3.49 | 3.49,3.044,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508306,2406,7,7,8,8,4.334,0,0,0.21 | 0.21 | 0.21,0,1.15 | 1.15 | 1.15,0,3.49 | 3.49 | 3.49,3.044,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508307,2406,7,7,8,8,6.471,0,0,0.21 | 0.21 | 0.21,0,0.53 | 0.84 | 1.15,0,3.49 | 4.76 | 7.50,3.039,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508308,2406,7,7,8,8,6.471,0,0,0.21 | 0.21 | 0.21,0,0.53 | 0.84 | 1.15,0,3.49 | 4.76 | 7.50,3.039,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508309,2406,7,7,8,8,6.471,0,0,0.21 | 0.21 | 0.21,0,0.53 | 0.84 | 1.15,0,3.49 | 4.76 | 7.50,3.039,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508310,2406,7,7,8,8,6.471,0,0,0.21 | 0.21 | 0.21,0,0.53 | 0.84 | 1.15,0,3.49 | 4.76 | 7.50,3.039,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508311,2406,7,7,8,8,6.471,0,0,0.21 | 0.21 | 0.21,0,0.53 | 0.84 | 1.15,0,3.49 | 4.76 | 7.50,3.039,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508312,2406,7,7,8,8,6.471,0,0,0.21 | 0.21 | 0.21,0,0.53 | 0.84 | 1.15,0,3.49 | 4.76 | 7.50,3.039,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508313,2406,7,7,8,8,6.471,0,0,0.21 | 0.21 | 0.21,0,0.53 | 0.84 | 1.15,0,3.49 | 4.76 | 7.50,3.039,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508314,2406,7,7,8,8,6.471,0,0,0.21 | 0.21 | 0.21,0,0.53 | 0.84 | 1.15,0,3.49 | 4.76 | 7.50,3.039,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508315,2406,7,7,8,8,6.471,0,0,0.21 | 0.21 | 0.21,0,0.53 | 0.84 | 1.15,0,3.49 | 4.76 | 7.50,3.039,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508316,2406,7,7,8,8,6.471,0,0,0.21 | 0.21 | 0.21,0,0.53 | 0.84 | 1.15,0,3.49 | 4.76 | 7.50,3.039,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508317,2406,7,7,8,8,5.409,0,0,0.21 | 0.21 | 0.21,0,0.53 | 0.84 | 1.15,0,3.49 | 4.76 | 7.50,3.039,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508318,2406,7,7,8,8,5.409,0,0,0.21 | 0.21 | 0.21,0,0.53 | 0.84 | 1.15,0,3.49 | 4.76 | 7.50,3.039,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508319,2406,7,7,8,8,5.409,0,0,0.21 | 0.21 | 0.21,0,0.53 | 0.84 | 1.15,0,3.49 | 4.76 | 7.50,3.039,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508320,2406,7,7,8,8,5.409,0,0,0.21 | 0.21 | 0.21,0,0.53 | 0.84 | 1.15,0,3.49 | 4.76 | 7.50,3.039,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
17239508321,2406,7,7,8,8,5.409,0,0,0.21 | 0.21 | 0.21,0,0.53 | 0.84 | 1.15,0,3.49 | 4.76 | 7.50,3.039,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3039.5,0,1
