ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17254505227,965,0,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1522,0,1
17254505228,965,4,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1522,0,1
17254505229,965,4,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1522,0,1
17254505230,965,4,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1522,0,1
17254505231,965,4,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1522,0,1
17254505232,965,4,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1522,0,1
17254505233,965,4,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1522,0,1
17254505234,965,4,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1522,0,1
17254505235,965,4,5,8,8,4.183,0,0,0.11 | 0.11 | 0.11,0,1.10 | 1.10 | 1.10,0,3.64 | 3.64 | 3.64,1.522,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1522,0,1
17254505236,965,4,5,8,8,4.183,0,0,0.11 | 0.11 | 0.11,0,1.10 | 1.10 | 1.10,0,3.64 | 3.64 | 3.64,1.522,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1452.5,0,1
17254505237,965,4,5,8,8,4.183,0,0,0.11 | 0.11 | 0.11,0,1.10 | 1.10 | 1.10,0,3.64 | 3.64 | 3.64,1.522,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1452.5,0,1
17254505238,965,4,5,8,8,4.183,0,0,0.11 | 0.11 | 0.11,0,1.10 | 1.10 | 1.10,0,3.64 | 3.64 | 3.64,1.522,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1452.5,0,1
17254505239,965,4,5,8,8,4.183,0,0,0.11 | 0.11 | 0.11,0,1.10 | 1.10 | 1.10,0,3.64 | 3.64 | 3.64,1.522,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1452.5,0,1
17254505240,965,4,5,8,8,4.183,0,0,0.11 | 0.11 | 0.11,0,1.10 | 1.10 | 1.10,0,3.64 | 3.64 | 3.64,1.522,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1452.5,0,1
17254505241,965,4,5,8,8,4.183,0,0,0.11 | 0.11 | 0.11,0,1.10 | 1.10 | 1.10,0,3.64 | 3.64 | 3.64,1.522,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1452.5,0,1
17254505242,965,4,5,8,8,4.183,0,0,0.11 | 0.11 | 0.11,0,1.10 | 1.10 | 1.10,0,3.64 | 3.64 | 3.64,1.522,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1452.5,0,1
17254505243,965,4,5,8,8,4.183,0,0,0.11 | 0.11 | 0.11,0,1.10 | 1.10 | 1.10,0,3.64 | 3.64 | 3.64,1.522,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1452.5,0,1
17254505244,965,4,5,8,8,4.183,0,0,0.11 | 0.11 | 0.11,0,1.10 | 1.10 | 1.10,0,3.64 | 3.64 | 3.64,1.522,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1452.5,0,1
17254505245,965,4,5,8,8,6.32,0,0,0.11 | 0.16 | 0.21,0,0.55 | 0.82 | 1.10,0,3.64 | 4.85 | 7.26,1.452,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1452.5,0,1
17254505246,965,4,5,8,8,6.32,0,0,0.11 | 0.16 | 0.21,0,0.55 | 0.82 | 1.10,0,3.64 | 4.85 | 7.26,1.452,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1452.5,0,1
17254505247,965,4,5,8,8,6.32,0,0,0.11 | 0.16 | 0.21,0,0.55 | 0.82 | 1.10,0,3.64 | 4.85 | 7.26,1.452,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1452.5,0,1
17254505248,965,4,5,8,8,6.32,0,0,0.11 | 0.16 | 0.21,0,0.55 | 0.82 | 1.10,0,3.64 | 4.85 | 7.26,1.452,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1452.5,0,1
17254505249,965,4,5,8,8,6.32,0,0,0.11 | 0.16 | 0.21,0,0.55 | 0.82 | 1.10,0,3.64 | 4.85 | 7.26,1.452,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1452.5,0,1
17254505250,965,4,5,8,8,6.32,0,0,0.11 | 0.16 | 0.21,0,0.55 | 0.82 | 1.10,0,3.64 | 4.85 | 7.26,1.452,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1452.5,0,1
17254505251,965,4,5,8,8,6.32,0,0,0.11 | 0.16 | 0.21,0,0.55 | 0.82 | 1.10,0,3.64 | 4.85 | 7.26,1.452,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1452.5,0,1
17254505252,965,4,5,8,8,6.32,0,0,0.11 | 0.16 | 0.21,0,0.55 | 0.82 | 1.10,0,3.64 | 4.85 | 7.26,1.452,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1452.5,0,1
17254505253,965,4,5,8,8,6.32,0,0,0.11 | 0.16 | 0.21,0,0.55 | 0.82 | 1.10,0,3.64 | 4.85 | 7.26,1.452,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1452.5,0,1
17254505254,965,4,5,8,8,6.32,0,0,0.11 | 0.16 | 0.21,0,0.55 | 0.82 | 1.10,0,3.64 | 4.85 | 7.26,1.452,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1452.5,0,1
17254505255,965,4,5,8,8,5.258,0,0,0.11 | 0.16 | 0.21,0,0.55 | 0.82 | 1.10,0,3.64 | 4.85 | 7.26,1.452,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1452.5,0,1
17254505256,965,4,5,8,8,5.258,0,0,0.11 | 0.16 | 0.21,0,0.55 | 0.82 | 1.10,0,3.64 | 4.85 | 7.26,1.452,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1452.5,0,1
