ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17255386463,772,0,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,957,0,1
17255386464,772,0,4,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,957,0,1
17255386465,772,0,4,8,8,4.695,0,0,0.11 | 0.11 | 0.11,0,1.75 | 1.75 | 1.75,0,2.29 | 2.29 | 2.29,0.957,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,957,0,1
17255386466,772,4,4,8,8,4.695,0,0,0.11 | 0.11 | 0.11,0,1.75 | 1.75 | 1.75,0,2.29 | 2.29 | 2.29,0.957,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,957,0,1
17255386467,772,4,4,8,8,4.695,0,0,0.11 | 0.11 | 0.11,0,1.75 | 1.75 | 1.75,0,2.29 | 2.29 | 2.29,0.957,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,957,0,1
17255386468,772,4,4,8,8,4.695,0,0,0.11 | 0.11 | 0.11,0,1.75 | 1.75 | 1.75,0,2.29 | 2.29 | 2.29,0.957,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,957,0,1
17255386469,772,4,4,8,8,4.695,0,0,0.11 | 0.11 | 0.11,0,1.75 | 1.75 | 1.75,0,2.29 | 2.29 | 2.29,0.957,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,957,0,1
17255386470,772,4,4,8,8,4.695,0,0,0.11 | 0.11 | 0.11,0,1.75 | 1.75 | 1.75,0,2.29 | 2.29 | 2.29,0.957,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,957,0,1
17255386471,772,4,4,8,8,4.695,0,0,0.11 | 0.11 | 0.11,0,1.75 | 1.75 | 1.75,0,2.29 | 2.29 | 2.29,0.957,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,957,0,1
17255386472,772,4,4,8,8,4.695,0,0,0.11 | 0.11 | 0.11,0,1.75 | 1.75 | 1.75,0,2.29 | 2.29 | 2.29,0.957,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386473,772,4,4,8,8,4.695,0,0,0.11 | 0.11 | 0.11,0,1.75 | 1.75 | 1.75,0,2.29 | 2.29 | 2.29,0.957,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386474,772,4,4,8,8,4.695,0,0,0.11 | 0.11 | 0.11,0,1.75 | 1.75 | 1.75,0,2.29 | 2.29 | 2.29,0.957,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386475,772,4,4,8,8,6.957,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386476,772,4,4,8,8,6.957,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386477,772,4,4,8,8,6.957,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386478,772,4,4,8,8,6.957,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386479,772,4,4,8,8,6.957,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386480,772,4,4,8,8,6.957,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386481,772,4,4,8,8,6.957,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386482,772,4,4,8,8,6.957,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386483,772,4,4,8,8,6.957,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386484,772,4,4,8,8,6.957,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386485,772,4,4,8,8,5.895,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386486,772,4,4,8,8,5.895,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386487,772,4,4,8,8,5.895,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386488,772,4,4,8,8,5.895,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386489,772,4,4,8,8,5.895,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386490,772,4,4,8,8,5.895,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386491,772,4,4,8,8,5.895,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386492,772,4,4,8,8,5.895,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386493,772,4,4,8,8,5.895,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386494,772,4,4,8,8,5.895,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386495,772,4,4,8,8,5.098,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386496,772,4,4,8,8,5.098,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
17255386497,772,4,4,8,8,5.098,0,0,0.11 | 0.11 | 0.11,0,0.73 | 1.24 | 1.75,0,2.29 | 3.23 | 5.50,0.954,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,954,0,1
