ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17037883585,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,4.97 | 4.97 | 4.97,0,1.29 | 1.29 | 1.29,1.181,0.0,0,1,128,1,1,10,10,9.15,0,0,0.17 | 0.19 | 0.22,0,0.86 | 0.86 | 0.86,0,5.78 | 5.80 | 5.83,0.758,0.0,0,1
17037883586,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,4.97 | 4.97 | 4.97,0,1.29 | 1.29 | 1.29,1.181,0.0,0,1,128,1,1,10,10,9.15,0,0,0.17 | 0.19 | 0.22,0,0.86 | 0.86 | 0.86,0,5.78 | 5.80 | 5.83,0.758,0.0,0,1
17037883587,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,4.97 | 4.97 | 4.97,0,1.29 | 1.29 | 1.29,1.181,0.0,0,1,128,1,1,10,10,9.15,0,0,0.17 | 0.19 | 0.22,0,0.86 | 0.86 | 0.86,0,5.78 | 5.80 | 5.83,0.758,0.0,0,1
17037883588,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,4.97 | 4.97 | 4.97,0,1.29 | 1.29 | 1.29,1.181,0.0,0,1,128,1,1,10,10,9.15,0,0,0.17 | 0.19 | 0.22,0,0.86 | 0.86 | 0.86,0,5.78 | 5.80 | 5.83,0.758,0.0,0,1
17037883589,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,4.97 | 4.97 | 4.97,0,1.29 | 1.29 | 1.29,1.181,0.0,0,1,128,1,1,10,10,9.15,0,0,0.17 | 0.19 | 0.22,0,0.86 | 0.86 | 0.86,0,5.78 | 5.80 | 5.83,0.758,0.0,0,1
17037883590,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,4.97 | 4.97 | 4.97,0,1.29 | 1.29 | 1.29,1.181,0.0,0,1,128,1,1,10,10,9.15,0,0,0.17 | 0.19 | 0.22,0,0.86 | 0.86 | 0.86,0,5.78 | 5.80 | 5.83,0.758,0.0,0,1
17037883591,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,4.97 | 4.97 | 4.97,0,1.29 | 1.29 | 1.29,1.181,0.0,0,1,128,1,1,10,10,9.15,0,0,0.17 | 0.19 | 0.22,0,0.86 | 0.86 | 0.86,0,5.78 | 5.80 | 5.83,0.758,0.0,0,1
17037883592,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,4.97 | 4.97 | 4.97,0,1.29 | 1.29 | 1.29,1.181,0.0,0,1,128,1,1,10,10,9.15,0,0,0.17 | 0.19 | 0.22,0,0.86 | 0.86 | 0.86,0,5.78 | 5.80 | 5.83,0.758,0.0,0,1
17037883593,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,4.97 | 4.97 | 4.97,0,1.29 | 1.29 | 1.29,1.181,0.0,0,1,128,1,1,10,10,9.15,0,0,0.17 | 0.19 | 0.22,0,0.86 | 0.86 | 0.86,0,5.78 | 5.80 | 5.83,0.758,0.0,0,1
17037883594,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,4.97 | 4.97 | 4.97,0,1.29 | 1.29 | 1.29,1.181,0.0,0,1,128,1,1,10,10,9.15,0,0,0.17 | 0.19 | 0.22,0,0.86 | 0.86 | 0.86,0,5.78 | 5.80 | 5.83,0.758,0.0,0,1
