ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17037759438,600,4,3,10,10,5.796,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,9.404,0,0,0.33 | 0.61 | 0.90,0,1.25 | 1.26 | 1.27,0,3.93 | 3.97 | 4.01,0.518,0.0,0,1
17037759439,600,4,3,10,10,5.796,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,9.404,0,0,0.33 | 0.61 | 0.90,0,1.25 | 1.26 | 1.27,0,3.93 | 3.97 | 4.01,0.518,0.0,0,1
17037759440,600,4,3,10,10,5.796,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,9.404,0,0,0.33 | 0.61 | 0.90,0,1.25 | 1.26 | 1.27,0,3.93 | 3.97 | 4.01,0.518,0.0,0,1
17037759441,600,4,3,10,10,5.796,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,9.404,0,0,0.33 | 0.61 | 0.90,0,1.25 | 1.26 | 1.27,0,3.93 | 3.97 | 4.01,0.518,0.0,0,1
17037759442,600,4,3,10,10,5.796,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,9.404,0,0,0.33 | 0.61 | 0.90,0,1.25 | 1.26 | 1.27,0,3.93 | 3.97 | 4.01,0.518,0.0,0,1
17037759443,600,4,3,10,10,5.796,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,9.404,0,0,0.33 | 0.61 | 0.90,0,1.25 | 1.26 | 1.27,0,3.93 | 3.97 | 4.01,0.518,0.0,0,1
17037759444,600,4,3,10,10,5.796,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,9.404,0,0,0.33 | 0.61 | 0.90,0,1.25 | 1.26 | 1.27,0,3.93 | 3.97 | 4.01,0.518,0.0,0,1
17037759445,600,4,3,10,10,5.796,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,9.404,0,0,0.33 | 0.61 | 0.90,0,1.25 | 1.26 | 1.27,0,3.93 | 3.97 | 4.01,0.518,0.0,0,1
17037759446,600,4,3,10,10,5.796,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,9.404,0,0,0.33 | 0.61 | 0.90,0,1.25 | 1.26 | 1.27,0,3.93 | 3.97 | 4.01,0.518,0.0,0,1
17037759447,600,4,3,10,10,5.796,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,9.404,0,0,0.33 | 0.61 | 0.90,0,1.25 | 1.26 | 1.27,0,3.93 | 3.97 | 4.01,0.518,0.0,0,1
17037759448,600,4,3,10,10,4.796,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,8.404,0,0,0.33 | 0.61 | 0.90,0,1.25 | 1.26 | 1.27,0,3.93 | 3.97 | 4.01,0.518,0.0,0,1
17037759449,600,4,3,10,10,4.796,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,8.404,0,0,0.33 | 0.61 | 0.90,0,1.25 | 1.26 | 1.27,0,3.93 | 3.97 | 4.01,0.518,0.0,0,1
