ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17037583807,200,5,1,10,10,6.387,0,0,0.04 | 0.04 | 0.04,0,14.90 | 14.90 | 14.90,0,0.43 | 0.43 | 0.43,0.394,0.0,0,1,128,1,1,10,10,9.995,0,0,0.83 | 1.32 | 1.81,0,2.50 | 2.53 | 2.56,0,1.95 | 1.98 | 2.01,0.259,0.0,0,1
17037583808,200,5,1,10,10,6.387,0,0,0.04 | 0.04 | 0.04,0,14.90 | 14.90 | 14.90,0,0.43 | 0.43 | 0.43,0.394,0.0,0,1,128,1,1,10,10,9.995,0,0,0.83 | 1.32 | 1.81,0,2.50 | 2.53 | 2.56,0,1.95 | 1.98 | 2.01,0.259,0.0,0,1
17037583809,200,5,1,10,10,6.387,0,0,0.04 | 0.04 | 0.04,0,14.90 | 14.90 | 14.90,0,0.43 | 0.43 | 0.43,0.394,0.0,0,1,128,1,1,10,10,9.995,0,0,0.83 | 1.32 | 1.81,0,2.50 | 2.53 | 2.56,0,1.95 | 1.98 | 2.01,0.259,0.0,0,1
17037583810,200,5,1,10,10,6.387,0,0,0.04 | 0.04 | 0.04,0,14.90 | 14.90 | 14.90,0,0.43 | 0.43 | 0.43,0.394,0.0,0,1,128,1,1,10,10,9.995,0,0,0.83 | 1.32 | 1.81,0,2.50 | 2.53 | 2.56,0,1.95 | 1.98 | 2.01,0.259,0.0,0,1
17037583811,200,5,1,10,10,6.387,0,0,0.04 | 0.04 | 0.04,0,14.90 | 14.90 | 14.90,0,0.43 | 0.43 | 0.43,0.394,0.0,0,1,128,1,1,10,10,9.995,0,0,0.83 | 1.32 | 1.81,0,2.50 | 2.53 | 2.56,0,1.95 | 1.98 | 2.01,0.259,0.0,0,1
17037583812,200,5,1,10,10,6.387,0,0,0.04 | 0.04 | 0.04,0,14.90 | 14.90 | 14.90,0,0.43 | 0.43 | 0.43,0.394,0.0,0,1,128,1,1,10,10,9.995,0,0,0.83 | 1.32 | 1.81,0,2.50 | 2.53 | 2.56,0,1.95 | 1.98 | 2.01,0.259,0.0,0,1
17037583813,200,5,1,10,10,6.387,0,0,0.04 | 0.04 | 0.04,0,14.90 | 14.90 | 14.90,0,0.43 | 0.43 | 0.43,0.394,0.0,0,1,128,1,1,10,10,9.995,0,0,0.83 | 1.32 | 1.81,0,2.50 | 2.53 | 2.56,0,1.95 | 1.98 | 2.01,0.259,0.0,0,1
17037583814,200,5,1,10,10,6.387,0,0,0.04 | 0.04 | 0.04,0,14.90 | 14.90 | 14.90,0,0.43 | 0.43 | 0.43,0.394,0.0,0,1,128,1,1,10,10,9.995,0,0,0.83 | 1.32 | 1.81,0,2.50 | 2.53 | 2.56,0,1.95 | 1.98 | 2.01,0.259,0.0,0,1
17037583815,200,5,1,10,10,6.387,0,0,0.04 | 0.04 | 0.04,0,14.90 | 14.90 | 14.90,0,0.43 | 0.43 | 0.43,0.394,0.0,0,1,128,1,1,10,10,9.995,0,0,0.83 | 1.32 | 1.81,0,2.50 | 2.53 | 2.56,0,1.95 | 1.98 | 2.01,0.259,0.0,0,1
17037583816,200,5,1,10,10,6.387,0,0,0.04 | 0.04 | 0.04,0,14.90 | 14.90 | 14.90,0,0.43 | 0.43 | 0.43,0.394,0.0,0,1,128,1,1,10,10,9.995,0,0,0.83 | 1.32 | 1.81,0,2.50 | 2.53 | 2.56,0,1.95 | 1.98 | 2.01,0.259,0.0,0,1
