ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17039663390,1000,5,5,10,10,6.362,0,0,0.04 | 0.04 | 0.04,0,3.86 | 3.86 | 3.86,0,1.66 | 1.66 | 1.66,1.52,0.0,0,1,128,1,1,10,10,9.969,0,0,0.13 | 0.26 | 0.38,0,0.53 | 0.59 | 0.65,0,7.74 | 8.50 | 9.41,1.119,0.0,0,1
17039663391,1000,5,5,10,10,6.362,0,0,0.04 | 0.04 | 0.04,0,3.86 | 3.86 | 3.86,0,1.66 | 1.66 | 1.66,1.52,0.0,0,1,128,1,1,10,10,9.969,0,0,0.13 | 0.26 | 0.38,0,0.53 | 0.59 | 0.65,0,7.74 | 8.50 | 9.41,1.119,0.0,0,1
17039663392,1000,5,5,10,10,6.362,0,0,0.04 | 0.04 | 0.04,0,3.86 | 3.86 | 3.86,0,1.66 | 1.66 | 1.66,1.52,0.0,0,1,128,1,1,10,10,9.969,0,0,0.13 | 0.26 | 0.38,0,0.53 | 0.59 | 0.65,0,7.74 | 8.50 | 9.41,1.119,0.0,0,1
17039663393,1000,5,5,10,10,6.362,0,0,0.04 | 0.04 | 0.04,0,3.86 | 3.86 | 3.86,0,1.66 | 1.66 | 1.66,1.52,0.0,0,1,128,1,1,10,10,9.969,0,0,0.13 | 0.26 | 0.38,0,0.53 | 0.59 | 0.65,0,7.74 | 8.50 | 9.41,1.119,0.0,0,1
17039663394,1000,5,5,10,10,6.362,0,0,0.04 | 0.04 | 0.04,0,3.86 | 3.86 | 3.86,0,1.66 | 1.66 | 1.66,1.52,0.0,0,1,128,1,1,10,10,9.969,0,0,0.13 | 0.26 | 0.38,0,0.53 | 0.59 | 0.65,0,7.74 | 8.50 | 9.41,1.119,0.0,0,1
17039663395,1000,5,5,10,10,6.362,0,0,0.04 | 0.04 | 0.04,0,3.86 | 3.86 | 3.86,0,1.66 | 1.66 | 1.66,1.52,0.0,0,1,128,1,1,10,10,9.969,0,0,0.13 | 0.26 | 0.38,0,0.53 | 0.59 | 0.65,0,7.74 | 8.50 | 9.41,1.119,0.0,0,1
17039663396,1000,5,5,10,10,6.362,0,0,0.04 | 0.04 | 0.04,0,3.86 | 3.86 | 3.86,0,1.66 | 1.66 | 1.66,1.52,0.0,0,1,128,1,1,10,10,9.969,0,0,0.13 | 0.26 | 0.38,0,0.53 | 0.59 | 0.65,0,7.74 | 8.50 | 9.41,1.119,0.0,0,1
17039663397,1000,5,5,10,10,6.362,0,0,0.04 | 0.04 | 0.04,0,3.86 | 3.86 | 3.86,0,1.66 | 1.66 | 1.66,1.52,0.0,0,1,128,1,1,10,10,9.969,0,0,0.13 | 0.26 | 0.38,0,0.53 | 0.59 | 0.65,0,7.74 | 8.50 | 9.41,1.119,0.0,0,1
17039663398,1000,5,5,10,10,6.362,0,0,0.04 | 0.04 | 0.04,0,3.86 | 3.86 | 3.86,0,1.66 | 1.66 | 1.66,1.52,0.0,0,1,128,1,1,10,10,9.969,0,0,0.13 | 0.26 | 0.38,0,0.53 | 0.59 | 0.65,0,7.74 | 8.50 | 9.41,1.119,0.0,0,1
17039663399,1000,5,5,10,10,6.362,0,0,0.04 | 0.04 | 0.04,0,3.86 | 3.86 | 3.86,0,1.66 | 1.66 | 1.66,1.52,0.0,0,1,128,1,1,10,10,9.969,0,0,0.13 | 0.26 | 0.38,0,0.53 | 0.59 | 0.65,0,7.74 | 8.50 | 9.41,1.119,0.0,0,1
17039663400,1000,5,5,10,10,5.43,0,0,0.04 | 0.04 | 0.04,0,3.86 | 3.86 | 3.86,0,1.66 | 1.66 | 1.66,1.52,0.0,0,1,128,1,1,10,10,9.038,0,0,0.13 | 0.26 | 0.38,0,0.53 | 0.59 | 0.65,0,7.74 | 8.50 | 9.41,1.119,0.0,0,1
