ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17043675924,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,9.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675925,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,9.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675926,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,9.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675927,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,9.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675928,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,9.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675929,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,9.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675930,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,9.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675931,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,9.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675932,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,9.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675933,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,9.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675935,1000,5,5,10,10,4.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,8.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675935,1000,5,5,10,10,4.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,8.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675936,1000,5,5,10,10,4.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,8.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675937,1000,5,5,10,10,4.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,8.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675938,1000,5,5,10,10,4.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,8.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675939,1000,5,5,10,10,4.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,8.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675940,1000,5,5,10,10,4.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,8.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675941,1000,5,5,10,10,4.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,8.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675942,1000,5,5,10,10,4.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,8.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675943,1000,5,5,10,10,4.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,8.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675944,1000,5,5,10,10,3.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,7.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675945,1000,5,5,10,10,3.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,7.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
17043675946,1000,5,5,10,10,3.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.173,0.0,0,1,128,1,1,10,10,7.15,0,0,0.25 | 0.43 | 0.62,0,0.85 | 0.86 | 0.86,0,5.80 | 5.84 | 5.89,0.762,0.0,0,1
