ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17043617474,1000,6,5,10,10,5.933,0,0,0.04 | 0.04 | 0.04,0,5.34 | 5.34 | 5.34,0,1.20 | 1.20 | 1.20,1.672,0.0,0,1,128,1,1,10,10,9.541,0,0,0.19 | 0.32 | 0.46,0,0.64 | 0.65 | 0.66,0,7.56 | 7.69 | 7.82,1.004,0.0,0,1
17043617475,1000,6,5,10,10,5.933,0,0,0.04 | 0.04 | 0.04,0,5.34 | 5.34 | 5.34,0,1.20 | 1.20 | 1.20,1.672,0.0,0,1,128,1,1,10,10,9.541,0,0,0.19 | 0.32 | 0.46,0,0.64 | 0.65 | 0.66,0,7.56 | 7.69 | 7.82,1.004,0.0,0,1
17043617476,1000,6,5,10,10,5.933,0,0,0.04 | 0.04 | 0.04,0,5.34 | 5.34 | 5.34,0,1.20 | 1.20 | 1.20,1.672,0.0,0,1,128,1,1,10,10,9.541,0,0,0.19 | 0.32 | 0.46,0,0.64 | 0.65 | 0.66,0,7.56 | 7.69 | 7.82,1.004,0.0,0,1
17043617477,1000,6,5,10,10,5.933,0,0,0.04 | 0.04 | 0.04,0,5.34 | 5.34 | 5.34,0,1.20 | 1.20 | 1.20,1.672,0.0,0,1,128,1,1,10,10,9.541,0,0,0.19 | 0.32 | 0.46,0,0.64 | 0.65 | 0.66,0,7.56 | 7.69 | 7.82,1.004,0.0,0,1
17043617478,1000,6,5,10,10,5.933,0,0,0.04 | 0.04 | 0.04,0,5.34 | 5.34 | 5.34,0,1.20 | 1.20 | 1.20,1.672,0.0,0,1,128,1,1,10,10,9.541,0,0,0.19 | 0.32 | 0.46,0,0.64 | 0.65 | 0.66,0,7.56 | 7.69 | 7.82,1.004,0.0,0,1
17043617479,1000,6,5,10,10,5.933,0,0,0.04 | 0.04 | 0.04,0,5.34 | 5.34 | 5.34,0,1.20 | 1.20 | 1.20,1.672,0.0,0,1,128,1,1,10,10,9.541,0,0,0.19 | 0.32 | 0.46,0,0.64 | 0.65 | 0.66,0,7.56 | 7.69 | 7.82,1.004,0.0,0,1
17043617480,1000,6,5,10,10,5.933,0,0,0.04 | 0.04 | 0.04,0,5.34 | 5.34 | 5.34,0,1.20 | 1.20 | 1.20,1.672,0.0,0,1,128,1,1,10,10,9.541,0,0,0.19 | 0.32 | 0.46,0,0.64 | 0.65 | 0.66,0,7.56 | 7.69 | 7.82,1.004,0.0,0,1
17043617481,1000,6,5,10,10,5.933,0,0,0.04 | 0.04 | 0.04,0,5.34 | 5.34 | 5.34,0,1.20 | 1.20 | 1.20,1.672,0.0,0,1,128,1,1,10,10,9.541,0,0,0.19 | 0.32 | 0.46,0,0.64 | 0.65 | 0.66,0,7.56 | 7.69 | 7.82,1.004,0.0,0,1
17043617482,1000,6,5,10,10,5.933,0,0,0.04 | 0.04 | 0.04,0,5.34 | 5.34 | 5.34,0,1.20 | 1.20 | 1.20,1.672,0.0,0,1,128,1,1,10,10,9.541,0,0,0.19 | 0.32 | 0.46,0,0.64 | 0.65 | 0.66,0,7.56 | 7.69 | 7.82,1.004,0.0,0,1
17043617483,1000,6,5,10,10,5.933,0,0,0.04 | 0.04 | 0.04,0,5.34 | 5.34 | 5.34,0,1.20 | 1.20 | 1.20,1.672,0.0,0,1,128,1,1,10,10,9.541,0,0,0.19 | 0.32 | 0.46,0,0.64 | 0.65 | 0.66,0,7.56 | 7.69 | 7.82,1.004,0.0,0,1
