ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17046412277,200,5,1,10,10,5.967,0,0,0.05 | 0.05 | 0.05,0,17.38 | 17.38 | 17.38,0,0.37 | 0.37 | 0.37,0.338,0.0,0,1,128,1,1,10,10,9.575,0,0,0.62 | 0.79 | 0.96,0,3.56 | 3.57 | 3.57,0,1.40 | 1.40 | 1.41,0.183,0.0,0,1
17046412278,200,5,1,10,10,5.967,0,0,0.05 | 0.05 | 0.05,0,17.38 | 17.38 | 17.38,0,0.37 | 0.37 | 0.37,0.338,0.0,0,1,128,1,1,10,10,9.575,0,0,0.62 | 0.79 | 0.96,0,3.56 | 3.57 | 3.57,0,1.40 | 1.40 | 1.41,0.183,0.0,0,1
17046412279,200,5,1,10,10,5.967,0,0,0.05 | 0.05 | 0.05,0,17.38 | 17.38 | 17.38,0,0.37 | 0.37 | 0.37,0.338,0.0,0,1,128,1,1,10,10,9.575,0,0,0.62 | 0.79 | 0.96,0,3.56 | 3.57 | 3.57,0,1.40 | 1.40 | 1.41,0.183,0.0,0,1
17046412280,200,5,1,10,10,5.967,0,0,0.05 | 0.05 | 0.05,0,17.38 | 17.38 | 17.38,0,0.37 | 0.37 | 0.37,0.338,0.0,0,1,128,1,1,10,10,9.575,0,0,0.62 | 0.79 | 0.96,0,3.56 | 3.57 | 3.57,0,1.40 | 1.40 | 1.41,0.183,0.0,0,1
17046412281,200,5,1,10,10,5.967,0,0,0.05 | 0.05 | 0.05,0,17.38 | 17.38 | 17.38,0,0.37 | 0.37 | 0.37,0.338,0.0,0,1,128,1,1,10,10,9.575,0,0,0.62 | 0.79 | 0.96,0,3.56 | 3.57 | 3.57,0,1.40 | 1.40 | 1.41,0.183,0.0,0,1
17046412282,200,5,1,10,10,5.967,0,0,0.05 | 0.05 | 0.05,0,17.38 | 17.38 | 17.38,0,0.37 | 0.37 | 0.37,0.338,0.0,0,1,128,1,1,10,10,9.575,0,0,0.62 | 0.79 | 0.96,0,3.56 | 3.57 | 3.57,0,1.40 | 1.40 | 1.41,0.183,0.0,0,1
17046412283,200,5,1,10,10,5.967,0,0,0.05 | 0.05 | 0.05,0,17.38 | 17.38 | 17.38,0,0.37 | 0.37 | 0.37,0.338,0.0,0,1,128,1,1,10,10,9.575,0,0,0.62 | 0.79 | 0.96,0,3.56 | 3.57 | 3.57,0,1.40 | 1.40 | 1.41,0.183,0.0,0,1
17046412284,200,5,1,10,10,5.967,0,0,0.05 | 0.05 | 0.05,0,17.38 | 17.38 | 17.38,0,0.37 | 0.37 | 0.37,0.338,0.0,0,1,128,1,1,10,10,9.575,0,0,0.62 | 0.79 | 0.96,0,3.56 | 3.57 | 3.57,0,1.40 | 1.40 | 1.41,0.183,0.0,0,1
17046412285,200,5,1,10,10,5.967,0,0,0.05 | 0.05 | 0.05,0,17.38 | 17.38 | 17.38,0,0.37 | 0.37 | 0.37,0.338,0.0,0,1,128,1,1,10,10,9.575,0,0,0.62 | 0.79 | 0.96,0,3.56 | 3.57 | 3.57,0,1.40 | 1.40 | 1.41,0.183,0.0,0,1
17046412286,200,5,1,10,10,5.967,0,0,0.05 | 0.05 | 0.05,0,17.38 | 17.38 | 17.38,0,0.37 | 0.37 | 0.37,0.338,0.0,0,1,128,1,1,10,10,9.575,0,0,0.62 | 0.79 | 0.96,0,3.56 | 3.57 | 3.57,0,1.40 | 1.40 | 1.41,0.183,0.0,0,1
17046412287,200,5,1,10,10,4.966,0,0,0.05 | 0.05 | 0.05,0,17.38 | 17.38 | 17.38,0,0.37 | 0.37 | 0.37,0.338,0.0,0,1,128,1,1,10,10,8.574,0,0,0.62 | 0.79 | 0.96,0,3.56 | 3.57 | 3.57,0,1.40 | 1.40 | 1.41,0.183,0.0,0,1
17046412288,200,5,1,10,10,4.966,0,0,0.05 | 0.05 | 0.05,0,17.38 | 17.38 | 17.38,0,0.37 | 0.37 | 0.37,0.338,0.0,0,1,128,1,1,10,10,8.574,0,0,0.62 | 0.79 | 0.96,0,3.56 | 3.57 | 3.57,0,1.40 | 1.40 | 1.41,0.183,0.0,0,1
17046412289,200,5,1,10,10,4.966,0,0,0.05 | 0.05 | 0.05,0,17.38 | 17.38 | 17.38,0,0.37 | 0.37 | 0.37,0.338,0.0,0,1,128,1,1,10,10,8.574,0,0,0.62 | 0.79 | 0.96,0,3.56 | 3.57 | 3.57,0,1.40 | 1.40 | 1.41,0.183,0.0,0,1
17046412290,200,5,1,10,10,4.966,0,0,0.05 | 0.05 | 0.05,0,17.38 | 17.38 | 17.38,0,0.37 | 0.37 | 0.37,0.338,0.0,0,1,128,1,1,10,10,8.574,0,0,0.62 | 0.79 | 0.96,0,3.56 | 3.57 | 3.57,0,1.40 | 1.40 | 1.41,0.183,0.0,0,1
17046412291,200,5,1,10,10,4.966,0,0,0.05 | 0.05 | 0.05,0,17.38 | 17.38 | 17.38,0,0.37 | 0.37 | 0.37,0.338,0.0,0,1,128,1,1,10,10,8.574,0,0,0.62 | 0.79 | 0.96,0,3.56 | 3.57 | 3.57,0,1.40 | 1.40 | 1.41,0.183,0.0,0,1
17046412292,200,5,1,10,10,4.966,0,0,0.05 | 0.05 | 0.05,0,17.38 | 17.38 | 17.38,0,0.37 | 0.37 | 0.37,0.338,0.0,0,1,128,1,1,10,10,8.574,0,0,0.62 | 0.79 | 0.96,0,3.56 | 3.57 | 3.57,0,1.40 | 1.40 | 1.41,0.183,0.0,0,1
