ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17058346153,600,4,3,10,10,5.931,0,0,0.10 | 0.10 | 0.10,0,5.33 | 5.33 | 5.33,0,1.20 | 1.20 | 1.20,0.88,0.0,0,1,128,1,1,10,10,9.538,0,0,0.15 | 0.16 | 0.17,0,0.86 | 0.94 | 1.02,0,4.90 | 5.31 | 5.80,0.699,0.0,0,1
17058346154,600,4,3,10,10,5.931,0,0,0.10 | 0.10 | 0.10,0,5.33 | 5.33 | 5.33,0,1.20 | 1.20 | 1.20,0.88,0.0,0,1,128,1,1,10,10,9.538,0,0,0.15 | 0.16 | 0.17,0,0.86 | 0.94 | 1.02,0,4.90 | 5.31 | 5.80,0.699,0.0,0,1
17058346155,600,4,3,10,10,5.931,0,0,0.10 | 0.10 | 0.10,0,5.33 | 5.33 | 5.33,0,1.20 | 1.20 | 1.20,0.88,0.0,0,1,128,1,1,10,10,9.538,0,0,0.15 | 0.16 | 0.17,0,0.86 | 0.94 | 1.02,0,4.90 | 5.31 | 5.80,0.699,0.0,0,1
17058346156,600,4,3,10,10,5.931,0,0,0.10 | 0.10 | 0.10,0,5.33 | 5.33 | 5.33,0,1.20 | 1.20 | 1.20,0.88,0.0,0,1,128,1,1,10,10,9.538,0,0,0.15 | 0.16 | 0.17,0,0.86 | 0.94 | 1.02,0,4.90 | 5.31 | 5.80,0.699,0.0,0,1
17058346157,600,4,3,10,10,5.931,0,0,0.10 | 0.10 | 0.10,0,5.33 | 5.33 | 5.33,0,1.20 | 1.20 | 1.20,0.88,0.0,0,1,128,1,1,10,10,9.538,0,0,0.15 | 0.16 | 0.17,0,0.86 | 0.94 | 1.02,0,4.90 | 5.31 | 5.80,0.699,0.0,0,1
17058346158,600,4,3,10,10,5.931,0,0,0.10 | 0.10 | 0.10,0,5.33 | 5.33 | 5.33,0,1.20 | 1.20 | 1.20,0.88,0.0,0,1,128,1,1,10,10,9.538,0,0,0.15 | 0.16 | 0.17,0,0.86 | 0.94 | 1.02,0,4.90 | 5.31 | 5.80,0.699,0.0,0,1
17058346159,600,4,3,10,10,5.931,0,0,0.10 | 0.10 | 0.10,0,5.33 | 5.33 | 5.33,0,1.20 | 1.20 | 1.20,0.88,0.0,0,1,128,1,1,10,10,9.538,0,0,0.15 | 0.16 | 0.17,0,0.86 | 0.94 | 1.02,0,4.90 | 5.31 | 5.80,0.699,0.0,0,1
17058346160,600,4,3,10,10,5.931,0,0,0.10 | 0.10 | 0.10,0,5.33 | 5.33 | 5.33,0,1.20 | 1.20 | 1.20,0.88,0.0,0,1,128,1,1,10,10,9.538,0,0,0.15 | 0.16 | 0.17,0,0.86 | 0.94 | 1.02,0,4.90 | 5.31 | 5.80,0.699,0.0,0,1
17058346161,600,4,3,10,10,5.931,0,0,0.10 | 0.10 | 0.10,0,5.33 | 5.33 | 5.33,0,1.20 | 1.20 | 1.20,0.88,0.0,0,1,128,1,1,10,10,9.538,0,0,0.15 | 0.16 | 0.17,0,0.86 | 0.94 | 1.02,0,4.90 | 5.31 | 5.80,0.699,0.0,0,1
17058346162,600,4,3,10,10,5.931,0,0,0.10 | 0.10 | 0.10,0,5.33 | 5.33 | 5.33,0,1.20 | 1.20 | 1.20,0.88,0.0,0,1,128,1,1,10,10,9.538,0,0,0.15 | 0.16 | 0.17,0,0.86 | 0.94 | 1.02,0,4.90 | 5.31 | 5.80,0.699,0.0,0,1
17058346163,600,4,3,10,10,4.931,0,0,0.10 | 0.10 | 0.10,0,5.33 | 5.33 | 5.33,0,1.20 | 1.20 | 1.20,0.88,0.0,0,1,128,1,1,10,10,8.538,0,0,0.15 | 0.16 | 0.17,0,0.86 | 0.94 | 1.02,0,4.90 | 5.31 | 5.80,0.699,0.0,0,1
17058346164,600,4,3,10,10,4.931,0,0,0.10 | 0.10 | 0.10,0,5.33 | 5.33 | 5.33,0,1.20 | 1.20 | 1.20,0.88,0.0,0,1,128,1,1,10,10,8.538,0,0,0.15 | 0.16 | 0.17,0,0.86 | 0.94 | 1.02,0,4.90 | 5.31 | 5.80,0.699,0.0,0,1
