ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17024469807,1000,5,5,10,10,5.494,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,1,1,10,10,9.102,0,0,0.29 | 0.52 | 0.76,0,0.84 | 0.86 | 0.88,0,5.67 | 5.82 | 5.97,0.759,0.0,0,1
17024469808,1000,5,5,10,10,5.494,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,1,1,10,10,9.102,0,0,0.29 | 0.52 | 0.76,0,0.84 | 0.86 | 0.88,0,5.67 | 5.82 | 5.97,0.759,0.0,0,1
17024469809,1000,5,5,10,10,5.494,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,1,1,10,10,9.102,0,0,0.29 | 0.52 | 0.76,0,0.84 | 0.86 | 0.88,0,5.67 | 5.82 | 5.97,0.759,0.0,0,1
17024469810,1000,5,5,10,10,5.494,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,1,1,10,10,9.102,0,0,0.29 | 0.52 | 0.76,0,0.84 | 0.86 | 0.88,0,5.67 | 5.82 | 5.97,0.759,0.0,0,1
17024469811,1000,5,5,10,10,5.494,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,1,1,10,10,9.102,0,0,0.29 | 0.52 | 0.76,0,0.84 | 0.86 | 0.88,0,5.67 | 5.82 | 5.97,0.759,0.0,0,1
17024469812,1000,5,5,10,10,5.494,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,1,1,10,10,9.102,0,0,0.29 | 0.52 | 0.76,0,0.84 | 0.86 | 0.88,0,5.67 | 5.82 | 5.97,0.759,0.0,0,1
17024469813,1000,5,5,10,10,5.494,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,1,1,10,10,9.102,0,0,0.29 | 0.52 | 0.76,0,0.84 | 0.86 | 0.88,0,5.67 | 5.82 | 5.97,0.759,0.0,0,1
17024469814,1000,5,5,10,10,5.494,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,1,1,10,10,9.102,0,0,0.29 | 0.52 | 0.76,0,0.84 | 0.86 | 0.88,0,5.67 | 5.82 | 5.97,0.759,0.0,0,1
17024469815,1000,5,5,10,10,5.494,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,1,1,10,10,9.102,0,0,0.29 | 0.52 | 0.76,0,0.84 | 0.86 | 0.88,0,5.67 | 5.82 | 5.97,0.759,0.0,0,1
17024469816,1000,5,5,10,10,5.494,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,1,1,10,10,9.102,0,0,0.29 | 0.52 | 0.76,0,0.84 | 0.86 | 0.88,0,5.67 | 5.82 | 5.97,0.759,0.0,0,1
17024469817,1000,5,5,10,10,4.495,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,1,1,10,10,8.103,0,0,0.29 | 0.52 | 0.76,0,0.84 | 0.86 | 0.88,0,5.67 | 5.82 | 5.97,0.759,0.0,0,1
17024469818,1000,5,5,10,10,4.495,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,1,1,10,10,8.103,0,0,0.29 | 0.52 | 0.76,0,0.84 | 0.86 | 0.88,0,5.67 | 5.82 | 5.97,0.759,0.0,0,1
17024469819,1000,5,5,10,10,4.495,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,1,1,10,10,8.103,0,0,0.29 | 0.52 | 0.76,0,0.84 | 0.86 | 0.88,0,5.67 | 5.82 | 5.97,0.759,0.0,0,1
