ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17024435991,600,4,3,10,10,6.102,0,0,0.04 | 0.04 | 0.04,0,5.55 | 5.55 | 5.55,0,1.15 | 1.15 | 1.15,0.845,0.0,0,1,128,1,1,10,10,4.694,0,0,0.31 | 0.31 | 0.31,0,1.06 | 1.06 | 1.06,0,4.70 | 4.70 | 4.70,0.617,0.0,0,1
17024435992,600,4,3,10,10,6.102,0,0,0.04 | 0.04 | 0.04,0,5.55 | 5.55 | 5.55,0,1.15 | 1.15 | 1.15,0.845,0.0,0,1,128,1,1,10,10,4.694,0,0,0.31 | 0.31 | 0.31,0,1.06 | 1.06 | 1.06,0,4.70 | 4.70 | 4.70,0.617,0.0,0,1
17024435993,600,4,3,10,10,6.102,0,0,0.04 | 0.04 | 0.04,0,5.55 | 5.55 | 5.55,0,1.15 | 1.15 | 1.15,0.845,0.0,0,1,128,1,1,10,10,4.694,0,0,0.31 | 0.31 | 0.31,0,1.06 | 1.06 | 1.06,0,4.70 | 4.70 | 4.70,0.617,0.0,0,1
17024435994,600,4,3,10,10,6.102,0,0,0.04 | 0.04 | 0.04,0,5.55 | 5.55 | 5.55,0,1.15 | 1.15 | 1.15,0.845,0.0,0,1,128,1,1,10,10,4.694,0,0,0.31 | 0.31 | 0.31,0,1.06 | 1.06 | 1.06,0,4.70 | 4.70 | 4.70,0.617,0.0,0,1
17024435995,600,4,3,10,10,6.102,0,0,0.04 | 0.04 | 0.04,0,5.55 | 5.55 | 5.55,0,1.15 | 1.15 | 1.15,0.845,0.0,0,1,128,1,1,10,10,4.694,0,0,0.31 | 0.31 | 0.31,0,1.06 | 1.06 | 1.06,0,4.70 | 4.70 | 4.70,0.617,0.0,0,1
17024435996,600,4,3,10,10,6.102,0,0,0.04 | 0.04 | 0.04,0,5.55 | 5.55 | 5.55,0,1.15 | 1.15 | 1.15,0.845,0.0,0,1,128,1,1,10,10,4.694,0,0,0.31 | 0.31 | 0.31,0,1.06 | 1.06 | 1.06,0,4.70 | 4.70 | 4.70,0.617,0.0,0,1
17024435997,600,4,3,10,10,6.102,0,0,0.04 | 0.04 | 0.04,0,5.55 | 5.55 | 5.55,0,1.15 | 1.15 | 1.15,0.845,0.0,0,1,128,1,1,10,10,4.694,0,0,0.31 | 0.31 | 0.31,0,1.06 | 1.06 | 1.06,0,4.70 | 4.70 | 4.70,0.617,0.0,0,1
17024435998,600,4,3,10,10,6.102,0,0,0.04 | 0.04 | 0.04,0,5.55 | 5.55 | 5.55,0,1.15 | 1.15 | 1.15,0.845,0.0,0,1,128,1,1,10,10,4.694,0,0,0.31 | 0.31 | 0.31,0,1.06 | 1.06 | 1.06,0,4.70 | 4.70 | 4.70,0.617,0.0,0,1
17024435999,600,4,3,10,10,6.102,0,0,0.04 | 0.04 | 0.04,0,5.55 | 5.55 | 5.55,0,1.15 | 1.15 | 1.15,0.845,0.0,0,1,128,1,1,10,10,4.694,0,0,0.31 | 0.31 | 0.31,0,1.06 | 1.06 | 1.06,0,4.70 | 4.70 | 4.70,0.617,0.0,0,1
17024436000,600,4,3,10,10,6.102,0,0,0.04 | 0.04 | 0.04,0,5.55 | 5.55 | 5.55,0,1.15 | 1.15 | 1.15,0.845,0.0,0,1,128,1,1,10,10,4.694,0,0,0.31 | 0.31 | 0.31,0,1.06 | 1.06 | 1.06,0,4.70 | 4.70 | 4.70,0.617,0.0,0,1
