ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17058541843,1500,5,6,10,10,5.697,0,0,0.05 | 0.05 | 0.05,0,3.15 | 3.15 | 3.15,0,2.03 | 2.03 | 2.03,1.862,0.0,0,1,128,10,10,10,10,9.304,0,0,0.21 | 0.26 | 0.32,0,0.62 | 0.64 | 0.65,0,7.69 | 7.88 | 8.08,1.03,0.0,0,1
17058541844,1500,5,6,10,10,5.697,0,0,0.05 | 0.05 | 0.05,0,3.15 | 3.15 | 3.15,0,2.03 | 2.03 | 2.03,1.862,0.0,0,1,128,10,10,10,10,9.304,0,0,0.21 | 0.26 | 0.32,0,0.62 | 0.64 | 0.65,0,7.69 | 7.88 | 8.08,1.03,0.0,0,1
17058541845,1500,5,6,10,10,5.697,0,0,0.05 | 0.05 | 0.05,0,3.15 | 3.15 | 3.15,0,2.03 | 2.03 | 2.03,1.862,0.0,0,1,128,10,10,10,10,9.304,0,0,0.21 | 0.26 | 0.32,0,0.62 | 0.64 | 0.65,0,7.69 | 7.88 | 8.08,1.03,0.0,0,1
17058541846,1500,5,6,10,10,5.697,0,0,0.05 | 0.05 | 0.05,0,3.15 | 3.15 | 3.15,0,2.03 | 2.03 | 2.03,1.862,0.0,0,1,128,10,10,10,10,9.304,0,0,0.21 | 0.26 | 0.32,0,0.62 | 0.64 | 0.65,0,7.69 | 7.88 | 8.08,1.03,0.0,0,1
17058541847,1500,5,6,10,10,5.697,0,0,0.05 | 0.05 | 0.05,0,3.15 | 3.15 | 3.15,0,2.03 | 2.03 | 2.03,1.862,0.0,0,1,128,10,10,10,10,9.304,0,0,0.21 | 0.26 | 0.32,0,0.62 | 0.64 | 0.65,0,7.69 | 7.88 | 8.08,1.03,0.0,0,1
17058541848,1500,5,6,10,10,5.697,0,0,0.05 | 0.05 | 0.05,0,3.15 | 3.15 | 3.15,0,2.03 | 2.03 | 2.03,1.862,0.0,0,1,128,10,10,10,10,9.304,0,0,0.21 | 0.26 | 0.32,0,0.62 | 0.64 | 0.65,0,7.69 | 7.88 | 8.08,1.03,0.0,0,1
17058541849,1500,5,6,10,10,5.697,0,0,0.05 | 0.05 | 0.05,0,3.15 | 3.15 | 3.15,0,2.03 | 2.03 | 2.03,1.862,0.0,0,1,128,10,10,10,10,9.304,0,0,0.21 | 0.26 | 0.32,0,0.62 | 0.64 | 0.65,0,7.69 | 7.88 | 8.08,1.03,0.0,0,1
17058541850,1500,5,6,10,10,5.697,0,0,0.05 | 0.05 | 0.05,0,3.15 | 3.15 | 3.15,0,2.03 | 2.03 | 2.03,1.862,0.0,0,1,128,10,10,10,10,9.304,0,0,0.21 | 0.26 | 0.32,0,0.62 | 0.64 | 0.65,0,7.69 | 7.88 | 8.08,1.03,0.0,0,1
17058541851,1500,5,6,10,10,5.697,0,0,0.05 | 0.05 | 0.05,0,3.15 | 3.15 | 3.15,0,2.03 | 2.03 | 2.03,1.862,0.0,0,1,128,10,10,10,10,9.304,0,0,0.21 | 0.26 | 0.32,0,0.62 | 0.64 | 0.65,0,7.69 | 7.88 | 8.08,1.03,0.0,0,1
17058541852,1500,5,6,10,10,5.697,0,0,0.05 | 0.05 | 0.05,0,3.15 | 3.15 | 3.15,0,2.03 | 2.03 | 2.03,1.862,0.0,0,1,128,10,10,10,10,9.304,0,0,0.21 | 0.26 | 0.32,0,0.62 | 0.64 | 0.65,0,7.69 | 7.88 | 8.08,1.03,0.0,0,1
