ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17035367997,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,1,10,10,9.15,0,0,0.29 | 0.40 | 0.51,0,0.83 | 0.85 | 0.86,0,5.80 | 5.91 | 6.03,0.772,0.0,0,1
17035367998,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,1,10,10,9.15,0,0,0.29 | 0.40 | 0.51,0,0.83 | 0.85 | 0.86,0,5.80 | 5.91 | 6.03,0.772,0.0,0,1
17035367999,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,1,10,10,9.15,0,0,0.29 | 0.40 | 0.51,0,0.83 | 0.85 | 0.86,0,5.80 | 5.91 | 6.03,0.772,0.0,0,1
17035368000,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,1,10,10,9.15,0,0,0.29 | 0.40 | 0.51,0,0.83 | 0.85 | 0.86,0,5.80 | 5.91 | 6.03,0.772,0.0,0,1
17035368001,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,1,10,10,9.15,0,0,0.29 | 0.40 | 0.51,0,0.83 | 0.85 | 0.86,0,5.80 | 5.91 | 6.03,0.772,0.0,0,1
17035368002,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,1,10,10,9.15,0,0,0.29 | 0.40 | 0.51,0,0.83 | 0.85 | 0.86,0,5.80 | 5.91 | 6.03,0.772,0.0,0,1
17035368003,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,1,10,10,9.15,0,0,0.29 | 0.40 | 0.51,0,0.83 | 0.85 | 0.86,0,5.80 | 5.91 | 6.03,0.772,0.0,0,1
17035368004,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,1,10,10,9.15,0,0,0.29 | 0.40 | 0.51,0,0.83 | 0.85 | 0.86,0,5.80 | 5.91 | 6.03,0.772,0.0,0,1
17035368005,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,1,10,10,9.15,0,0,0.29 | 0.40 | 0.51,0,0.83 | 0.85 | 0.86,0,5.80 | 5.91 | 6.03,0.772,0.0,0,1
17035368006,1000,5,5,10,10,5.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,1,10,10,9.15,0,0,0.29 | 0.40 | 0.51,0,0.83 | 0.85 | 0.86,0,5.80 | 5.91 | 6.03,0.772,0.0,0,1
17035368007,1000,5,5,10,10,4.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,1,10,10,8.15,0,0,0.29 | 0.40 | 0.51,0,0.83 | 0.85 | 0.86,0,5.80 | 5.91 | 6.03,0.772,0.0,0,1
17035368008,1000,5,5,10,10,4.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,1,10,10,8.15,0,0,0.29 | 0.40 | 0.51,0,0.83 | 0.85 | 0.86,0,5.80 | 5.91 | 6.03,0.772,0.0,0,1
17035368009,1000,5,5,10,10,4.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,1,10,10,8.15,0,0,0.29 | 0.40 | 0.51,0,0.83 | 0.85 | 0.86,0,5.80 | 5.91 | 6.03,0.772,0.0,0,1
17035368010,1000,5,5,10,10,4.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,1,10,10,8.15,0,0,0.29 | 0.40 | 0.51,0,0.83 | 0.85 | 0.86,0,5.80 | 5.91 | 6.03,0.772,0.0,0,1
17035368011,1000,5,5,10,10,4.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,1,10,10,8.15,0,0,0.29 | 0.40 | 0.51,0,0.83 | 0.85 | 0.86,0,5.80 | 5.91 | 6.03,0.772,0.0,0,1
17035368012,1000,5,5,10,10,4.542,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,1,10,10,8.15,0,0,0.29 | 0.40 | 0.51,0,0.83 | 0.85 | 0.86,0,5.80 | 5.91 | 6.03,0.772,0.0,0,1
