ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17035315406,600,4,3,10,10,5.765,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,9.373,0,0,0.41 | 0.58 | 0.76,0,1.24 | 1.25 | 1.25,0,3.98 | 4.01 | 4.04,0.524,0.0,0,1
17035315407,600,4,3,10,10,5.765,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,9.373,0,0,0.41 | 0.58 | 0.76,0,1.24 | 1.25 | 1.25,0,3.98 | 4.01 | 4.04,0.524,0.0,0,1
17035315408,600,4,3,10,10,5.765,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,9.373,0,0,0.41 | 0.58 | 0.76,0,1.24 | 1.25 | 1.25,0,3.98 | 4.01 | 4.04,0.524,0.0,0,1
17035315409,600,4,3,10,10,5.765,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,9.373,0,0,0.41 | 0.58 | 0.76,0,1.24 | 1.25 | 1.25,0,3.98 | 4.01 | 4.04,0.524,0.0,0,1
17035315410,600,4,3,10,10,5.765,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,9.373,0,0,0.41 | 0.58 | 0.76,0,1.24 | 1.25 | 1.25,0,3.98 | 4.01 | 4.04,0.524,0.0,0,1
17035315411,600,4,3,10,10,5.765,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,9.373,0,0,0.41 | 0.58 | 0.76,0,1.24 | 1.25 | 1.25,0,3.98 | 4.01 | 4.04,0.524,0.0,0,1
17035315412,600,4,3,10,10,5.765,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,9.373,0,0,0.41 | 0.58 | 0.76,0,1.24 | 1.25 | 1.25,0,3.98 | 4.01 | 4.04,0.524,0.0,0,1
17035315413,600,4,3,10,10,5.765,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,9.373,0,0,0.41 | 0.58 | 0.76,0,1.24 | 1.25 | 1.25,0,3.98 | 4.01 | 4.04,0.524,0.0,0,1
17035315414,600,4,3,10,10,5.765,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,9.373,0,0,0.41 | 0.58 | 0.76,0,1.24 | 1.25 | 1.25,0,3.98 | 4.01 | 4.04,0.524,0.0,0,1
17035315415,600,4,3,10,10,5.765,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,9.373,0,0,0.41 | 0.58 | 0.76,0,1.24 | 1.25 | 1.25,0,3.98 | 4.01 | 4.04,0.524,0.0,0,1
17035315416,600,4,3,10,10,4.765,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,8.373,0,0,0.41 | 0.58 | 0.76,0,1.24 | 1.25 | 1.25,0,3.98 | 4.01 | 4.04,0.524,0.0,0,1
17035315417,600,4,3,10,10,4.765,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,8.373,0,0,0.41 | 0.58 | 0.76,0,1.24 | 1.25 | 1.25,0,3.98 | 4.01 | 4.04,0.524,0.0,0,1
17035315418,600,4,3,10,10,4.765,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,8.373,0,0,0.41 | 0.58 | 0.76,0,1.24 | 1.25 | 1.25,0,3.98 | 4.01 | 4.04,0.524,0.0,0,1
17035315419,600,4,3,10,10,4.765,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,8.373,0,0,0.41 | 0.58 | 0.76,0,1.24 | 1.25 | 1.25,0,3.98 | 4.01 | 4.04,0.524,0.0,0,1
17035315420,600,4,3,10,10,4.765,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,8.373,0,0,0.41 | 0.58 | 0.76,0,1.24 | 1.25 | 1.25,0,3.98 | 4.01 | 4.04,0.524,0.0,0,1
17035315421,600,4,3,10,10,4.765,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,8.373,0,0,0.41 | 0.58 | 0.76,0,1.24 | 1.25 | 1.25,0,3.98 | 4.01 | 4.04,0.524,0.0,0,1
17035315422,600,4,3,10,10,4.765,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,8.373,0,0,0.41 | 0.58 | 0.76,0,1.24 | 1.25 | 1.25,0,3.98 | 4.01 | 4.04,0.524,0.0,0,1
17035315423,600,4,3,10,10,4.765,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,8.373,0,0,0.41 | 0.58 | 0.76,0,1.24 | 1.25 | 1.25,0,3.98 | 4.01 | 4.04,0.524,0.0,0,1
17035315424,600,4,3,10,10,4.765,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,8.373,0,0,0.41 | 0.58 | 0.76,0,1.24 | 1.25 | 1.25,0,3.98 | 4.01 | 4.04,0.524,0.0,0,1
17035315425,600,4,3,10,10,4.765,0,0,0.04 | 0.04 | 0.04,0,6.22 | 6.22 | 6.22,0,1.03 | 1.03 | 1.03,0.754,0.0,0,1,128,1,1,10,10,8.373,0,0,0.41 | 0.58 | 0.76,0,1.24 | 1.25 | 1.25,0,3.98 | 4.01 | 4.04,0.524,0.0,0,1
