ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17035036358,200,2,1,10,10,5.657,0,0,0.04 | 0.04 | 0.04,0,6.11 | 6.11 | 6.11,0,1.05 | 1.05 | 1.05,0.375,0.0,0,1,128,1,1,10,10,4.249,0,0,0.59 | 0.59 | 0.59,0,2.31 | 2.31 | 2.31,0,2.16 | 2.16 | 2.16,0.283,0.0,0,1
17035036359,200,2,1,10,10,5.657,0,0,0.04 | 0.04 | 0.04,0,6.11 | 6.11 | 6.11,0,1.05 | 1.05 | 1.05,0.375,0.0,0,1,128,1,1,10,10,4.249,0,0,0.59 | 0.59 | 0.59,0,2.31 | 2.31 | 2.31,0,2.16 | 2.16 | 2.16,0.283,0.0,0,1
17035036360,200,2,1,10,10,5.657,0,0,0.04 | 0.04 | 0.04,0,6.11 | 6.11 | 6.11,0,1.05 | 1.05 | 1.05,0.375,0.0,0,1,128,1,1,10,10,4.249,0,0,0.59 | 0.59 | 0.59,0,2.31 | 2.31 | 2.31,0,2.16 | 2.16 | 2.16,0.283,0.0,0,1
17035036361,200,2,1,10,10,5.657,0,0,0.04 | 0.04 | 0.04,0,6.11 | 6.11 | 6.11,0,1.05 | 1.05 | 1.05,0.375,0.0,0,1,128,1,1,10,10,4.249,0,0,0.59 | 0.59 | 0.59,0,2.31 | 2.31 | 2.31,0,2.16 | 2.16 | 2.16,0.283,0.0,0,1
17035036362,200,2,1,10,10,5.657,0,0,0.04 | 0.04 | 0.04,0,6.11 | 6.11 | 6.11,0,1.05 | 1.05 | 1.05,0.375,0.0,0,1,128,1,1,10,10,4.249,0,0,0.59 | 0.59 | 0.59,0,2.31 | 2.31 | 2.31,0,2.16 | 2.16 | 2.16,0.283,0.0,0,1
17035036363,200,2,1,10,10,5.657,0,0,0.04 | 0.04 | 0.04,0,6.11 | 6.11 | 6.11,0,1.05 | 1.05 | 1.05,0.375,0.0,0,1,128,1,1,10,10,4.249,0,0,0.59 | 0.59 | 0.59,0,2.31 | 2.31 | 2.31,0,2.16 | 2.16 | 2.16,0.283,0.0,0,1
17035036364,200,2,1,10,10,5.657,0,0,0.04 | 0.04 | 0.04,0,6.11 | 6.11 | 6.11,0,1.05 | 1.05 | 1.05,0.375,0.0,0,1,128,1,1,10,10,4.249,0,0,0.59 | 0.59 | 0.59,0,2.31 | 2.31 | 2.31,0,2.16 | 2.16 | 2.16,0.283,0.0,0,1
17035036365,200,2,1,10,10,5.657,0,0,0.04 | 0.04 | 0.04,0,6.11 | 6.11 | 6.11,0,1.05 | 1.05 | 1.05,0.375,0.0,0,1,128,1,1,10,10,4.249,0,0,0.59 | 0.59 | 0.59,0,2.31 | 2.31 | 2.31,0,2.16 | 2.16 | 2.16,0.283,0.0,0,1
17035036366,200,2,1,10,10,5.657,0,0,0.04 | 0.04 | 0.04,0,6.11 | 6.11 | 6.11,0,1.05 | 1.05 | 1.05,0.375,0.0,0,1,128,1,1,10,10,4.249,0,0,0.59 | 0.59 | 0.59,0,2.31 | 2.31 | 2.31,0,2.16 | 2.16 | 2.16,0.283,0.0,0,1
17035036367,200,2,1,10,10,5.657,0,0,0.04 | 0.04 | 0.04,0,6.11 | 6.11 | 6.11,0,1.05 | 1.05 | 1.05,0.375,0.0,0,1,128,1,1,10,10,4.249,0,0,0.59 | 0.59 | 0.59,0,2.31 | 2.31 | 2.31,0,2.16 | 2.16 | 2.16,0.283,0.0,0,1
