ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17050818364,1500,6,6,10,10,5.99,0,0,0.05 | 0.05 | 0.05,0,4.43 | 4.43 | 4.43,0,1.44 | 1.44 | 1.44,2.016,0.0,0,1,128,10,10,10,10,9.597,0,0,0.20 | 0.49 | 0.78,0,0.19 | 0.36 | 0.53,0,9.42 | 13.88 | 26.26,2.325,0.0,0,1
17050818365,1500,6,6,10,10,5.99,0,0,0.05 | 0.05 | 0.05,0,4.43 | 4.43 | 4.43,0,1.44 | 1.44 | 1.44,2.016,0.0,0,1,128,10,10,10,10,9.597,0,0,0.20 | 0.49 | 0.78,0,0.19 | 0.36 | 0.53,0,9.42 | 13.88 | 26.26,2.325,0.0,0,1
17050818366,1500,6,6,10,10,5.99,0,0,0.05 | 0.05 | 0.05,0,4.43 | 4.43 | 4.43,0,1.44 | 1.44 | 1.44,2.016,0.0,0,1,128,10,10,10,10,9.597,0,0,0.20 | 0.49 | 0.78,0,0.19 | 0.36 | 0.53,0,9.42 | 13.88 | 26.26,2.325,0.0,0,1
17050818367,1500,6,6,10,10,5.99,0,0,0.05 | 0.05 | 0.05,0,4.43 | 4.43 | 4.43,0,1.44 | 1.44 | 1.44,2.016,0.0,0,1,128,10,10,10,10,9.597,0,0,0.20 | 0.49 | 0.78,0,0.19 | 0.36 | 0.53,0,9.42 | 13.88 | 26.26,2.325,0.0,0,1
17050818368,1500,6,6,10,10,5.99,0,0,0.05 | 0.05 | 0.05,0,4.43 | 4.43 | 4.43,0,1.44 | 1.44 | 1.44,2.016,0.0,0,1,128,10,10,10,10,9.597,0,0,0.20 | 0.49 | 0.78,0,0.19 | 0.36 | 0.53,0,9.42 | 13.88 | 26.26,2.325,0.0,0,1
17050818369,1500,6,6,10,10,5.99,0,0,0.05 | 0.05 | 0.05,0,4.43 | 4.43 | 4.43,0,1.44 | 1.44 | 1.44,2.016,0.0,0,1,128,10,10,10,10,9.597,0,0,0.20 | 0.49 | 0.78,0,0.19 | 0.36 | 0.53,0,9.42 | 13.88 | 26.26,2.325,0.0,0,1
17050818370,1500,6,6,10,10,5.99,0,0,0.05 | 0.05 | 0.05,0,4.43 | 4.43 | 4.43,0,1.44 | 1.44 | 1.44,2.016,0.0,0,1,128,10,10,10,10,9.597,0,0,0.20 | 0.49 | 0.78,0,0.19 | 0.36 | 0.53,0,9.42 | 13.88 | 26.26,2.325,0.0,0,1
17050818371,1500,6,6,10,10,5.99,0,0,0.05 | 0.05 | 0.05,0,4.43 | 4.43 | 4.43,0,1.44 | 1.44 | 1.44,2.016,0.0,0,1,128,10,10,10,10,9.597,0,0,0.20 | 0.49 | 0.78,0,0.19 | 0.36 | 0.53,0,9.42 | 13.88 | 26.26,2.325,0.0,0,1
17050818372,1500,6,6,10,10,5.99,0,0,0.05 | 0.05 | 0.05,0,4.43 | 4.43 | 4.43,0,1.44 | 1.44 | 1.44,2.016,0.0,0,1,128,10,10,10,10,9.597,0,0,0.20 | 0.49 | 0.78,0,0.19 | 0.36 | 0.53,0,9.42 | 13.88 | 26.26,2.325,0.0,0,1
17050818373,1500,6,6,10,10,5.99,0,0,0.05 | 0.05 | 0.05,0,4.43 | 4.43 | 4.43,0,1.44 | 1.44 | 1.44,2.016,0.0,0,1,128,10,10,10,10,9.597,0,0,0.20 | 0.49 | 0.78,0,0.19 | 0.36 | 0.53,0,9.42 | 13.88 | 26.26,2.325,0.0,0,1
