ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17045374684,1000,5,5,10,10,5.549,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,9.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374685,1000,5,5,10,10,5.549,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,9.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374686,1000,5,5,10,10,5.549,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,9.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374687,1000,5,5,10,10,5.549,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,9.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374688,1000,5,5,10,10,5.549,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,9.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374689,1000,5,5,10,10,5.549,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,9.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374690,1000,5,5,10,10,5.549,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,9.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374691,1000,5,5,10,10,5.549,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,9.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374692,1000,5,5,10,10,5.549,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,9.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374693,1000,5,5,10,10,5.549,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,9.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374694,1000,5,5,10,10,4.55,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,8.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374695,1000,5,5,10,10,4.55,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,8.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374696,1000,5,5,10,10,4.55,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,8.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374697,1000,5,5,10,10,4.55,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,8.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374698,1000,5,5,10,10,4.55,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,8.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374699,1000,5,5,10,10,4.55,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,8.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374700,1000,5,5,10,10,4.55,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,8.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374701,1000,5,5,10,10,4.55,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,8.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374702,1000,5,5,10,10,4.55,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,8.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374703,1000,5,5,10,10,4.55,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,8.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374704,1000,5,5,10,10,3.55,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,7.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374705,1000,5,5,10,10,3.55,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,7.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
17045374706,1000,5,5,10,10,3.55,0,0,0.04 | 0.04 | 0.04,0,5.00 | 5.00 | 5.00,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,7.157,0,0,0.26 | 0.44 | 0.62,0,0.85 | 0.85 | 0.85,0,5.86 | 5.88 | 5.89,0.767,0.0,0,1
