ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17036744872,600,4,3,10,10,5.771,0,0,0.04 | 0.04 | 0.04,0,6.24 | 6.24 | 6.24,0,1.03 | 1.03 | 1.03,0.752,0.0,0,1,128,1,10,10,10,9.379,0,0,0.32 | 0.62 | 0.91,0,1.25 | 1.26 | 1.26,0,3.96 | 3.98 | 4.01,0.52,0.0,0,1
17036744873,600,4,3,10,10,5.771,0,0,0.04 | 0.04 | 0.04,0,6.24 | 6.24 | 6.24,0,1.03 | 1.03 | 1.03,0.752,0.0,0,1,128,1,10,10,10,9.379,0,0,0.32 | 0.62 | 0.91,0,1.25 | 1.26 | 1.26,0,3.96 | 3.98 | 4.01,0.52,0.0,0,1
17036744874,600,4,3,10,10,5.771,0,0,0.04 | 0.04 | 0.04,0,6.24 | 6.24 | 6.24,0,1.03 | 1.03 | 1.03,0.752,0.0,0,1,128,1,10,10,10,9.379,0,0,0.32 | 0.62 | 0.91,0,1.25 | 1.26 | 1.26,0,3.96 | 3.98 | 4.01,0.52,0.0,0,1
17036744875,600,4,3,10,10,5.771,0,0,0.04 | 0.04 | 0.04,0,6.24 | 6.24 | 6.24,0,1.03 | 1.03 | 1.03,0.752,0.0,0,1,128,1,10,10,10,9.379,0,0,0.32 | 0.62 | 0.91,0,1.25 | 1.26 | 1.26,0,3.96 | 3.98 | 4.01,0.52,0.0,0,1
17036744876,600,4,3,10,10,5.771,0,0,0.04 | 0.04 | 0.04,0,6.24 | 6.24 | 6.24,0,1.03 | 1.03 | 1.03,0.752,0.0,0,1,128,1,10,10,10,9.379,0,0,0.32 | 0.62 | 0.91,0,1.25 | 1.26 | 1.26,0,3.96 | 3.98 | 4.01,0.52,0.0,0,1
17036744877,600,4,3,10,10,5.771,0,0,0.04 | 0.04 | 0.04,0,6.24 | 6.24 | 6.24,0,1.03 | 1.03 | 1.03,0.752,0.0,0,1,128,1,10,10,10,9.379,0,0,0.32 | 0.62 | 0.91,0,1.25 | 1.26 | 1.26,0,3.96 | 3.98 | 4.01,0.52,0.0,0,1
17036744878,600,4,3,10,10,5.771,0,0,0.04 | 0.04 | 0.04,0,6.24 | 6.24 | 6.24,0,1.03 | 1.03 | 1.03,0.752,0.0,0,1,128,1,10,10,10,9.379,0,0,0.32 | 0.62 | 0.91,0,1.25 | 1.26 | 1.26,0,3.96 | 3.98 | 4.01,0.52,0.0,0,1
17036744879,600,4,3,10,10,5.771,0,0,0.04 | 0.04 | 0.04,0,6.24 | 6.24 | 6.24,0,1.03 | 1.03 | 1.03,0.752,0.0,0,1,128,1,10,10,10,9.379,0,0,0.32 | 0.62 | 0.91,0,1.25 | 1.26 | 1.26,0,3.96 | 3.98 | 4.01,0.52,0.0,0,1
17036744880,600,4,3,10,10,5.771,0,0,0.04 | 0.04 | 0.04,0,6.24 | 6.24 | 6.24,0,1.03 | 1.03 | 1.03,0.752,0.0,0,1,128,1,10,10,10,9.379,0,0,0.32 | 0.62 | 0.91,0,1.25 | 1.26 | 1.26,0,3.96 | 3.98 | 4.01,0.52,0.0,0,1
17036744881,600,4,3,10,10,5.771,0,0,0.04 | 0.04 | 0.04,0,6.24 | 6.24 | 6.24,0,1.03 | 1.03 | 1.03,0.752,0.0,0,1,128,1,10,10,10,9.379,0,0,0.32 | 0.62 | 0.91,0,1.25 | 1.26 | 1.26,0,3.96 | 3.98 | 4.01,0.52,0.0,0,1
