ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17036902609,200,5,1,10,10,6.396,0,0,0.04 | 0.04 | 0.04,0,14.93 | 14.93 | 14.93,0,0.43 | 0.43 | 0.43,0.393,0.0,0,1,128,1,10,10,10,10.008,0,0,0.40 | 0.42 | 0.45,0,2.49 | 2.50 | 2.50,0,2.00 | 2.00 | 2.01,0.262,0.0,0,1
17036902610,200,5,1,10,10,6.396,0,0,0.04 | 0.04 | 0.04,0,14.93 | 14.93 | 14.93,0,0.43 | 0.43 | 0.43,0.393,0.0,0,1,128,1,10,10,10,10.008,0,0,0.40 | 0.42 | 0.45,0,2.49 | 2.50 | 2.50,0,2.00 | 2.00 | 2.01,0.262,0.0,0,1
17036902611,200,5,1,10,10,6.396,0,0,0.04 | 0.04 | 0.04,0,14.93 | 14.93 | 14.93,0,0.43 | 0.43 | 0.43,0.393,0.0,0,1,128,1,10,10,10,10.008,0,0,0.40 | 0.42 | 0.45,0,2.49 | 2.50 | 2.50,0,2.00 | 2.00 | 2.01,0.262,0.0,0,1
17036902612,200,5,1,10,10,6.396,0,0,0.04 | 0.04 | 0.04,0,14.93 | 14.93 | 14.93,0,0.43 | 0.43 | 0.43,0.393,0.0,0,1,128,1,10,10,10,10.008,0,0,0.40 | 0.42 | 0.45,0,2.49 | 2.50 | 2.50,0,2.00 | 2.00 | 2.01,0.262,0.0,0,1
17036902613,200,5,1,10,10,6.396,0,0,0.04 | 0.04 | 0.04,0,14.93 | 14.93 | 14.93,0,0.43 | 0.43 | 0.43,0.393,0.0,0,1,128,1,10,10,10,10.008,0,0,0.40 | 0.42 | 0.45,0,2.49 | 2.50 | 2.50,0,2.00 | 2.00 | 2.01,0.262,0.0,0,1
17036902614,200,5,1,10,10,6.396,0,0,0.04 | 0.04 | 0.04,0,14.93 | 14.93 | 14.93,0,0.43 | 0.43 | 0.43,0.393,0.0,0,1,128,1,10,10,10,10.008,0,0,0.40 | 0.42 | 0.45,0,2.49 | 2.50 | 2.50,0,2.00 | 2.00 | 2.01,0.262,0.0,0,1
17036902615,200,5,1,10,10,6.396,0,0,0.04 | 0.04 | 0.04,0,14.93 | 14.93 | 14.93,0,0.43 | 0.43 | 0.43,0.393,0.0,0,1,128,1,10,10,10,10.008,0,0,0.40 | 0.42 | 0.45,0,2.49 | 2.50 | 2.50,0,2.00 | 2.00 | 2.01,0.262,0.0,0,1
17036902616,200,5,1,10,10,6.396,0,0,0.04 | 0.04 | 0.04,0,14.93 | 14.93 | 14.93,0,0.43 | 0.43 | 0.43,0.393,0.0,0,1,128,1,10,10,10,10.008,0,0,0.40 | 0.42 | 0.45,0,2.49 | 2.50 | 2.50,0,2.00 | 2.00 | 2.01,0.262,0.0,0,1
17036902617,200,5,1,10,10,6.396,0,0,0.04 | 0.04 | 0.04,0,14.93 | 14.93 | 14.93,0,0.43 | 0.43 | 0.43,0.393,0.0,0,1,128,1,10,10,10,10.008,0,0,0.40 | 0.42 | 0.45,0,2.49 | 2.50 | 2.50,0,2.00 | 2.00 | 2.01,0.262,0.0,0,1
17036902618,200,5,1,10,10,6.396,0,0,0.04 | 0.04 | 0.04,0,14.93 | 14.93 | 14.93,0,0.43 | 0.43 | 0.43,0.393,0.0,0,1,128,1,10,10,10,10.008,0,0,0.40 | 0.42 | 0.45,0,2.49 | 2.50 | 2.50,0,2.00 | 2.00 | 2.01,0.262,0.0,0,1
