ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17054997667,1500,5,6,10,10,5.932,0,0,0.04 | 0.04 | 0.04,0,3.39 | 3.39 | 3.39,0,1.89 | 1.89 | 1.89,1.731,0.0,0,1,128,1,10,10,10,9.54,0,0,0.14 | 0.17 | 0.20,0,0.65 | 0.70 | 0.74,0,6.75 | 7.19 | 7.70,0.944,0.0,0,1
17054997668,1500,5,6,10,10,5.932,0,0,0.04 | 0.04 | 0.04,0,3.39 | 3.39 | 3.39,0,1.89 | 1.89 | 1.89,1.731,0.0,0,1,128,1,10,10,10,9.54,0,0,0.14 | 0.17 | 0.20,0,0.65 | 0.70 | 0.74,0,6.75 | 7.19 | 7.70,0.944,0.0,0,1
17054997669,1500,5,6,10,10,5.932,0,0,0.04 | 0.04 | 0.04,0,3.39 | 3.39 | 3.39,0,1.89 | 1.89 | 1.89,1.731,0.0,0,1,128,1,10,10,10,9.54,0,0,0.14 | 0.17 | 0.20,0,0.65 | 0.70 | 0.74,0,6.75 | 7.19 | 7.70,0.944,0.0,0,1
17054997670,1500,5,6,10,10,5.932,0,0,0.04 | 0.04 | 0.04,0,3.39 | 3.39 | 3.39,0,1.89 | 1.89 | 1.89,1.731,0.0,0,1,128,1,10,10,10,9.54,0,0,0.14 | 0.17 | 0.20,0,0.65 | 0.70 | 0.74,0,6.75 | 7.19 | 7.70,0.944,0.0,0,1
17054997671,1500,5,6,10,10,5.932,0,0,0.04 | 0.04 | 0.04,0,3.39 | 3.39 | 3.39,0,1.89 | 1.89 | 1.89,1.731,0.0,0,1,128,1,10,10,10,9.54,0,0,0.14 | 0.17 | 0.20,0,0.65 | 0.70 | 0.74,0,6.75 | 7.19 | 7.70,0.944,0.0,0,1
17054997672,1500,5,6,10,10,5.932,0,0,0.04 | 0.04 | 0.04,0,3.39 | 3.39 | 3.39,0,1.89 | 1.89 | 1.89,1.731,0.0,0,1,128,1,10,10,10,9.54,0,0,0.14 | 0.17 | 0.20,0,0.65 | 0.70 | 0.74,0,6.75 | 7.19 | 7.70,0.944,0.0,0,1
17054997673,1500,5,6,10,10,5.932,0,0,0.04 | 0.04 | 0.04,0,3.39 | 3.39 | 3.39,0,1.89 | 1.89 | 1.89,1.731,0.0,0,1,128,1,10,10,10,9.54,0,0,0.14 | 0.17 | 0.20,0,0.65 | 0.70 | 0.74,0,6.75 | 7.19 | 7.70,0.944,0.0,0,1
17054997674,1500,5,6,10,10,5.932,0,0,0.04 | 0.04 | 0.04,0,3.39 | 3.39 | 3.39,0,1.89 | 1.89 | 1.89,1.731,0.0,0,1,128,1,10,10,10,9.54,0,0,0.14 | 0.17 | 0.20,0,0.65 | 0.70 | 0.74,0,6.75 | 7.19 | 7.70,0.944,0.0,0,1
17054997675,1500,5,6,10,10,5.932,0,0,0.04 | 0.04 | 0.04,0,3.39 | 3.39 | 3.39,0,1.89 | 1.89 | 1.89,1.731,0.0,0,1,128,1,10,10,10,9.54,0,0,0.14 | 0.17 | 0.20,0,0.65 | 0.70 | 0.74,0,6.75 | 7.19 | 7.70,0.944,0.0,0,1
17054997676,1500,5,6,10,10,5.932,0,0,0.04 | 0.04 | 0.04,0,3.39 | 3.39 | 3.39,0,1.89 | 1.89 | 1.89,1.731,0.0,0,1,128,1,10,10,10,9.54,0,0,0.14 | 0.17 | 0.20,0,0.65 | 0.70 | 0.74,0,6.75 | 7.19 | 7.70,0.944,0.0,0,1
