ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17043061793,1000,5,5,10,10,5.549,0,0,0.04 | 0.04 | 0.04,0,4.99 | 4.99 | 4.99,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,9.157,0,0,0.22 | 0.42 | 0.61,0,0.85 | 0.85 | 0.85,0,5.87 | 5.88 | 5.89,0.767,0.0,0,1
17043061794,1000,5,5,10,10,5.549,0,0,0.04 | 0.04 | 0.04,0,4.99 | 4.99 | 4.99,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,9.157,0,0,0.22 | 0.42 | 0.61,0,0.85 | 0.85 | 0.85,0,5.87 | 5.88 | 5.89,0.767,0.0,0,1
17043061795,1000,5,5,10,10,5.549,0,0,0.04 | 0.04 | 0.04,0,4.99 | 4.99 | 4.99,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,9.157,0,0,0.22 | 0.42 | 0.61,0,0.85 | 0.85 | 0.85,0,5.87 | 5.88 | 5.89,0.767,0.0,0,1
17043061796,1000,5,5,10,10,5.549,0,0,0.04 | 0.04 | 0.04,0,4.99 | 4.99 | 4.99,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,9.157,0,0,0.22 | 0.42 | 0.61,0,0.85 | 0.85 | 0.85,0,5.87 | 5.88 | 5.89,0.767,0.0,0,1
17043061797,1000,5,5,10,10,5.549,0,0,0.04 | 0.04 | 0.04,0,4.99 | 4.99 | 4.99,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,9.157,0,0,0.22 | 0.42 | 0.61,0,0.85 | 0.85 | 0.85,0,5.87 | 5.88 | 5.89,0.767,0.0,0,1
17043061798,1000,5,5,10,10,5.549,0,0,0.04 | 0.04 | 0.04,0,4.99 | 4.99 | 4.99,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,9.157,0,0,0.22 | 0.42 | 0.61,0,0.85 | 0.85 | 0.85,0,5.87 | 5.88 | 5.89,0.767,0.0,0,1
17043061799,1000,5,5,10,10,5.549,0,0,0.04 | 0.04 | 0.04,0,4.99 | 4.99 | 4.99,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,9.157,0,0,0.22 | 0.42 | 0.61,0,0.85 | 0.85 | 0.85,0,5.87 | 5.88 | 5.89,0.767,0.0,0,1
17043061800,1000,5,5,10,10,5.549,0,0,0.04 | 0.04 | 0.04,0,4.99 | 4.99 | 4.99,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,9.157,0,0,0.22 | 0.42 | 0.61,0,0.85 | 0.85 | 0.85,0,5.87 | 5.88 | 5.89,0.767,0.0,0,1
17043061801,1000,5,5,10,10,5.549,0,0,0.04 | 0.04 | 0.04,0,4.99 | 4.99 | 4.99,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,9.157,0,0,0.22 | 0.42 | 0.61,0,0.85 | 0.85 | 0.85,0,5.87 | 5.88 | 5.89,0.767,0.0,0,1
17043061802,1000,5,5,10,10,5.549,0,0,0.04 | 0.04 | 0.04,0,4.99 | 4.99 | 4.99,0,1.28 | 1.28 | 1.28,1.175,0.0,0,1,128,1,10,10,10,9.157,0,0,0.22 | 0.42 | 0.61,0,0.85 | 0.85 | 0.85,0,5.87 | 5.88 | 5.89,0.767,0.0,0,1
