ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17043133753,1000,6,5,10,10,5.96,0,0,0.04 | 0.04 | 0.04,0,5.39 | 5.39 | 5.39,0,1.19 | 1.19 | 1.19,1.657,0.0,0,1,128,1,10,10,10,9.568,0,0,0.15 | 0.16 | 0.17,0,0.64 | 0.67 | 0.70,0,7.13 | 7.47 | 7.84,0.977,0.0,0,1
17043133754,1000,6,5,10,10,5.96,0,0,0.04 | 0.04 | 0.04,0,5.39 | 5.39 | 5.39,0,1.19 | 1.19 | 1.19,1.657,0.0,0,1,128,1,10,10,10,9.568,0,0,0.15 | 0.16 | 0.17,0,0.64 | 0.67 | 0.70,0,7.13 | 7.47 | 7.84,0.977,0.0,0,1
17043133755,1000,6,5,10,10,5.96,0,0,0.04 | 0.04 | 0.04,0,5.39 | 5.39 | 5.39,0,1.19 | 1.19 | 1.19,1.657,0.0,0,1,128,1,10,10,10,9.568,0,0,0.15 | 0.16 | 0.17,0,0.64 | 0.67 | 0.70,0,7.13 | 7.47 | 7.84,0.977,0.0,0,1
17043133756,1000,6,5,10,10,5.96,0,0,0.04 | 0.04 | 0.04,0,5.39 | 5.39 | 5.39,0,1.19 | 1.19 | 1.19,1.657,0.0,0,1,128,1,10,10,10,9.568,0,0,0.15 | 0.16 | 0.17,0,0.64 | 0.67 | 0.70,0,7.13 | 7.47 | 7.84,0.977,0.0,0,1
17043133757,1000,6,5,10,10,5.96,0,0,0.04 | 0.04 | 0.04,0,5.39 | 5.39 | 5.39,0,1.19 | 1.19 | 1.19,1.657,0.0,0,1,128,1,10,10,10,9.568,0,0,0.15 | 0.16 | 0.17,0,0.64 | 0.67 | 0.70,0,7.13 | 7.47 | 7.84,0.977,0.0,0,1
17043133758,1000,6,5,10,10,5.96,0,0,0.04 | 0.04 | 0.04,0,5.39 | 5.39 | 5.39,0,1.19 | 1.19 | 1.19,1.657,0.0,0,1,128,1,10,10,10,9.568,0,0,0.15 | 0.16 | 0.17,0,0.64 | 0.67 | 0.70,0,7.13 | 7.47 | 7.84,0.977,0.0,0,1
17043133759,1000,6,5,10,10,5.96,0,0,0.04 | 0.04 | 0.04,0,5.39 | 5.39 | 5.39,0,1.19 | 1.19 | 1.19,1.657,0.0,0,1,128,1,10,10,10,9.568,0,0,0.15 | 0.16 | 0.17,0,0.64 | 0.67 | 0.70,0,7.13 | 7.47 | 7.84,0.977,0.0,0,1
17043133760,1000,6,5,10,10,5.96,0,0,0.04 | 0.04 | 0.04,0,5.39 | 5.39 | 5.39,0,1.19 | 1.19 | 1.19,1.657,0.0,0,1,128,1,10,10,10,9.568,0,0,0.15 | 0.16 | 0.17,0,0.64 | 0.67 | 0.70,0,7.13 | 7.47 | 7.84,0.977,0.0,0,1
17043133761,1000,6,5,10,10,5.96,0,0,0.04 | 0.04 | 0.04,0,5.39 | 5.39 | 5.39,0,1.19 | 1.19 | 1.19,1.657,0.0,0,1,128,1,10,10,10,9.568,0,0,0.15 | 0.16 | 0.17,0,0.64 | 0.67 | 0.70,0,7.13 | 7.47 | 7.84,0.977,0.0,0,1
17043133762,1000,6,5,10,10,5.96,0,0,0.04 | 0.04 | 0.04,0,5.39 | 5.39 | 5.39,0,1.19 | 1.19 | 1.19,1.657,0.0,0,1,128,1,10,10,10,9.568,0,0,0.15 | 0.16 | 0.17,0,0.64 | 0.67 | 0.70,0,7.13 | 7.47 | 7.84,0.977,0.0,0,1
17043133763,1000,6,5,10,10,4.96,0,0,0.04 | 0.04 | 0.04,0,5.39 | 5.39 | 5.39,0,1.19 | 1.19 | 1.19,1.657,0.0,0,1,128,1,10,10,10,8.568,0,0,0.15 | 0.16 | 0.17,0,0.64 | 0.67 | 0.70,0,7.13 | 7.47 | 7.84,0.977,0.0,0,1
