ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17042090477,1500,5,6,10,10,5.661,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,9.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090478,1500,5,6,10,10,5.661,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,9.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090479,1500,5,6,10,10,5.661,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,9.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090480,1500,5,6,10,10,5.661,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,9.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090481,1500,5,6,10,10,5.661,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,9.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090482,1500,5,6,10,10,5.661,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,9.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090483,1500,5,6,10,10,5.661,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,9.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090484,1500,5,6,10,10,5.661,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,9.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090485,1500,5,6,10,10,5.661,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,9.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090486,1500,5,6,10,10,5.661,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,9.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090487,1500,5,6,10,10,4.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,8.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090488,1500,5,6,10,10,4.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,8.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090489,1500,5,6,10,10,4.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,8.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090490,1500,5,6,10,10,4.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,8.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090491,1500,5,6,10,10,4.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,8.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090492,1500,5,6,10,10,4.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,8.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090493,1500,5,6,10,10,4.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,8.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090494,1500,5,6,10,10,4.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,8.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090495,1500,5,6,10,10,4.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,8.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090496,1500,5,6,10,10,4.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,8.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090497,1500,5,6,10,10,3.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,7.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090498,1500,5,6,10,10,3.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,7.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090499,1500,5,6,10,10,3.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,7.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090500,1500,5,6,10,10,3.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,7.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090501,1500,5,6,10,10,3.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,7.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090502,1500,5,6,10,10,3.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,7.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090503,1500,5,6,10,10,3.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,7.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090504,1500,5,6,10,10,3.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,7.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090505,1500,5,6,10,10,3.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,7.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090506,1500,5,6,10,10,3.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,7.269,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090507,1500,5,6,10,10,2.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,6.27,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090508,1500,5,6,10,10,2.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,6.27,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090509,1500,5,6,10,10,2.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,6.27,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090510,1500,5,6,10,10,2.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,6.27,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090511,1500,5,6,10,10,2.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,6.27,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090512,1500,5,6,10,10,2.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,6.27,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090513,1500,5,6,10,10,2.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,6.27,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090514,1500,5,6,10,10,2.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,6.27,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090515,1500,5,6,10,10,2.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,6.27,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090516,1500,5,6,10,10,2.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,6.27,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090517,1500,5,6,10,10,1.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,5.27,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
17042090518,1500,5,6,10,10,1.662,0,0,0.04 | 0.04 | 0.04,0,3.13 | 3.13 | 3.13,0,2.04 | 2.04 | 2.04,1.875,0.0,0,1,128,1,10,10,10,5.27,0,0,0.22 | 0.25 | 0.28,0,0.54 | 0.62 | 0.69,0,7.22 | 8.13 | 9.29,1.077,0.0,0,1
