ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17044722309,1000,5,5,10,10,5.515,0,0,0.04 | 0.04 | 0.04,0,4.97 | 4.97 | 4.97,0,1.29 | 1.29 | 1.29,1.181,0.0,0,1,128,1,10,10,10,9.123,0,0,0.28 | 0.39 | 0.49,0,0.85 | 0.85 | 0.85,0,5.87 | 5.88 | 5.90,0.768,0.0,0,1
17044722310,1000,5,5,10,10,5.515,0,0,0.04 | 0.04 | 0.04,0,4.97 | 4.97 | 4.97,0,1.29 | 1.29 | 1.29,1.181,0.0,0,1,128,1,10,10,10,9.123,0,0,0.28 | 0.39 | 0.49,0,0.85 | 0.85 | 0.85,0,5.87 | 5.88 | 5.90,0.768,0.0,0,1
17044722311,1000,5,5,10,10,5.515,0,0,0.04 | 0.04 | 0.04,0,4.97 | 4.97 | 4.97,0,1.29 | 1.29 | 1.29,1.181,0.0,0,1,128,1,10,10,10,9.123,0,0,0.28 | 0.39 | 0.49,0,0.85 | 0.85 | 0.85,0,5.87 | 5.88 | 5.90,0.768,0.0,0,1
17044722312,1000,5,5,10,10,5.515,0,0,0.04 | 0.04 | 0.04,0,4.97 | 4.97 | 4.97,0,1.29 | 1.29 | 1.29,1.181,0.0,0,1,128,1,10,10,10,9.123,0,0,0.28 | 0.39 | 0.49,0,0.85 | 0.85 | 0.85,0,5.87 | 5.88 | 5.90,0.768,0.0,0,1
17044722313,1000,5,5,10,10,5.515,0,0,0.04 | 0.04 | 0.04,0,4.97 | 4.97 | 4.97,0,1.29 | 1.29 | 1.29,1.181,0.0,0,1,128,1,10,10,10,9.123,0,0,0.28 | 0.39 | 0.49,0,0.85 | 0.85 | 0.85,0,5.87 | 5.88 | 5.90,0.768,0.0,0,1
17044722314,1000,5,5,10,10,5.515,0,0,0.04 | 0.04 | 0.04,0,4.97 | 4.97 | 4.97,0,1.29 | 1.29 | 1.29,1.181,0.0,0,1,128,1,10,10,10,9.123,0,0,0.28 | 0.39 | 0.49,0,0.85 | 0.85 | 0.85,0,5.87 | 5.88 | 5.90,0.768,0.0,0,1
17044722315,1000,5,5,10,10,5.515,0,0,0.04 | 0.04 | 0.04,0,4.97 | 4.97 | 4.97,0,1.29 | 1.29 | 1.29,1.181,0.0,0,1,128,1,10,10,10,9.123,0,0,0.28 | 0.39 | 0.49,0,0.85 | 0.85 | 0.85,0,5.87 | 5.88 | 5.90,0.768,0.0,0,1
17044722316,1000,5,5,10,10,5.515,0,0,0.04 | 0.04 | 0.04,0,4.97 | 4.97 | 4.97,0,1.29 | 1.29 | 1.29,1.181,0.0,0,1,128,1,10,10,10,9.123,0,0,0.28 | 0.39 | 0.49,0,0.85 | 0.85 | 0.85,0,5.87 | 5.88 | 5.90,0.768,0.0,0,1
17044722317,1000,5,5,10,10,5.515,0,0,0.04 | 0.04 | 0.04,0,4.97 | 4.97 | 4.97,0,1.29 | 1.29 | 1.29,1.181,0.0,0,1,128,1,10,10,10,9.123,0,0,0.28 | 0.39 | 0.49,0,0.85 | 0.85 | 0.85,0,5.87 | 5.88 | 5.90,0.768,0.0,0,1
17044722318,1000,5,5,10,10,5.515,0,0,0.04 | 0.04 | 0.04,0,4.97 | 4.97 | 4.97,0,1.29 | 1.29 | 1.29,1.181,0.0,0,1,128,1,10,10,10,9.123,0,0,0.28 | 0.39 | 0.49,0,0.85 | 0.85 | 0.85,0,5.87 | 5.88 | 5.90,0.768,0.0,0,1
