ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17030612797,600,5,3,10,10,5.995,0,0,0.04 | 0.04 | 0.04,0,7.46 | 7.46 | 7.46,0,0.86 | 0.86 | 0.86,0.787,0.0,0,1,128,1,10,10,10,9.603,0,0,0.45 | 0.60 | 0.74,0,1.24 | 1.25 | 1.26,0,3.96 | 4.00 | 4.04,0.522,0.0,0,1
17030612798,600,5,3,10,10,5.995,0,0,0.04 | 0.04 | 0.04,0,7.46 | 7.46 | 7.46,0,0.86 | 0.86 | 0.86,0.787,0.0,0,1,128,1,10,10,10,9.603,0,0,0.45 | 0.60 | 0.74,0,1.24 | 1.25 | 1.26,0,3.96 | 4.00 | 4.04,0.522,0.0,0,1
17030612799,600,5,3,10,10,5.995,0,0,0.04 | 0.04 | 0.04,0,7.46 | 7.46 | 7.46,0,0.86 | 0.86 | 0.86,0.787,0.0,0,1,128,1,10,10,10,9.603,0,0,0.45 | 0.60 | 0.74,0,1.24 | 1.25 | 1.26,0,3.96 | 4.00 | 4.04,0.522,0.0,0,1
17030612800,600,5,3,10,10,5.995,0,0,0.04 | 0.04 | 0.04,0,7.46 | 7.46 | 7.46,0,0.86 | 0.86 | 0.86,0.787,0.0,0,1,128,1,10,10,10,9.603,0,0,0.45 | 0.60 | 0.74,0,1.24 | 1.25 | 1.26,0,3.96 | 4.00 | 4.04,0.522,0.0,0,1
17030612801,600,5,3,10,10,5.995,0,0,0.04 | 0.04 | 0.04,0,7.46 | 7.46 | 7.46,0,0.86 | 0.86 | 0.86,0.787,0.0,0,1,128,1,10,10,10,9.603,0,0,0.45 | 0.60 | 0.74,0,1.24 | 1.25 | 1.26,0,3.96 | 4.00 | 4.04,0.522,0.0,0,1
17030612802,600,5,3,10,10,5.995,0,0,0.04 | 0.04 | 0.04,0,7.46 | 7.46 | 7.46,0,0.86 | 0.86 | 0.86,0.787,0.0,0,1,128,1,10,10,10,9.603,0,0,0.45 | 0.60 | 0.74,0,1.24 | 1.25 | 1.26,0,3.96 | 4.00 | 4.04,0.522,0.0,0,1
17030612803,600,5,3,10,10,5.995,0,0,0.04 | 0.04 | 0.04,0,7.46 | 7.46 | 7.46,0,0.86 | 0.86 | 0.86,0.787,0.0,0,1,128,1,10,10,10,9.603,0,0,0.45 | 0.60 | 0.74,0,1.24 | 1.25 | 1.26,0,3.96 | 4.00 | 4.04,0.522,0.0,0,1
17030612804,600,5,3,10,10,5.995,0,0,0.04 | 0.04 | 0.04,0,7.46 | 7.46 | 7.46,0,0.86 | 0.86 | 0.86,0.787,0.0,0,1,128,1,10,10,10,9.603,0,0,0.45 | 0.60 | 0.74,0,1.24 | 1.25 | 1.26,0,3.96 | 4.00 | 4.04,0.522,0.0,0,1
17030612805,600,5,3,10,10,5.995,0,0,0.04 | 0.04 | 0.04,0,7.46 | 7.46 | 7.46,0,0.86 | 0.86 | 0.86,0.787,0.0,0,1,128,1,10,10,10,9.603,0,0,0.45 | 0.60 | 0.74,0,1.24 | 1.25 | 1.26,0,3.96 | 4.00 | 4.04,0.522,0.0,0,1
17030612806,600,5,3,10,10,5.995,0,0,0.04 | 0.04 | 0.04,0,7.46 | 7.46 | 7.46,0,0.86 | 0.86 | 0.86,0.787,0.0,0,1,128,1,10,10,10,9.603,0,0,0.45 | 0.60 | 0.74,0,1.24 | 1.25 | 1.26,0,3.96 | 4.00 | 4.04,0.522,0.0,0,1
