ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17032506513,400,5,2,10,10,5.792,0,0,0.04 | 0.04 | 0.04,0,9.24 | 9.24 | 9.24,0,0.69 | 0.69 | 0.69,0.635,0.0,0,1,128,10,10,10,10,9.4,0,0,0.13 | 0.17 | 0.21,0,0.56 | 0.60 | 0.64,0,7.79 | 8.33 | 8.94,1.092,0.0,0,1
17032506514,400,5,2,10,10,5.792,0,0,0.04 | 0.04 | 0.04,0,9.24 | 9.24 | 9.24,0,0.69 | 0.69 | 0.69,0.635,0.0,0,1,128,10,10,10,10,9.4,0,0,0.13 | 0.17 | 0.21,0,0.56 | 0.60 | 0.64,0,7.79 | 8.33 | 8.94,1.092,0.0,0,1
17032506515,400,5,2,10,10,5.792,0,0,0.04 | 0.04 | 0.04,0,9.24 | 9.24 | 9.24,0,0.69 | 0.69 | 0.69,0.635,0.0,0,1,128,10,10,10,10,9.4,0,0,0.13 | 0.17 | 0.21,0,0.56 | 0.60 | 0.64,0,7.79 | 8.33 | 8.94,1.092,0.0,0,1
17032506516,400,5,2,10,10,5.792,0,0,0.04 | 0.04 | 0.04,0,9.24 | 9.24 | 9.24,0,0.69 | 0.69 | 0.69,0.635,0.0,0,1,128,10,10,10,10,9.4,0,0,0.13 | 0.17 | 0.21,0,0.56 | 0.60 | 0.64,0,7.79 | 8.33 | 8.94,1.092,0.0,0,1
17032506517,400,5,2,10,10,5.792,0,0,0.04 | 0.04 | 0.04,0,9.24 | 9.24 | 9.24,0,0.69 | 0.69 | 0.69,0.635,0.0,0,1,128,10,10,10,10,9.4,0,0,0.13 | 0.17 | 0.21,0,0.56 | 0.60 | 0.64,0,7.79 | 8.33 | 8.94,1.092,0.0,0,1
17032506518,400,5,2,10,10,5.792,0,0,0.04 | 0.04 | 0.04,0,9.24 | 9.24 | 9.24,0,0.69 | 0.69 | 0.69,0.635,0.0,0,1,128,10,10,10,10,9.4,0,0,0.13 | 0.17 | 0.21,0,0.56 | 0.60 | 0.64,0,7.79 | 8.33 | 8.94,1.092,0.0,0,1
17032506519,400,5,2,10,10,5.792,0,0,0.04 | 0.04 | 0.04,0,9.24 | 9.24 | 9.24,0,0.69 | 0.69 | 0.69,0.635,0.0,0,1,128,10,10,10,10,9.4,0,0,0.13 | 0.17 | 0.21,0,0.56 | 0.60 | 0.64,0,7.79 | 8.33 | 8.94,1.092,0.0,0,1
17032506520,400,5,2,10,10,5.792,0,0,0.04 | 0.04 | 0.04,0,9.24 | 9.24 | 9.24,0,0.69 | 0.69 | 0.69,0.635,0.0,0,1,128,10,10,10,10,9.4,0,0,0.13 | 0.17 | 0.21,0,0.56 | 0.60 | 0.64,0,7.79 | 8.33 | 8.94,1.092,0.0,0,1
17032506521,400,5,2,10,10,5.792,0,0,0.04 | 0.04 | 0.04,0,9.24 | 9.24 | 9.24,0,0.69 | 0.69 | 0.69,0.635,0.0,0,1,128,10,10,10,10,9.4,0,0,0.13 | 0.17 | 0.21,0,0.56 | 0.60 | 0.64,0,7.79 | 8.33 | 8.94,1.092,0.0,0,1
17032506522,400,5,2,10,10,5.792,0,0,0.04 | 0.04 | 0.04,0,9.24 | 9.24 | 9.24,0,0.69 | 0.69 | 0.69,0.635,0.0,0,1,128,10,10,10,10,9.4,0,0,0.13 | 0.17 | 0.21,0,0.56 | 0.60 | 0.64,0,7.79 | 8.33 | 8.94,1.092,0.0,0,1
