ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17044842531,1000,5,5,10,10,5.518,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,10,10,10,10,9.126,0,0,0.29 | 0.53 | 0.77,0,0.86 | 0.87 | 0.88,0,5.67 | 5.75 | 5.83,0.75,0.0,0,1
17044842532,1000,5,5,10,10,5.518,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,10,10,10,10,9.126,0,0,0.29 | 0.53 | 0.77,0,0.86 | 0.87 | 0.88,0,5.67 | 5.75 | 5.83,0.75,0.0,0,1
17044842533,1000,5,5,10,10,5.518,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,10,10,10,10,9.126,0,0,0.29 | 0.53 | 0.77,0,0.86 | 0.87 | 0.88,0,5.67 | 5.75 | 5.83,0.75,0.0,0,1
17044842534,1000,5,5,10,10,5.518,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,10,10,10,10,9.126,0,0,0.29 | 0.53 | 0.77,0,0.86 | 0.87 | 0.88,0,5.67 | 5.75 | 5.83,0.75,0.0,0,1
17044842535,1000,5,5,10,10,5.518,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,10,10,10,10,9.126,0,0,0.29 | 0.53 | 0.77,0,0.86 | 0.87 | 0.88,0,5.67 | 5.75 | 5.83,0.75,0.0,0,1
17044842536,1000,5,5,10,10,5.518,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,10,10,10,10,9.126,0,0,0.29 | 0.53 | 0.77,0,0.86 | 0.87 | 0.88,0,5.67 | 5.75 | 5.83,0.75,0.0,0,1
17044842537,1000,5,5,10,10,5.518,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,10,10,10,10,9.126,0,0,0.29 | 0.53 | 0.77,0,0.86 | 0.87 | 0.88,0,5.67 | 5.75 | 5.83,0.75,0.0,0,1
17044842538,1000,5,5,10,10,5.518,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,10,10,10,10,9.126,0,0,0.29 | 0.53 | 0.77,0,0.86 | 0.87 | 0.88,0,5.67 | 5.75 | 5.83,0.75,0.0,0,1
17044842539,1000,5,5,10,10,5.518,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,10,10,10,10,9.126,0,0,0.29 | 0.53 | 0.77,0,0.86 | 0.87 | 0.88,0,5.67 | 5.75 | 5.83,0.75,0.0,0,1
17044842540,1000,5,5,10,10,5.518,0,0,0.05 | 0.05 | 0.05,0,4.96 | 4.96 | 4.96,0,1.29 | 1.29 | 1.29,1.183,0.0,0,1,128,10,10,10,10,9.126,0,0,0.29 | 0.53 | 0.77,0,0.86 | 0.87 | 0.88,0,5.67 | 5.75 | 5.83,0.75,0.0,0,1
