ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17036085398,600,5,3,10,10,6.027,0,0,0.04 | 0.04 | 0.04,0,7.46 | 7.46 | 7.46,0,0.86 | 0.86 | 0.86,0.787,0.0,0,1,128,1,10,10,10,9.634,0,0,0.42 | 0.81 | 1.20,0,1.24 | 1.26 | 1.28,0,3.90 | 3.97 | 4.04,0.518,0.0,0,1
17036085399,600,5,3,10,10,6.027,0,0,0.04 | 0.04 | 0.04,0,7.46 | 7.46 | 7.46,0,0.86 | 0.86 | 0.86,0.787,0.0,0,1,128,1,10,10,10,9.634,0,0,0.42 | 0.81 | 1.20,0,1.24 | 1.26 | 1.28,0,3.90 | 3.97 | 4.04,0.518,0.0,0,1
17036085400,600,5,3,10,10,6.027,0,0,0.04 | 0.04 | 0.04,0,7.46 | 7.46 | 7.46,0,0.86 | 0.86 | 0.86,0.787,0.0,0,1,128,1,10,10,10,9.634,0,0,0.42 | 0.81 | 1.20,0,1.24 | 1.26 | 1.28,0,3.90 | 3.97 | 4.04,0.518,0.0,0,1
17036085401,600,5,3,10,10,6.027,0,0,0.04 | 0.04 | 0.04,0,7.46 | 7.46 | 7.46,0,0.86 | 0.86 | 0.86,0.787,0.0,0,1,128,1,10,10,10,9.634,0,0,0.42 | 0.81 | 1.20,0,1.24 | 1.26 | 1.28,0,3.90 | 3.97 | 4.04,0.518,0.0,0,1
17036085402,600,5,3,10,10,6.027,0,0,0.04 | 0.04 | 0.04,0,7.46 | 7.46 | 7.46,0,0.86 | 0.86 | 0.86,0.787,0.0,0,1,128,1,10,10,10,9.634,0,0,0.42 | 0.81 | 1.20,0,1.24 | 1.26 | 1.28,0,3.90 | 3.97 | 4.04,0.518,0.0,0,1
17036085403,600,5,3,10,10,6.027,0,0,0.04 | 0.04 | 0.04,0,7.46 | 7.46 | 7.46,0,0.86 | 0.86 | 0.86,0.787,0.0,0,1,128,1,10,10,10,9.634,0,0,0.42 | 0.81 | 1.20,0,1.24 | 1.26 | 1.28,0,3.90 | 3.97 | 4.04,0.518,0.0,0,1
17036085404,600,5,3,10,10,6.027,0,0,0.04 | 0.04 | 0.04,0,7.46 | 7.46 | 7.46,0,0.86 | 0.86 | 0.86,0.787,0.0,0,1,128,1,10,10,10,9.634,0,0,0.42 | 0.81 | 1.20,0,1.24 | 1.26 | 1.28,0,3.90 | 3.97 | 4.04,0.518,0.0,0,1
17036085405,600,5,3,10,10,6.027,0,0,0.04 | 0.04 | 0.04,0,7.46 | 7.46 | 7.46,0,0.86 | 0.86 | 0.86,0.787,0.0,0,1,128,1,10,10,10,9.634,0,0,0.42 | 0.81 | 1.20,0,1.24 | 1.26 | 1.28,0,3.90 | 3.97 | 4.04,0.518,0.0,0,1
17036085406,600,5,3,10,10,6.027,0,0,0.04 | 0.04 | 0.04,0,7.46 | 7.46 | 7.46,0,0.86 | 0.86 | 0.86,0.787,0.0,0,1,128,1,10,10,10,9.634,0,0,0.42 | 0.81 | 1.20,0,1.24 | 1.26 | 1.28,0,3.90 | 3.97 | 4.04,0.518,0.0,0,1
17036085407,600,5,3,10,10,6.027,0,0,0.04 | 0.04 | 0.04,0,7.46 | 7.46 | 7.46,0,0.86 | 0.86 | 0.86,0.787,0.0,0,1,128,1,10,10,10,9.634,0,0,0.42 | 0.81 | 1.20,0,1.24 | 1.26 | 1.28,0,3.90 | 3.97 | 4.04,0.518,0.0,0,1
