ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17036162605,200,1,1,10,10,6.303,0,0,0.03 | 0.03 | 0.03,0,3.79 | 3.79 | 3.79,0,1.69 | 1.69 | 1.69,0.31,0.0,0,1,128,10,10,10,10,4.895,0,0,0.55 | 0.55 | 0.55,0,2.66 | 2.66 | 2.66,0,1.88 | 1.88 | 1.88,0.246,0.0,0,1
17036162606,200,1,1,10,10,6.303,0,0,0.03 | 0.03 | 0.03,0,3.79 | 3.79 | 3.79,0,1.69 | 1.69 | 1.69,0.31,0.0,0,1,128,10,10,10,10,4.895,0,0,0.55 | 0.55 | 0.55,0,2.66 | 2.66 | 2.66,0,1.88 | 1.88 | 1.88,0.246,0.0,0,1
17036162607,200,1,1,10,10,6.303,0,0,0.03 | 0.03 | 0.03,0,3.79 | 3.79 | 3.79,0,1.69 | 1.69 | 1.69,0.31,0.0,0,1,128,10,10,10,10,4.895,0,0,0.55 | 0.55 | 0.55,0,2.66 | 2.66 | 2.66,0,1.88 | 1.88 | 1.88,0.246,0.0,0,1
17036162608,200,1,1,10,10,6.303,0,0,0.03 | 0.03 | 0.03,0,3.79 | 3.79 | 3.79,0,1.69 | 1.69 | 1.69,0.31,0.0,0,1,128,10,10,10,10,4.895,0,0,0.55 | 0.55 | 0.55,0,2.66 | 2.66 | 2.66,0,1.88 | 1.88 | 1.88,0.246,0.0,0,1
17036162609,200,1,1,10,10,6.303,0,0,0.03 | 0.03 | 0.03,0,3.79 | 3.79 | 3.79,0,1.69 | 1.69 | 1.69,0.31,0.0,0,1,128,10,10,10,10,4.895,0,0,0.55 | 0.55 | 0.55,0,2.66 | 2.66 | 2.66,0,1.88 | 1.88 | 1.88,0.246,0.0,0,1
17036162610,200,1,1,10,10,6.303,0,0,0.03 | 0.03 | 0.03,0,3.79 | 3.79 | 3.79,0,1.69 | 1.69 | 1.69,0.31,0.0,0,1,128,10,10,10,10,4.895,0,0,0.55 | 0.55 | 0.55,0,2.66 | 2.66 | 2.66,0,1.88 | 1.88 | 1.88,0.246,0.0,0,1
17036162611,200,1,1,10,10,6.303,0,0,0.03 | 0.03 | 0.03,0,3.79 | 3.79 | 3.79,0,1.69 | 1.69 | 1.69,0.31,0.0,0,1,128,10,10,10,10,4.895,0,0,0.55 | 0.55 | 0.55,0,2.66 | 2.66 | 2.66,0,1.88 | 1.88 | 1.88,0.246,0.0,0,1
17036162612,200,1,1,10,10,6.303,0,0,0.03 | 0.03 | 0.03,0,3.79 | 3.79 | 3.79,0,1.69 | 1.69 | 1.69,0.31,0.0,0,1,128,10,10,10,10,4.895,0,0,0.55 | 0.55 | 0.55,0,2.66 | 2.66 | 2.66,0,1.88 | 1.88 | 1.88,0.246,0.0,0,1
17036162613,200,1,1,10,10,6.303,0,0,0.03 | 0.03 | 0.03,0,3.79 | 3.79 | 3.79,0,1.69 | 1.69 | 1.69,0.31,0.0,0,1,128,10,10,10,10,4.895,0,0,0.55 | 0.55 | 0.55,0,2.66 | 2.66 | 2.66,0,1.88 | 1.88 | 1.88,0.246,0.0,0,1
17036162614,200,1,1,10,10,6.303,0,0,0.03 | 0.03 | 0.03,0,3.79 | 3.79 | 3.79,0,1.69 | 1.69 | 1.69,0.31,0.0,0,1,128,10,10,10,10,4.895,0,0,0.55 | 0.55 | 0.55,0,2.66 | 2.66 | 2.66,0,1.88 | 1.88 | 1.88,0.246,0.0,0,1
