ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
17055287882,1500,5,6,10,10,5.639,0,0,0.04 | 0.04 | 0.04,0,3.11 | 3.11 | 3.11,0,2.06 | 2.06 | 2.06,1.887,0.0,0,1,128,1,10,10,10,9.246,0,0,0.15 | 0.19 | 0.23,0,0.52 | 0.53 | 0.54,0,9.23 | 9.42 | 9.63,1.23,0.0,0,1
17055287883,1500,5,6,10,10,5.639,0,0,0.04 | 0.04 | 0.04,0,3.11 | 3.11 | 3.11,0,2.06 | 2.06 | 2.06,1.887,0.0,0,1,128,1,10,10,10,9.246,0,0,0.15 | 0.19 | 0.23,0,0.52 | 0.53 | 0.54,0,9.23 | 9.42 | 9.63,1.23,0.0,0,1
17055287884,1500,5,6,10,10,5.639,0,0,0.04 | 0.04 | 0.04,0,3.11 | 3.11 | 3.11,0,2.06 | 2.06 | 2.06,1.887,0.0,0,1,128,1,10,10,10,9.246,0,0,0.15 | 0.19 | 0.23,0,0.52 | 0.53 | 0.54,0,9.23 | 9.42 | 9.63,1.23,0.0,0,1
17055287885,1500,5,6,10,10,5.639,0,0,0.04 | 0.04 | 0.04,0,3.11 | 3.11 | 3.11,0,2.06 | 2.06 | 2.06,1.887,0.0,0,1,128,1,10,10,10,9.246,0,0,0.15 | 0.19 | 0.23,0,0.52 | 0.53 | 0.54,0,9.23 | 9.42 | 9.63,1.23,0.0,0,1
17055287886,1500,5,6,10,10,5.639,0,0,0.04 | 0.04 | 0.04,0,3.11 | 3.11 | 3.11,0,2.06 | 2.06 | 2.06,1.887,0.0,0,1,128,1,10,10,10,9.246,0,0,0.15 | 0.19 | 0.23,0,0.52 | 0.53 | 0.54,0,9.23 | 9.42 | 9.63,1.23,0.0,0,1
17055287887,1500,5,6,10,10,5.639,0,0,0.04 | 0.04 | 0.04,0,3.11 | 3.11 | 3.11,0,2.06 | 2.06 | 2.06,1.887,0.0,0,1,128,1,10,10,10,9.246,0,0,0.15 | 0.19 | 0.23,0,0.52 | 0.53 | 0.54,0,9.23 | 9.42 | 9.63,1.23,0.0,0,1
17055287888,1500,5,6,10,10,5.639,0,0,0.04 | 0.04 | 0.04,0,3.11 | 3.11 | 3.11,0,2.06 | 2.06 | 2.06,1.887,0.0,0,1,128,1,10,10,10,9.246,0,0,0.15 | 0.19 | 0.23,0,0.52 | 0.53 | 0.54,0,9.23 | 9.42 | 9.63,1.23,0.0,0,1
17055287889,1500,5,6,10,10,5.639,0,0,0.04 | 0.04 | 0.04,0,3.11 | 3.11 | 3.11,0,2.06 | 2.06 | 2.06,1.887,0.0,0,1,128,1,10,10,10,9.246,0,0,0.15 | 0.19 | 0.23,0,0.52 | 0.53 | 0.54,0,9.23 | 9.42 | 9.63,1.23,0.0,0,1
17055287890,1500,5,6,10,10,5.639,0,0,0.04 | 0.04 | 0.04,0,3.11 | 3.11 | 3.11,0,2.06 | 2.06 | 2.06,1.887,0.0,0,1,128,1,10,10,10,9.246,0,0,0.15 | 0.19 | 0.23,0,0.52 | 0.53 | 0.54,0,9.23 | 9.42 | 9.63,1.23,0.0,0,1
17055287891,1500,5,6,10,10,5.639,0,0,0.04 | 0.04 | 0.04,0,3.11 | 3.11 | 3.11,0,2.06 | 2.06 | 2.06,1.887,0.0,0,1,128,1,10,10,10,9.246,0,0,0.15 | 0.19 | 0.23,0,0.52 | 0.53 | 0.54,0,9.23 | 9.42 | 9.63,1.23,0.0,0,1
