ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17239816148,965,0,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1633,0,1
17239816149,965,5,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1633,0,1
17239816150,965,5,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1633,0,1
17239816151,965,5,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1633,0,1
17239816152,965,5,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1633,0,1
17239816153,965,5,5,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1633,0,1
17239816154,965,5,5,8,8,4.365,0,0,0.31 | 0.31 | 0.31,0,1.09 | 1.09 | 1.09,0,3.67 | 3.67 | 3.67,1.633,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1633,0,1
17239816155,965,5,5,8,8,4.365,0,0,0.31 | 0.31 | 0.31,0,1.09 | 1.09 | 1.09,0,3.67 | 3.67 | 3.67,1.633,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1633,0,1
17239816156,965,5,5,8,8,4.365,0,0,0.31 | 0.31 | 0.31,0,1.09 | 1.09 | 1.09,0,3.67 | 3.67 | 3.67,1.633,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1633,0,1
17239816157,965,5,5,8,8,4.365,0,0,0.31 | 0.31 | 0.31,0,1.09 | 1.09 | 1.09,0,3.67 | 3.67 | 3.67,1.633,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1633,0,1
17239816158,965,5,5,8,8,4.365,0,0,0.31 | 0.31 | 0.31,0,1.09 | 1.09 | 1.09,0,3.67 | 3.67 | 3.67,1.633,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1633,0,1
17239816159,965,5,5,8,8,4.365,0,0,0.31 | 0.31 | 0.31,0,1.09 | 1.09 | 1.09,0,3.67 | 3.67 | 3.67,1.633,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1633,0,1
17239816160,965,5,5,8,8,4.365,0,0,0.31 | 0.31 | 0.31,0,1.09 | 1.09 | 1.09,0,3.67 | 3.67 | 3.67,1.633,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1633,0,1
17239816161,965,5,5,8,8,4.365,0,0,0.31 | 0.31 | 0.31,0,1.09 | 1.09 | 1.09,0,3.67 | 3.67 | 3.67,1.633,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1633,0,1
17239816162,965,5,5,8,8,4.365,0,0,0.31 | 0.31 | 0.31,0,1.09 | 1.09 | 1.09,0,3.67 | 3.67 | 3.67,1.633,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1633,0,1
17239816163,772,5,4,8,8,4.365,0,0,0.31 | 0.31 | 0.31,0,1.09 | 1.09 | 1.09,0,3.67 | 3.67 | 3.67,1.633,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1122,0,1
17239816164,772,5,4,8,8,6.452,0,0,0.31 | 0.31 | 0.31,0,1.09 | 1.17 | 1.25,0,3.21 | 3.42 | 3.67,1.122,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1122,0,1
17239816165,772,5,4,8,8,6.452,0,0,0.31 | 0.31 | 0.31,0,1.09 | 1.17 | 1.25,0,3.21 | 3.42 | 3.67,1.122,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1122,0,1
17239816166,772,5,4,8,8,6.452,0,0,0.31 | 0.31 | 0.31,0,1.09 | 1.17 | 1.25,0,3.21 | 3.42 | 3.67,1.122,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1122,0,1
