ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17258551572,1446,0,6,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,2596,0,1
17258551573,1446,6,6,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,2596,0,1
17258551574,1446,6,6,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,2596,0,1
17258551575,1446,6,6,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,2596,0,1
17258551576,1446,6,6,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,2596,0,1
17258551577,1446,6,6,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,2596,0,1
17258551578,1446,6,6,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,2596,0,1
17258551579,1446,6,6,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,2596,0,1
17258551580,1446,6,6,8,8,7.142,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551581,1446,6,6,8,8,7.142,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551582,1446,6,6,8,8,7.142,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551583,1446,6,6,8,8,7.142,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551584,1446,6,6,8,8,7.142,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551585,1446,6,6,8,8,7.142,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551586,1446,6,6,8,8,7.142,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551587,1446,6,6,8,8,7.142,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551588,1446,6,6,8,8,7.142,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551589,1446,6,6,8,8,7.142,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551591,1446,6,6,8,8,6.245,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551591,1446,6,6,8,8,6.245,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551592,1446,6,6,8,8,6.245,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551593,1446,6,6,8,8,6.245,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551594,1446,6,6,8,8,6.245,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551595,1446,6,6,8,8,6.245,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551596,1446,6,6,8,8,6.245,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551597,1446,6,6,8,8,6.245,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551598,1446,6,6,8,8,6.245,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551599,1446,6,6,8,8,6.245,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551600,1446,6,6,8,8,5.182,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551601,1446,6,6,8,8,5.182,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551602,1446,6,6,8,8,5.182,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551603,1446,6,6,8,8,5.182,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551604,1446,6,6,8,8,5.182,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551605,1446,6,6,8,8,5.182,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
17258551606,1446,6,6,8,8,5.182,0,0,0.11 | 0.16 | 0.22,0,0.76 | 0.83 | 0.91,0,4.41 | 4.79 | 5.25,1.978,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1978,0,1
