ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17255537317,772,0,4,8,8,4.787,0,0,0.11 | 0.11 | 0.11,0,1.86 | 1.86 | 1.86,0,2.15 | 2.15 | 2.15,0.956,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,956,0,1
17255537318,772,5,4,8,8,4.787,0,0,0.11 | 0.11 | 0.11,0,1.86 | 1.86 | 1.86,0,2.15 | 2.15 | 2.15,0.956,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,956,0,1
17255537319,772,5,4,8,8,4.787,0,0,0.11 | 0.11 | 0.11,0,1.86 | 1.86 | 1.86,0,2.15 | 2.15 | 2.15,0.956,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,956,0,1
17255537320,772,5,4,8,8,4.787,0,0,0.11 | 0.11 | 0.11,0,1.86 | 1.86 | 1.86,0,2.15 | 2.15 | 2.15,0.956,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,956,0,1
17255537321,772,5,4,8,8,4.787,0,0,0.11 | 0.11 | 0.11,0,1.86 | 1.86 | 1.86,0,2.15 | 2.15 | 2.15,0.956,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,956,0,1
17255537322,772,5,4,8,8,4.787,0,0,0.11 | 0.11 | 0.11,0,1.86 | 1.86 | 1.86,0,2.15 | 2.15 | 2.15,0.956,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,956,0,1
17255537323,772,5,4,8,8,4.787,0,0,0.11 | 0.11 | 0.11,0,1.86 | 1.86 | 1.86,0,2.15 | 2.15 | 2.15,0.956,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,956,0,1
17255537324,772,5,4,8,8,4.787,0,0,0.11 | 0.11 | 0.11,0,1.86 | 1.86 | 1.86,0,2.15 | 2.15 | 2.15,0.956,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,956,0,1
17255537325,772,5,4,8,8,4.787,0,0,0.11 | 0.11 | 0.11,0,1.86 | 1.86 | 1.86,0,2.15 | 2.15 | 2.15,0.956,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,956,0,1
17255537326,772,5,4,8,8,4.787,0,0,0.11 | 0.11 | 0.11,0,1.86 | 1.86 | 1.86,0,2.15 | 2.15 | 2.15,0.956,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,956,0,1
17255537327,772,5,4,8,8,6.996,0,0,0.11 | 0.11 | 0.11,0,0.77 | 1.31 | 1.86,0,2.15 | 3.05 | 5.22,0.929,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,929.5,0,1
17255537328,772,5,4,8,8,6.996,0,0,0.11 | 0.11 | 0.11,0,0.77 | 1.31 | 1.86,0,2.15 | 3.05 | 5.22,0.929,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,929.5,0,1
17255537329,772,5,4,8,8,6.996,0,0,0.11 | 0.11 | 0.11,0,0.77 | 1.31 | 1.86,0,2.15 | 3.05 | 5.22,0.929,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,929.5,0,1
17255537330,772,5,4,8,8,6.996,0,0,0.11 | 0.11 | 0.11,0,0.77 | 1.31 | 1.86,0,2.15 | 3.05 | 5.22,0.929,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,929.5,0,1
17255537331,772,5,4,8,8,6.996,0,0,0.11 | 0.11 | 0.11,0,0.77 | 1.31 | 1.86,0,2.15 | 3.05 | 5.22,0.929,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,929.5,0,1
17255537332,772,5,4,8,8,6.996,0,0,0.11 | 0.11 | 0.11,0,0.77 | 1.31 | 1.86,0,2.15 | 3.05 | 5.22,0.929,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,929.5,0,1
17255537333,772,5,4,8,8,6.996,0,0,0.11 | 0.11 | 0.11,0,0.77 | 1.31 | 1.86,0,2.15 | 3.05 | 5.22,0.929,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,929.5,0,1
17255537334,772,5,4,8,8,6.996,0,0,0.11 | 0.11 | 0.11,0,0.77 | 1.31 | 1.86,0,2.15 | 3.05 | 5.22,0.929,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,929.5,0,1
