ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,audioLiveLatency,audioPlaybackRate
1723528043,3843,5,8,8,8,7.496,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528043,3843,5,8,8,8,7.496,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528043,3843,5,8,8,8,7.496,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528043,3843,5,8,8,8,7.496,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528043,3843,5,8,8,8,6.543,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528043,3843,5,8,8,8,6.543,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528044,3843,5,8,8,8,6.543,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528044,3843,5,8,8,8,6.543,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528044,3843,5,8,8,8,6.543,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528044,3843,5,8,8,8,6.543,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528044,3843,5,8,8,8,6.543,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528044,3843,5,8,8,8,6.543,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528044,3843,5,8,8,8,6.543,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528044,3843,5,8,8,8,6.543,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528044,3843,5,8,8,8,5.48,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528044,3843,5,8,8,8,5.48,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528045,3843,5,8,8,8,5.48,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528045,3843,5,8,8,8,5.48,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528045,3843,5,8,8,8,5.48,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528045,3843,5,8,8,8,5.48,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528045,3843,5,8,8,8,5.48,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528045,3843,5,8,8,8,5.48,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528045,3843,5,8,8,8,5.48,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528045,3843,5,8,8,8,5.48,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.24 | 0.27,0,15.09 | 16.67 | 18.60,8.399,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528045,3843,5,8,8,8,9.218,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.94 | 2.35,0,1.70 | 4.24 | 18.60,8.765,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528045,3843,5,8,8,8,9.218,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.94 | 2.35,0,1.70 | 4.24 | 18.60,8.765,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528046,3843,5,8,8,8,9.218,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.94 | 2.35,0,1.70 | 4.24 | 18.60,8.765,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528046,3843,5,8,8,8,9.218,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.94 | 2.35,0,1.70 | 4.24 | 18.60,8.765,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528046,3843,5,8,8,8,9.218,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.94 | 2.35,0,1.70 | 4.24 | 18.60,8.765,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528046,3843,8,8,8,8,9.218,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.94 | 2.35,0,1.70 | 4.24 | 18.60,8.765,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528046,3843,8,8,8,8,9.218,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.94 | 2.35,0,1.70 | 4.24 | 18.60,8.765,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528046,3843,8,8,8,8,9.218,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.94 | 2.35,0,1.70 | 4.24 | 18.60,8.765,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
1723528046,3843,8,8,8,8,9.218,0,0,0.11 | 0.11 | 0.12,0,0.21 | 0.94 | 2.35,0,1.70 | 4.24 | 18.60,8.765,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,0,1
