ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17239812206,2406,0,7,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3066,0,1
17239812207,2406,0,7,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3066,0,1
17239812209,2406,7,7,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3066,0,1
17239812209,2406,7,7,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3066,0,1
17239812210,2406,7,7,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3066,0,1
17239812211,2406,7,7,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3066,0,1
17239812212,2406,7,7,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3066,0,1
17239812213,2406,7,7,8,8,4.319,0,0,0.21 | 0.21 | 0.21,0,1.14 | 1.14 | 1.14,0,3.51 | 3.51 | 3.51,3.066,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3066,0,1
17239812214,2406,7,7,8,8,4.319,0,0,0.21 | 0.21 | 0.21,0,1.14 | 1.14 | 1.14,0,3.51 | 3.51 | 3.51,3.066,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3062,0,1
17239812215,2406,7,7,8,8,4.319,0,0,0.21 | 0.21 | 0.21,0,1.14 | 1.14 | 1.14,0,3.51 | 3.51 | 3.51,3.066,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3062,0,1
17239812216,2406,7,7,8,8,4.319,0,0,0.21 | 0.21 | 0.21,0,1.14 | 1.14 | 1.14,0,3.51 | 3.51 | 3.51,3.066,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3062,0,1
17239812217,2406,7,7,8,8,4.319,0,0,0.21 | 0.21 | 0.21,0,1.14 | 1.14 | 1.14,0,3.51 | 3.51 | 3.51,3.066,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3062,0,1
17239812218,2406,7,7,8,8,4.319,0,0,0.21 | 0.21 | 0.21,0,1.14 | 1.14 | 1.14,0,3.51 | 3.51 | 3.51,3.066,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3062,0,1
17239812219,2406,7,7,8,8,4.319,0,0,0.21 | 0.21 | 0.21,0,1.14 | 1.14 | 1.14,0,3.51 | 3.51 | 3.51,3.066,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3062,0,1
17239812220,2406,7,7,8,8,4.319,0,0,0.21 | 0.21 | 0.21,0,1.14 | 1.14 | 1.14,0,3.51 | 3.51 | 3.51,3.066,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3062,0,1
17239812221,2406,7,7,8,8,4.319,0,0,0.21 | 0.21 | 0.21,0,1.14 | 1.14 | 1.14,0,3.51 | 3.51 | 3.51,3.066,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3062,0,1
17239812222,2406,7,7,8,8,4.319,0,0,0.21 | 0.21 | 0.21,0,1.14 | 1.14 | 1.14,0,3.51 | 3.51 | 3.51,3.066,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3062,0,1
17239812223,2406,7,7,8,8,6.456,0,0,0.21 | 0.21 | 0.21,0,0.53 | 0.83 | 1.14,0,3.51 | 4.80 | 7.56,3.062,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3062,0,1
17239812224,2406,7,7,8,8,6.456,0,0,0.21 | 0.21 | 0.21,0,0.53 | 0.83 | 1.14,0,3.51 | 4.80 | 7.56,3.062,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3062,0,1
17239812225,2406,7,7,8,8,6.456,0,0,0.21 | 0.21 | 0.21,0,0.53 | 0.83 | 1.14,0,3.51 | 4.80 | 7.56,3.062,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3062,0,1
17239812226,2406,7,7,8,8,6.456,0,0,0.21 | 0.21 | 0.21,0,0.53 | 0.83 | 1.14,0,3.51 | 4.80 | 7.56,3.062,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3062,0,1
17239812227,2406,7,7,8,8,6.456,0,0,0.21 | 0.21 | 0.21,0,0.53 | 0.83 | 1.14,0,3.51 | 4.80 | 7.56,3.062,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3062,0,1
17239812228,2406,7,7,8,8,6.456,0,0,0.21 | 0.21 | 0.21,0,0.53 | 0.83 | 1.14,0,3.51 | 4.80 | 7.56,3.062,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,3062,0,1
