ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17258573451,1446,0,6,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1803,0,1
17258573452,1446,0,6,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1803,0,1
17258573453,1446,5,6,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1803,0,1
17258573454,1446,5,6,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1803,0,1
17258573455,1446,5,6,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1803,0,1
17258573456,1446,5,6,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1803,0,1
17258573457,1446,5,6,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1803,0,1
17258573458,1446,5,6,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1803,0,1
17258573459,1446,5,6,8,8,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1803,0,1
17258573460,1446,5,6,8,8,4.061,0,0,0.11 | 0.11 | 0.11,0,0.99 | 0.99 | 0.99,0,4.05 | 4.05 | 4.05,1.803,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1803,0,1
17258573461,1446,5,6,8,8,4.061,0,0,0.11 | 0.11 | 0.11,0,0.99 | 0.99 | 0.99,0,4.05 | 4.05 | 4.05,1.803,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,1803,0,1
